trial_type.congruent_correct	trial_type.incongruent_correct	trial_type.incongruent_incorrect	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	intercept
-0.0320173256509735	0.1303440585204638	1.899245001904697e-10	0.0579555520633439	0.0115265000000017	0.0015958599999995	2.5467691397882407e-06	0.000132860202251	0.0251195000000012	0.0296942000000005	0.0008817455136392	0.0006309892802505	0.2074740000000005	0.0156819999999998	0.0002459251239988	0.0430454606759991	0.0019102999999996	-0.0002850299999987	8.12421005324331e-08	3.649246089164897e-06	-0.0005867390000017	-0.0002573590000011	6.623365484092515e-08	3.442626549806372e-07	0.0008761529999995	0.0001575070000003	2.480845495537507e-08	7.676440797381225e-07	-0.0627146737000006	-0.0504652484000007	0.1166111760000022	1
-0.0367373120601097	0.3782194877635996	-4.920610487421006e-10	0.114531917011465	0.0109901000000014	-0.0005364000000001	2.87724960451385e-07	0.0001207822980107	-0.0310582000000008	-0.0561777000000009	0.0031559339772904	0.0009646117872394	0.1737720000000003	-0.0337020000000003	0.0011358248039992	0.0301967079839986	0.0027930200000005	0.0008827200000005	7.7919459879859e-07	7.800960720631865e-06	-0.0005867400000017	-9.999986788978174e-10	-1.1770205849135793e-15	3.442638288535622e-07	0.0008365739999992	-3.957899999976819e-05	1.5664963559390888e-09	6.998560581480301e-07	-0.0648511791000014	-0.0458239721000008	0.115458064300002	1
-0.0290010948921918	0.3606339141586751	1.2516746901427576e-09	0.0822125319413792	0.0092905200000007	-0.0016995800000008	2.888572175961585e-06	8.631376186941357e-05	0.0502844000000014	0.0813426000000027	0.0066166185747625	0.0025285208833626	0.2140620000000005	0.0402899999999995	0.0016232840999988	0.0458225398439987	0.0019038599999995	-0.0008891600000007	7.906055050505105e-07	3.624682899970157e-06	-0.0001038269999991	0.0004829130000027	2.332049690537614e-07	1.0780046207719128e-08	0.0011189999999996	0.0002824260000011	7.976444595407389e-08	1.2521610014930553e-06	-0.0669572430000014	-0.0410966661000006	0.1138173369000019	1
-0.0197668983602172	0.1921312003596949	-3.1226414989589998e-09	0.0356211862874507	0.008020800000001	-0.0012697200000001	1.6121888791268963e-06	6.43332326398333e-05	-0.0005962019999987	-0.050880602000002	0.0025888356598825	3.554568229365061e-07	0.1961040000000002	-0.017958	0.0003224897639994	0.0384567788159992	0.0020288399999986	0.0001249800000007	1.561999986267699e-08	4.116191744673744e-06	-0.0001248809999979	-2.1054000000594524e-05	4.432699869371289e-10	1.5595263465466968e-08	0.001031700000001	-8.73000000003877e-05	7.621290173371727e-09	1.0644048917469653e-06	-0.0690318770000011	-0.0362922055000005	0.111695923300002	1
-0.0085377722074809	0.0634584116537432	7.620138632581894e-09	0.0065301816601063	0.0087629300000011	0.0007421300000003	5.507569369269306e-07	7.678894218586834e-05	-0.0425742000000019	-0.0419779980000005	0.0017621523160871	0.0018125625056409	0.1864140000000002	-0.0096899999999993	9.389609999935134e-05	0.0347501793959985	0.0029674700000006	0.0009386300000006	8.810262781825715e-07	8.805878202029597e-06	-0.0005867390000001	-0.0004618580000032	2.133128150591881e-07	3.442626551191099e-07	0.0011026600000026	7.096000000034437e-05	5.03532188091482e-09	1.2158590784418802e-06	-0.0710741071000011	-0.0314196099000004	0.1091027827000019	1
-0.0054225854276927	-0.0050937689864221	-1.8113409124833627e-08	-0.0032181579922961	0.0058401100000007	-0.002922820000001	8.542876751855531e-06	3.410688481098652e-05	0.0314737000000005	0.0740479000000025	0.0054830914944123	0.0009905937916902	0.2151310000000003	0.0287169999999995	0.0008246660889986	0.0462813471609986	0.0019055099999994	-0.0010619600000015	1.1277590423516145e-06	3.630968359524512e-06	-0.0001132299999995	0.0004735090000028	2.2421077595855055e-07	1.2821033129777189e-08	0.0009000940000011	-0.0002025660000019	4.103298455277844e-08	8.101692078542932e-07	-0.0730829748000011	-0.0264880274000003	0.1060488668000019	1
0.1435266205548078	-0.0325911538405964	4.1660350241127625e-08	0.0493201103824272	0.0011092399999999	-0.0047308700000004	2.2381130957194512e-05	1.2304133773942854e-06	-0.0252321000000001	-0.0567058000000012	0.0032155477536405	0.0006366588704094	0.1653919999999999	-0.0497390000000007	0.0024739681209999	0.0273545136639985	0.0027263999999999	0.0008208900000006	6.738603926476599e-07	7.433256959500026e-06	-0.0005867390000015	-0.0004735090000025	2.242107764405645e-07	3.44262655352361e-07	0.0007889410000008	-0.000111153	1.235498826124698e-08	6.224279016375149e-07	-0.0750575370000016	-0.0215067163000001	0.1025470733000014	1
0.3848937883221808	-0.0365141547827746	-9.166579536801995e-08	0.0885203850144644	0.0122010000000007	0.0110917600000017	0.0001230271398989	0.0001488644010009	0.0172786999999994	0.0425108000000011	0.0018071681166397	0.0002985534736898	0.2104120000000003	0.0450200000000005	0.0020268003999992	0.0442732097439988	0.0024206799999999	-0.0003057199999999	9.346471713906239e-08	5.85969166117648e-06	-0.0005867390000019	1.2153732924408337e-15	-7.764763558035225e-16	3.44262654582326e-07	0.0008936829999999	0.0001047419999997	1.0970886367009104e-08	7.986693034483183e-07	-0.0769968669000017	-0.0164850286999998	0.0986121913000012	1
0.3557715430237136	-0.0288789629654795	1.8898213556917218e-07	0.0604059453975624	0.0096787100000009	-0.0025222900000008	6.3619468437274e-06	9.367742726451782e-05	0.0327888000000014	0.0155100999999996	0.0002405632020084	0.0010751054054408	0.2378540000000006	0.0274420000000003	0.0007530633639994	0.0565745253159998	0.0017438199999987	-0.0006768599999998	4.581394597447746e-07	3.040908191050449e-06	-0.0005867390000021	1.8621399456702856e-17	-8.77703110876809e-16	3.4426265602597176e-07	0.0012513400000011	0.0003576570000012	1.2791853137999686e-07	1.5658517996557323e-06	-0.0789000542000012	-0.0114323920999998	0.0942608391000014	1
0.1854490294566441	-0.0185968910770727	-3.500295866841147e-07	0.0251331084972173	-0.0069159500000009	-0.0165946600000016	0.0002753827405168	4.783036440321929e-05	-0.0143110999999993	-0.0470998999999998	0.0022184005800088	0.0002048075832094	0.1285589999999992	-0.1092950000000038	0.0119453970250055	0.0165274164809979	0.0037368300000001	0.0019930100000024	3.972088862673296e-06	1.3963898450619612e-05	-0.0001824399999998	0.0004042990000015	1.6345768200135916e-07	3.328435167148056e-08	0.0006428130000002	-0.0006085270000016	3.703051114806389e-07	4.1320855178412573e-07	-0.0807662054000027	-0.0063582923999997	0.0895113939000009	1
