img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-07_ses-retest	mni152	0.7535171616182368	87.99799181620675	12.002008183793246	7.3319389945953946
sub-01_ses-test	mni152	0.8038537568081399	88.09789114829067	11.902108851709325	7.401872411512894
sub-08_ses-retest	mni152	0.7709132423532249	87.37418382293282	12.625816177067186	6.920280051410404
sub-08_ses-test	mni152	0.7650710515175015	86.79124998406229	13.208750015937712	6.57073908426912
sub-03_ses-retest	mni152	0.7848657620709931	86.51854100600188	13.481458993998121	6.417594790335342
sub-09_ses-test	mni152	0.7799780263831873	86.2238470975869	13.776152902413106	6.258920593316256
sub-06_ses-test	mni152	0.7855003276233268	83.88370492547011	16.116295074529887	5.20490004294098
sub-04_ses-retest	mni152	0.7801119618500363	86.01696645084384	13.983033549156168	6.1515239985986225
sub-04_ses-test	mni152	0.7663605136294614	85.42248660728958	14.577513392710422	5.8598805095254205
sub-07_ses-test	mni152	0.7570067350375019	88.58939279268789	11.410607207312104	7.763775510204081
sub-03_ses-test	mni152	0.7851795490396214	86.29921838030123	13.700781619698773	6.298853654905464
sub-09_ses-retest	mni152	0.7929769821352775	86.6776282319999	13.322371768000096	6.506170953748397
sub-02_ses-retest	mni152	0.7730798285701463	86.75580624312778	13.244193756872225	6.550478484061094
sub-06_ses-retest	mni152	0.7915043476682339	84.62944919119731	15.370550808802694	5.505947720671801
sub-01_ses-retest	mni152	0.7861866630878889	86.6798739010526	13.320126098947394	6.507436435448037
sub-10_ses-retest	mni152	0.8073047576301616	87.25749006512748	12.742509934872515	6.847747461928933
sub-05_ses-test	mni152	0.7106967670402313	80.46894863971524	19.53105136028477	4.1200520727391075
sub-10_ses-test	mni152	0.8049043545995177	87.32813261823502	12.671867381764992	6.891496729511352
sub-02_ses-test	mni152	0.7705984013012489	87.3084060320372	12.691593967962799	6.879230950220162
sub-05_ses-retest	mni152	0.7128949657822533	80.80605237943149	19.19394762056851	4.209975664038938
