trial_type.Perf_1	trial_type.Perf_2	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	intercept
-0.0018511903179944	7.0773252181586656e-12	0.0442901999999985	-6.419999999946953e-05	4.1216380547507944e-09	0.001961621816038	0.0443081999999986	-0.0159673999999998	0.0002549578627599	0.0019632165872381	-0.3864040000000014	-0.0048630000000002	2.3648768998614527e-05	0.1493080512160004	0.0028724999999994	0.000320970000001	1.0302174019149765e-07	8.251256249927654e-06	-0.0010136000000008	-0.0001700110000006	2.8903741105714667e-08	1.0273849636598307e-06	-0.0007915329999993	4.974100000145576e-05	2.4741664268849966e-09	6.26524490251917e-07	0.1894824222000013	1
0.0046555509364129	-1.8697335772371832e-11	0.0667806000000005	0.0224904000000019	0.0005058180921624	0.0044596485363606	0.0612985999999988	0.016990400000001	0.00028867369216	0.0037575183619588	-0.3880910000000013	-0.0016869999999999	2.845968998607136e-06	0.1506146242810004	0.0023205199999982	-0.0005519800000007	3.046819188769047e-07	5.384813070421248e-06	-0.0007787759999981	0.0002348240000002	5.5142311978777085e-08	6.064920570524925e-07	-0.0003684579999992	0.0004230750000004	1.7899245673025697e-07	1.3576129386711885e-07	0.1825741858000012	1
-0.0109527322168659	4.907110954488536e-11	0.0619045000000003	-0.0048761000000001	2.3776351207957547e-05	0.0038321671202503	0.0731653000000011	0.0118667000000003	0.0001408185688896	0.0053531611240919	-0.2999550000000016	0.0881360000000021	0.0077679544960015	0.0899730020249963	0.0028098400000001	0.0004893200000015	2.394340637217535e-07	7.895200824796918e-06	-0.0007838500000001	-5.073999999576441e-06	2.5746175847878643e-11	6.144208222285574e-07	1.8669700001979165e-05	0.0003871277000004	1.4986785767122857e-07	3.4855697390511965e-10	0.1747764663000006	1
0.1887938197286136	-1.2770661828288966e-10	0.0723397000000022	0.0104352	0.000108893399041	0.0052330321960906	0.0561621000000002	-0.0170032000000004	0.0002891088102399	0.0031541814764104	-0.3188080000000007	-0.018853000000001	0.0003554356089997	0.1016385408639982	0.0016341099999996	-0.0011757300000011	1.382341033185796e-06	2.6703154927597195e-06	-0.0008435889999999	-5.973900000077382e-05	3.5687478359855833e-09	7.116424007569281e-07	-7.502499999675377e-05	-9.369470000288012e-05	8.778697777288818e-09	5.628751053794084e-09	0.1661272535000006	1
0.7749218299341996	3.290527021520341e-10	0.0803537000000005	0.0080140000000004	6.422419599906751e-05	0.0064567171036916	0.0223393999999991	-0.0338227000000005	0.0011439750352901	0.000499048792359	-0.3160189999999998	0.0027889999999994	7.778520999674564e-06	0.0998680083610005	0.0007715249999999	-0.0008625850000007	7.440528824945976e-07	5.952508268210477e-07	-0.0004687590000009	0.0003748300000016	1.4049753177860998e-07	2.1973499935099907e-07	-7.502499999841473e-05	-3.31369906902776e-16	-6.842902997336639e-16	5.628753025249146e-09	0.1566686852999999	1
1.0997266625050788	-8.399482825803381e-10	0.0804384999999993	8.479999999997345e-05	7.191039751803506e-09	0.0064703522822505	0.0335613999999995	0.0112220000000006	0.0001259332839998	0.0011263675699599	-0.3063329999999998	0.0096859999999998	9.381859599995666e-05	0.0938399068890006	0.0006165750000006	-0.00015495	2.4009502248889724e-08	3.801647307830001e-07	-0.0002804890000017	0.0001882700000005	3.544559231141705e-08	7.867407811539589e-08	-7.50249999989069e-05	-3.0858419577804553e-16	-2.3938978314831458e-15	5.628750958100738e-09	0.1464468430999994	1
1.1410559098445734	2.120703974196309e-09	0.0803866999999993	-5.179999999968116e-05	2.6832399145661074e-09	0.0064620215368906	0.0272049999999999	-0.0063563999999999	4.040382095981015e-05	0.0007401120250003	-0.2795629999999995	0.0267700000000004	0.0007166329000002	0.0781554709690001	0.0004555020000009	-0.0001610729999994	2.594451123403115e-08	2.074820714874375e-07	-0.0003267200000022	-4.623100000024852e-05	2.137303363329631e-09	1.0674595700963849e-07	-0.0002150769999997	-0.0001400520000003	1.9614561777526062e-08	4.6258114488367314e-08	0.1355115265999991	1
1.0941861093968264	-5.284450940725805e-09	0.0804527000000001	6.599999999983846e-05	4.355999625641385e-09	0.0064726369372907	0.0115311999999992	-0.0156738000000001	0.0002456680064399	0.0001329685734395	-0.2834469999999994	-0.0038840000000004	1.508545600009831e-05	0.0803422018090006	-0.0002948720000002	-0.0007503740000008	5.630611392853877e-07	8.694949645368168e-08	-0.0001381470000005	0.0001885730000005	3.555977662199814e-08	1.908459251918681e-08	-0.0003907670000006	-0.0001756900000006	3.086697791963788e-08	1.526988479200078e-07	0.1239160114999992	1
1.045423458098658	1.2979267191424427e-08	0.0763094999999996	-0.0041432000000002	1.716610624001293e-05	0.0058231397902502	0.0225585999999999	0.0110274000000004	0.0001216035507598	0.0005088904339603	-0.2557049999999995	0.0277420000000003	0.0007696185640001	0.0653850470249995	-0.00024813	4.674200000049987e-05	2.1848143584029992e-09	6.156849557382565e-08	0.0002116870000008	0.000349834000001	1.223838296246781e-07	4.4811388142531665e-08	-0.0003527690000014	3.799800000049267e-05	1.44384850766888e-09	1.244459668013425e-07	0.1117167900999992	1
1.0102428549616005	-3.1316812815558395e-08	0.0679285999999995	-0.0083809000000006	7.023948481116878e-05	0.0046142946979578	0.0086275399999995	-0.0139310600000003	0.0001940744327232	7.443444645154344e-05	-0.2562479999999995	-0.0005430000000002	2.94849000051301e-07	0.0656630375039997	-0.0005725809999999	-0.0003244510000001	1.0526845158517073e-07	3.278490018428773e-07	0.0002116870000012	-1.151215653365082e-15	-1.1434041238698004e-15	4.4811386886310375e-08	-0.0003331189999997	1.9650000000790847e-05	3.8612244529821365e-10	1.1096826871641833e-07	0.0989732956999991	1
