trial_type.1	trial_type.1_derivative	trial_type.2	trial_type.2_derivative	trial_type.3	trial_type.3_derivative	trial_type.4	trial_type.4_derivative	trial_type.5	trial_type.5_derivative	trial_type.6	trial_type.6_derivative	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	intercept
-0.0001769527054509	9.432087487467443e-05	-0.0473662946336851	-0.0480529730010662	-4.385294666714188e-09	5.191679828311032e-08	-1.0390856433749559e-15	8.996306316346964e-17	-0.0006078260465498	-0.0003786508205444	8.14057801611956e-10	-4.5762887207877114e-10	0.0065990342790644	-0.0061914013671481	3.833345088893762e-05	4.354725341755208e-05	-0.0311831140866441	-0.0046460941197921	2.158619056911722e-05	0.0009723866041406	-0.0008992585441366	0.013689618044737	0.0001874056422096	8.086659285696782e-07	-0.0001310028168297	-4.392519881379987e-09	-8.788446314085364e-16	1.7161737963008017e-08	-0.0001129967338234	-5.9992863115120605e-05	3.599143221700048e-09	1.2768262773627669e-08	-4.700743546015983e-05	-0.0001060039762808	1.1236842235828303e-08	2.2096966559310327e-09	0.0818468245000012	-0.0205721550000001	1
-1.0906608061991929e-07	1.263065530468356e-07	-0.100053420664475	-0.009640098061533	2.4599176126036905e-08	-1.2705047095337245e-07	-1.119034236546659e-15	-7.551143886467986e-17	0.0014447452289234	0.0010405449912774	-3.568989030718823e-10	1.9952697504781303e-10	0.0051386434696796	-0.0014603908093848	2.132741315621038e-06	2.6405656708835493e-05	-0.0265385444055252	0.004644569681119	2.1572027522026192e-05	0.0007042943391641	-0.0331179492217971	-0.0322186906776611	0.0010380440289841	0.0010967985606562	-0.0001310048130492	-1.996220176804271e-09	-3.3858754775830757e-16	1.716226071609071e-08	-5.29887939752882e-05	6.00079398491709e-05	3.6009530337398603e-09	2.807812244811831e-09	-0.0001700030607977	-0.0001229956253357	1.5127924230938742e-08	2.8901040145145704e-08	0.0793973748000013	-0.0268170139000003	1
-1.2917710449965974e-06	6.836498043062522e-07	-0.0979308582037597	0.0088098038680007	-9.83893666250444e-08	3.030173173091685e-07	-1.1882032938253093e-15	-4.13556227066689e-17	-0.0023153143837282	0.0012866728603501	1.51237767731067e-10	-8.419006727965427e-11	0.0127211234192565	0.0075824799495773	5.7494002185787306e-05	0.0001618269810504	-0.0165795498860594	0.0099589945194653	9.918157183749608e-05	0.0002748814744247	-0.0314777275025905	0.0016402217192067	2.6903272876848247e-06	0.0009908473287262	-0.0001310011552187	3.657831347362335e-09	-3.826722077161474e-16	1.7161301914577678e-08	-5.299717686684439e-05	-8.382891949541003e-09	5.082019129615258e-16	2.808700665548712e-09	-4.350344749128829e-05	0.0001264996133076	1.6002150931528264e-08	1.892548641628769e-09	0.076897776000001	-0.0329941307000005	1
4.862493588521225e-07	-2.563467359726708e-07	-0.0731760875093356	0.014301542826016	3.435199062972846e-07	-7.004375522095188e-07	-1.073065523348062e-15	-1.7027273613820796e-16	0.0913694856032029	0.1078532060778943	-6.233726881092816e-11	3.4579096797439146e-11	0.0127726765953493	5.155317609263003e-05	2.657729146549009e-09	0.0001631412674124	0.0067075172187451	0.0232870671048034	0.0005422874943424	4.499078724168007e-05	-0.0541370701520882	-0.0226593426494979	0.0005134458093082	0.0029308223646515	-0.0004789969556039	-0.0003479958003864	1.211010768611445e-07	2.294380833134675e-07	-5.302631358579181e-05	-2.9136718950500233e-08	6.597322000363979e-16	2.8117902711338483e-09	0.0001099872566152	0.0001534907041079	2.3559395824867918e-08	1.2097195743176428e-08	0.0743496069000004	-0.0390879015000003	1
-1.405917165836737e-07	7.27616356887182e-08	-0.0458133485882303	0.0125416900237057	-1.1159842831867577e-06	1.554798665004708e-06	-8.747372551705249e-16	-2.293529372344542e-16	0.4410029121932225	0.2077772092219613	2.5122544785750103e-11	-1.3894351989014806e-11	-0.0116318514897812	-0.0244045280851308	0.000595580991062	0.0001352999690796	-0.0232522503021485	-0.029959767520894	0.0008975876699056	0.0005406671441139	-0.0961115688616963	-0.0419744987096079	0.0017618585419248	0.0092374336690581	-0.0002940133401403	0.0001849836154628	3.4218937277363863e-08	8.644384351045059e-08	0.000240983440047	0.0002940097536323	8.644173459025913e-08	5.8073017621033376e-08	0.000113035854987	3.048598370683908e-06	9.291514091699654e-12	1.2777104819911906e-08	0.0717544770000007	-0.0450829329000001	1
3.1418520233495125e-08	-1.5543789161444442e-08	-0.0249720112081389	0.0084483265233122	3.4576328140030328e-06	-3.2540677037539776e-06	-2.994388587631577e-16	-1.035792903837332e-16	0.8306463624671048	0.1584158203299017	-9.930536687698746e-12	5.477093473062304e-12	-0.0116465501514264	-1.469866164396843e-05	2.1604855061282727e-10	0.0001356421304294	0.0166738798890428	0.0399261301911913	0.0015940958720437	0.0002780182705556	-0.0961513450303802	-3.977616868291043e-05	1.5821429560608094e-09	0.0092450811511529	-0.000222990165154	7.102317498608003e-05	5.0442900094280435e-09	4.972461326245953e-08	0.0001170186294794	-0.0001239648105697	1.536727424037155e-08	1.3693359980836273e-08	-0.0001699868876838	-0.0002830227426725	8.010187469113107e-08	2.8895542483463933e-08	0.0691140255000001	-0.0509640807999997	1
-3.8005067404914955e-09	1.4408488586613175e-09	-0.0121263377299608	0.0047651693624923	-1.0348455145416852e-05	6.181849273928867e-06	-5.054647248197944e-17	1.0494348073731712e-16	1.0046979558166476	-0.0039412269951601	3.857650490569575e-12	-2.1225354366244056e-12	-0.0116555012578355	-8.951106409042401e-06	8.012028052252273e-11	0.0001358507095704	-0.0449896453431506	-0.0616635252321931	0.0038023903440621	0.0020240681881008	-0.074643788554199	0.0215075564761819	0.0004625749855747	0.0055716951697247	0.0005530079008048	0.000775998065959	6.021730008609608e-07	3.058177383886615e-07	9.695271088925771e-05	-2.0065918588522168e-05	4.0264126220618085e-10	9.399829618767956e-09	-0.0001700267386476	-3.985096220561434e-08	-3.130859463945288e-16	2.8909093525413893e-08	0.0664299200000007	-0.0567164890999997	1
-1.5900881734762862e-09	1.1139184621284432e-09	-0.005340977759895	0.0023520866256371	3.014642589768637e-05	-9.619316260917053e-06	-2.118248360447531e-16	5.359506638707708e-17	0.7886294937419085	-0.1865643528947888	-1.4750855936420717e-12	8.096085356201746e-13	0.0115757158750693	0.0232312171329049	0.0005396894494801	0.0001339971980217	0.0244959117195708	0.0694855570627217	0.0048282426403172	0.0006000496909744	-0.0538478407633536	0.0207959477908458	0.0004324714445189	0.002899589954875	0.0004899572497851	-6.305065101912468e-05	3.975383843911362e-09	2.400581053032637e-07	0.0002590806959211	0.0001621279850308	2.6285483273548587e-08	6.712280645952658e-08	0.0003309367459417	0.00050096348459	2.509644183456864e-07	1.0951912995519597e-07	0.0637038560000001	-0.0623256266000002	1
1.731799559947129e-09	-1.0390356667215043e-09	-0.0021049123668201	0.0010096082171691	-8.594583652650242e-05	6.94184536506705e-06	-7.717008378343661e-16	-7.991329455105212e-17	0.3862689033142417	-0.1874839387451941	5.541558396855115e-13	-3.0342162817229905e-13	0.018184838140956	0.0066091222658857	4.3680497125721165e-05	0.0003306883382159	-0.0293411333749269	-0.0538370450944986	0.0028984274245062	0.0008609021077245	-0.0846962493729622	-0.0308484086096087	0.0009516243137457	0.007173454657848	0.000405954031122	-8.400321866523829e-05	7.056541410056354e-09	1.6479867439010462e-07	0.0002860647750885	2.6984079169328795e-05	7.281403821054385e-10	8.183305476820729e-08	0.0003209418616639	-9.9948842779881e-06	9.989496109066108e-11	1.0300367813759109e-07	0.0609375553000006	-0.0677773241000008	1
-1.0741964170752815e-09	6.206763583493122e-10	-0.0007001515765078	0.00035744521611	0.0002403472241522	3.2929370693361975e-05	-1.1438392639806217e-15	6.007748581429391e-17	0.0930662930087643	-0.1078534069180801	-2.053765475878949e-13	1.117668865005064e-13	0.0115852017172542	-0.0065996364237021	4.3555200924568906e-05	0.0001342168988303	-0.050146840769231	-0.0208057073943025	0.0004328774601763	0.002514705639133	-0.09994864834854	-0.0152523989755764	0.0002326356745095	0.0099897323067014	0.0003894447974881	-1.6509233633567127e-05	2.725537565362665e-10	1.5166725002657241e-07	0.0002860747143138	9.939224054250343e-09	3.0274937230661997e-16	8.183874063131244e-08	0.0003839445071764	6.300264551213585e-05	3.969332187338758e-09	1.474133855367316e-07	0.0581327651000016	-0.0730578103000017	1
