trial_type.distractorcorrectrejection	trial_type.distractorfalsealarm	trial_type.lurecorrectrejection	trial_type.lurefalsealarm	trial_type.targethit	trial_type.targetmiss	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	intercept
-3.0625134946431906e-06	-1.1553378831172344e-08	4.68884596242802e-15	-4.020533211005128e-13	-3.984902855748839e-16	-7.257935831354996e-16	0.0872025886680443	0.0871979226094875	0.087190146030169	0.0871792592074937	0.0871652625298167	0.0871481564964256	0.0871279417175278	0.0871046189142219	0.0870781889184804	1
-1.0313728892673138e-05	2.591100436763945e-08	-1.4929576924101234e-14	1.4715687215450308e-12	-3.400832308384059e-16	-6.902723515853457e-16	0.0871901460301694	0.0871481564964256	0.0870781889184802	0.0869802657587239	0.0868544184544087	0.0867006874075517	0.08651912197197	0.0863097804374293	0.086072730010938	1
7.786217987351957e-05	-5.4989729921855776e-08	4.0393545511136975e-14	-4.898421642321361e-12	-5.543880289989715e-16	-6.713211156216817e-16	0.0871652625298168	0.0870486526731112	0.0868544184544083	0.086582733079229	0.0862338388190311	0.0858080467951633	0.0853057367014329	0.0847273564655123	0.084073421849514	1
-0.0003212879500469	1.0700886616238313e-07	-1.118384876928762e-13	1.5344602269491168e-11	-2.4473621164316976e-16	-6.610186415183469e-16	0.0871279417175277	0.0868994679289541	0.0865191219719696	0.0859875685683104	0.0853057367014328	0.0844748179929486	0.083496264620059	0.082371786777614	0.081103349689251	1
0.0008868964189737	-1.7642686409982885e-07	2.959959730128564e-13	-4.609336640740028e-11	-4.854110608920513e-16	-7.070486099834485e-16	0.0870781889184806	0.0867006874075516	0.0860727300109378	0.0851961307353161	0.0840734218495141	0.082707846569435	0.081103349689251	0.0792645661859045	0.0771968078298657	1
0.0042768626094387	1.7703301733057759e-07	-7.754308805224914e-13	1.3404138080240315e-10	-4.1256265522479997e-16	-6.750893109667029e-16	0.0870160112317317	0.0864524245580965	0.085515815764006	0.0842102260987384	0.0825412888782813	0.0805162051788793	0.0781437127660682	0.0754340483932411	0.072398903632444	1
0.1300750609673011	3.031862238466245e-07	1.985239991325245e-12	-3.7959142915875715e-10	-1.337330818405382e-16	-1.684752366647163e-16	0.0869414175292013	0.0861548210706274	0.0848490943407757	0.0830321050626936	0.0807148015980073	0.0779111469770058	0.074638034763694	0.0709151872627552	0.0667650366818038	1
0.3013766855825564	-2.8166147467622434e-06	-4.978692827964031e-12	1.050487647730303e-09	2.88480090311343e-16	2.298719925174863e-16	0.0868544184544086	0.0858080467951639	0.0840734218495138	0.0816644567802005	0.0786004735294848	0.0749060478407917	0.0706108121404097	0.0657492178603087	0.0603602591084478	1
0.4099996119691058	1.2607992480620252e-05	1.2200102317530611e-11	-2.8469289014502282e-09	7.018654622759094e-16	5.453125758102204e-16	0.0867550264209532	0.0854122996447662	0.0831897942978622	0.0801104030149772	0.0762058446758583	0.0715163376889693	0.0660901857268657	0.0599832801803376	0.053258524456219	1
0.472449182135917	-4.640516950689585e-05	-2.9078592318486662e-11	7.56375361068041e-09	5.480208136576462e-16	7.114325203505202e-16	0.0866432556107427	0.084967805482584	0.0821993463139068	0.0783734910157748	0.0735394546338701	0.0677594212558919	0.0611077440877476	0.0536699889886255	0.0455418337687056	1
0.5002168579045608	0.0001565099121975	6.702305441498077e-11	-1.9704941615256564e-08	1.454554897623536e-15	7.995360414753997e-16	0.08651912197197	0.0844748179929493	0.0811033496892506	0.0764576854195043	0.0706108121404094	0.0636545887255504	0.0556983027918752	0.0468669537072318	0.03729928875421	1
0.4922575465554452	-0.0004796925185082	-1.477375347242451e-10	5.030903200426575e-08	-7.847389371687407e-16	7.836045210767465e-16	0.0863826432168379	0.0839336185365919	0.0799032117459601	0.0743673592016445	0.0674303611629662	0.059222916684601	0.0498996611331194	0.0396362527226765	0.0286260629620282	1
0.472482976691685	0.0012189015064235	3.0529035718872447e-10	-1.2569551931165044e-07	4.637719777611656e-15	7.297454191176979e-16	0.0862338388190311	0.08334451599006	0.0786004735294845	0.0721072836945849	0.0640094436549142	0.0544871599029676	0.0437523380020872	0.0320438669143707	0.0196223028494785	1
0.4417555105520199	0.0008342139062766	-5.663347416879219e-10	3.0652581440892897e-07	-8.869276667962945e-15	6.167606189653995e-16	0.0860727300109381	0.0827078465694358	0.0771968078298656	0.0696826176966878	0.0603602591084478	0.0494716344976788	0.0372992887542101	0.0241590775724032	0.0103919714286419	1
0.2881774396437503	0.1070892215700151	8.327186588416987e-10	-7.264800704588392e-07	2.2623020538033563e-14	2.8208399531306967e-16	0.0858993397806211	0.0820239736384488	0.0756940170337794	0.0670988956969293	0.0564958210494076	0.044202093079846	0.0305856050526645	0.0160538341987468	0.0010416478447892	1
0.1098288440453068	0.2854910821778837	-4.048404574924581e-10	1.6615546335489336e-06	-5.061112558389798e-14	-1.8331647921155745e-18	0.0857136928685368	0.0812932875010948	0.0740940308101697	0.0643620152419974	0.0524299106291441	0.0387055925258487	0.0236581997835158	0.0078020979607592	-0.0083207032526929	1
0.0708407107380989	0.2903651703203231	-3.6658750268824975e-09	-3.6231623397723032e-06	1.0908025843780449e-13	-1.6256882490839531e-16	0.0855158157640057	0.0805162051788792	0.0723989036324435	0.0614782234746824	0.0481770274789166	0.0330103550516668	0.0165654792447922	-0.0005208332119654	-0.0175869783372684	1
