trial_type.cash_demean	trial_type.control_pumps_demean	trial_type.explode_demean	trial_type.pumps_demean	cash_demean	control_pumps_demean	explode_demean	pumps_demean	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
7.439178545973648e-15	-0.0009776874914727	4.448441747628861e-09	0.1720645665345978	3.3742856318633365e-14	-0.0051922721461792	2.168629170789537e-08	-0.4337724135731121	0.5379848164309599	-0.0834979000000018	-0.0060172000000005	3.620669584005643e-05	0.0069718993044116	-0.1009680000000014	-0.0363541000000009	0.001321620586811	0.0101945370240013	-0.0653053000000004	0.0419787000000013	0.0017622112536903	0.0042647822080895	0.0098945900000012	0.0003118399999981	9.724418398182345e-08	9.790291126972336e-05	0.0004267659999986	1.28049465484939e-15	-7.058705191073332e-16	1.821292189874265e-07	0.0007552850000001	0.000132668000001	1.760079758803761e-08	5.704554312800894e-07	-0.0700607062000008	0.0385836084000011	0.0038462255999997	-0.0451842308000006	0.0736957799000018	-0.0812872940000015	0.0658037687000017	-0.0316405151000008	1
-4.227250144425816e-14	-0.0003710296226674	-4.106370391422207e-08	0.2199489830694589	-1.5369058845505154e-13	-0.0019829071199695	-2.0018561227059218e-07	-0.4129597769187986	0.4864947473726832	-0.0730242000000005	0.0104737000000025	0.0001096983916921	0.0053325337856399	-0.0692796000000009	0.0316884000000014	0.0010041546945603	0.0047996629761588	-0.1105950000000008	-0.0452897000000009	0.0020511569260898	0.0122312540250005	0.0097522800000015	-0.0001423099999996	2.0252134820028145e-08	9.510696519948703e-05	0.0006149919999995	0.0001882260000011	3.5429026969881955e-08	3.782151601236941e-07	0.0009887660000024	0.0002334810000018	5.45133778056634e-08	9.776582041771336e-07	-0.0704959515000013	0.0400821236000011	0.0012824970999999	-0.0422967282000006	0.0717551168000017	-0.0816093689000014	0.0691672152000016	-0.0378279629000009	1
1.6343782561686594e-13	-0.0001118692299199	1.83707202889576e-07	0.2476535007026745	5.707806759332974e-13	-0.0006211117552906	8.955726322341724e-07	-0.3332891216873191	0.4977766712541081	-0.0730196999999998	4.499999999943504e-06	2.0250381220085688e-11	0.0053318765880897	-0.0733491999999997	-0.0040696000000003	1.6561644158929305e-05	0.0053801051406392	-0.0932412000000009	0.0173538000000008	0.0003011543744399	0.0086939213774402	0.0097522800000011	-9.13941169229682e-16	-1.5245554576395397e-15	9.510696519991397e-05	0.0004267659999995	-0.0001882260000007	3.5429027775776305e-08	1.8212921890191838e-07	0.0007405890000003	-0.0002481770000025	6.159182511420586e-08	5.484720664610666e-07	-0.070923466200002	0.0415630576000009	-0.0012824970999998	-0.0393350228000005	0.0696177779000017	-0.0816093689000015	0.0721591615000015	-0.0437500746000009	1
-5.646672045555415e-13	-1.304054812719946e-05	-6.742309782421662e-07	0.2375192903558566	-1.911219468877504e-12	-6.960104191187486e-05	-3.286876027578867e-06	-0.1837311372153945	0.4789351627395071	-0.0730124999999995	7.200000000012861e-06	5.183937593187444e-11	0.0053308251562493	-0.0915688000000008	-0.0182196000000007	0.000331953824159	0.0083848451334407	-0.1134780000000008	-0.0202368000000003	0.0004095280742393	0.0128772564840005	0.0102052000000024	0.0004529200000004	2.0513652577367398e-07	0.0001041461070416	0.0010179300000023	0.0005911640000032	3.494748782586687e-07	1.0361814863644153e-06	0.0006626989999986	-7.789000000039553e-05	6.066851049124435e-09	4.3916996447212564e-07	-0.0713432033000015	0.0430257605000007	-0.0038462255999997	-0.0363043104000006	0.0672896215000016	-0.0812872940000014	0.0747635377000014	-0.049365311000001	1
1.8057500538855857e-12	2.465928829223519e-06	2.243089674672551e-06	0.2384216494375083	6.0103206582612585e-12	1.2799064730580612e-05	1.0935062165059226e-05	-0.0303936655311197	0.495290274666172	-0.079813800000001	-0.0068013000000014	4.62576816903622e-05	0.0063702426704411	-0.0620386999999996	0.029530100000001	0.0008720268060101	0.0038488002976885	-0.1049680000000008	0.0085100000000006	7.242009999990549e-05	0.0110182810240003	0.0097522800000011	-0.0004529200000011	2.0513652665474347e-07	9.510696519860898e-05	0.0010179300000027	-1.4396260111100585e-15	-8.964539977277142e-16	1.0361814850390334e-06	0.000712896999999	5.019800000130028e-05	2.519838671206363e-09	5.08222132234386e-07	-0.071755116800001	0.0444695910000006	-0.0064061582999998	-0.0332099078000008	0.0647770290000017	-0.0806444153000016	0.0769663555000015	-0.054634285200001	1
-5.501914969627432e-12	-9.249065156422052e-07	-7.013665137919999e-06	0.2497609286837822	-1.8067948969497796e-11	-4.827410905258476e-06	-3.4191617547200976e-05	0.1390787529200948	0.5408747082990395	-0.0774785000000008	0.0023353000000006	5.453626089781083e-06	0.0060029179622508	-0.0990808000000008	-0.0370421000000012	0.0013721171724102	0.0098170049286406	-0.0793835999999999	0.0255844000000007	0.0006545615233598	0.0063017559489595	0.0106205000000017	0.0008682200000004	7.538059695641365e-07	0.0001127950202536	0.0007222340000016	-0.0002956960000006	8.743612444227987e-08	5.216219500709191e-07	0.0007591509999995	4.625400000019049e-05	2.139430954108322e-09	5.763102406253513e-07	-0.0721591615000006	0.0458939156000003	-0.008959769	-0.0300572439000011	0.0620868871000014	-0.0796832699000018	0.0787557834000013	-0.059520039200001	1
1.6165461960057224e-11	3.8461034789179386e-07	2.102825317174646e-05	0.2143810511701286	5.2554415813857245e-11	2.0318310168150333e-06	0.0001025127342109	0.2321312170808651	0.4988240316423439	-0.0729882000000001	0.0044903000000008	2.0162794090356392e-05	0.0053272773392406	-0.0705692000000009	0.0285116000000014	0.0008129113345593	0.0049800119886386	-0.0744971999999995	0.0048864000000001	2.38769049599274e-05	0.0055498328078393	0.0097522800000007	-0.0008682200000025	7.53805969843039e-07	9.510696519845996e-05	0.0007679330000009	4.569899999985852e-05	2.0883973903353164e-09	5.897210929275251e-07	0.0006717939999989	-8.73570000003824e-05	7.631244662320304e-09	4.513071776534172e-07	-0.072555293200001	0.0472981097000004	-0.0115045374000002	-0.0268518493000011	0.0592265694000011	-0.0784076511000019	0.0801222105000013	-0.0639883028000009	1
-4.6161874171267256e-11	-1.578698043706452e-07	-6.108944275738697e-05	0.1880367136779503	-1.4878641943133218e-10	-8.428535873867312e-07	-0.0002978110334383	0.3370813861828856	0.4133761490208392	-0.0769648000000007	-0.0039766000000007	1.581334755942101e-05	0.0059235804390408	-0.0767810999999997	-0.0062119000000006	3.858770160860006e-05	0.0058953373172091	-0.0868332999999998	-0.0123361000000004	0.0001521793632097	0.0075400219888893	0.0099566599999998	0.000204380000001	4.177118401992518e-08	9.913507835567738e-05	0.0010179300000021	0.0002499970000007	6.249849965214082e-08	1.0361814863124235e-06	0.0007489959999991	7.720200000130326e-05	5.960148143276026e-09	5.609950081595145e-07	-0.072943468400001	0.0486815572000003	-0.0140379523000001	-0.023599347400001	0.0562039158000011	-0.0768225931000019	0.0810582975000013	-0.0680077345000011	1
1.286220690852011e-10	6.278406824474867e-08	0.0001731050417962	0.2113592387709057	4.1146038425195586e-10	3.382138901754233e-07	0.0008438870787558	0.5113540106116932	0.4298359235823771	-0.0730313999999997	0.0039334000000007	1.5471635560176005e-05	0.0053335853859601	-0.1019260000000013	-0.0251449000000009	0.0006322659960086	0.0103889094760014	-0.112762	-0.0259287000000007	0.0006722974836891	0.012715268644	0.0101756999999999	0.0002190399999997	4.797852057103507e-08	0.0001035448704896	0.0008206930000019	-0.0001972370000013	3.890243484005375e-08	6.735370021753681e-07	0.0007578779999992	8.881999999703397e-06	7.888866215945849e-11	5.743790625219352e-07	-0.0733236445000005	0.0500436514	-0.0165575132999997	-0.0203054443000012	0.0530272111000011	-0.0749343514000018	0.081559016800001	-0.0715501408000011	1
-3.5062199353637263e-10	-2.4412436849393582e-08	-0.0004702082914874	0.2340171120074828	-1.1138306197288776e-09	-1.3259248541747068e-07	-0.0022922654209968	0.6912651847027366	0.4873411870788188	-0.0730032999999995	2.8099999999528445e-05	7.896094792932004e-10	0.0053294818108902	-0.0663473999999998	0.0355786000000011	0.0012658367779596	0.0044019774867584	-0.1346130000000004	-0.0218510000000001	0.0004774662009993	0.0181206597690009	0.0101010000000007	-7.46999999990919e-05	5.580089014555169e-09	0.000102030201001	0.0005782369999996	-0.0002424560000017	5.878491251492996e-08	3.343580277680827e-07	0.0008127699999991	5.489200000122767e-05	3.0131303261693046e-09	6.605950735817868e-07	-0.0736957799000007	0.0513837947999996	-0.0190607340999994	-0.0169759185000013	0.0497051625000012	-0.0727503781000017	0.0816216788000008	-0.074590674300001	1
