trial_type.Look_Neg_Ant	trial_type.Look_Neg_Cue	trial_type.Look_Neg_Rating	trial_type.Look_Neg_Stim	trial_type.Look_Neutral_Ant	trial_type.Look_Neutral_Cue	trial_type.Look_Neutral_Rating	trial_type.Look_Neutral_Stim	trial_type.Reapp_Neg_Ant	trial_type.Reapp_Neg_Cue	trial_type.Reapp_Neg_Rating	trial_type.Reapp_Neg_Stim	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	intercept
7.174223342118766e-16	-0.0029869371362234	-5.582999853696773e-07	0.000903460291057	-8.18847440527813e-18	-7.221233251724168e-11	4.5891866971333065e-14	1.931739961348107e-11	-1.2168021659753615e-08	4.740078414405154e-08	-3.3202381522151553e-09	-4.889350844755194e-16	-0.0561988999999987	-0.0209605000000016	0.0004393425602499	0.0031583163612097	-0.0177869	0.0016533000000003	2.733400889151426e-06	0.0003163738116094	0.3650220000000036	0.3785642000000042	0.1433108535216418	0.1332410604840001	-0.0008275599999993	-0.0017688259999987	3.128745416661942e-06	6.848555535121108e-07	-0.0013842299999997	-2.3999999999183796e-05	5.759990788282006e-10	1.916092692451951e-06	-0.0031516299999986	-0.0006855099999987	4.699239594785526e-07	9.93277165714827e-06	0.1009860596000011	0.1008984920000015	0.1007526021000014	0.1005484744000025	0.1002862268000018	1
1.3878246619736778e-16	0.056849452669681	1.0488274445129306e-06	-0.001965268943569	-3.3276199744284317e-16	1.9144191336827283e-10	-1.1695843256613636e-13	-5.1906768707966735e-11	2.80745565431488e-08	-1.0698163420157783e-07	8.180923746723121e-09	-1.4676707111767882e-16	-0.0560214999999982	0.0001773999999994	3.147075891068444e-08	0.0031384084622503	0.0004457889999996	0.0182326890000003	0.0003324309481699	1.987278322197893e-07	0.3097090000000035	-0.055313	0.0030595279689996	0.0959196646810001	0.0019319900000018	0.00275955	7.615116202952296e-06	3.7325853596032526e-06	-0.0017516100000016	-0.0003673800000005	1.3496806538700802e-07	3.068137591937105e-06	-0.0035546299999995	-0.0004030000000008	1.624090009581865e-07	1.2635394435934654e-05	0.1009341646000007	0.1006910253000013	0.1002862268000014	0.099720419000002	0.0989945105000014	1
-7.203988282391916e-16	0.3069573904659226	-1.5926851162295953e-06	0.0546042714712752	-5.204328688650335e-16	-4.982359463285882e-10	2.7990908777774744e-13	1.369146309617538e-10	-6.203432671894698e-08	2.2917040683542626e-07	-1.9652882569432056e-08	-1.0363512896820776e-17	-0.0559082999999986	0.0001131999999993	1.2814239537780472e-08	0.0031257380088907	0.0971161000000004	0.0966703110000013	0.0093451490288369	0.0094315368792102	0.1911910000000027	-0.1185180000000002	0.0140465163239995	0.0365539984809999	0.0049637499999993	0.0030317599999985	9.19156869555413e-06	2.4638814061611693e-05	-0.0018837900000022	-0.0001321800000002	1.74715532803422e-08	3.548664764820461e-06	-0.0035546299999998	-8.038549348361933e-16	7.51309742698079e-16	1.2635394436332092e-05	0.1008563388	0.1003800917000015	0.0995880118000011	0.0984825911000017	0.0970673078000011	1
-1.8191696052691672e-15	0.4010212320514954	1.0137894369575332e-06	0.3629689908937996	-2.4779193155404063e-16	1.2720816158449551e-09	-6.553480464590952e-13	-3.5446798637472076e-10	1.2875053774169122e-07	-4.527933956402781e-07	4.577602130095749e-08	3.875844000095848e-16	-0.0717571999999994	-0.015848900000001	0.0002511876312098	0.0051490957518398	0.0823319000000006	-0.0147842000000007	0.0002185725696393	0.0067785417576104	0.0670237000000025	-0.1241673000000004	0.015417518389289	0.0044921763616893	0.0075368600000004	0.0025731100000012	6.620895071218751e-06	5.680425865758868e-05	-0.0012519500000014	0.000631840000002	3.992217862082558e-07	1.5673788023621786e-06	-0.0034514999999997	0.0001031299999999	1.0635797354520536e-08	1.1912852250802618e-05	0.1007526021000003	0.0999660109000016	0.0986595713000011	0.0968400771000012	0.094516990200001	1
1.1379308262327914e-15	0.2553667056732585	5.817929660280746e-06	0.7645690982458593	-3.742893321878718e-17	-3.181566004884525e-09	1.4777261132539602e-12	8.999845129816423e-10	-2.408287030140492e-07	7.699601522202875e-07	-1.0243158477744597e-07	1.1658216929748173e-15	-0.0721410999999998	-0.0003838999999999	1.473792095421105e-07	0.0052043383092099	0.0413371	-0.0409948000000009	0.00168057362704	0.0017087558364102	0.0383306000000018	-0.0286931000000001	0.0008232939876087	0.0014692348963591	0.005184380000001	-0.0023524800000005	5.534162150617434e-06	2.6877795983957492e-05	-0.0010950700000006	0.0001568799999996	2.46113339237743e-08	1.1991783042852917e-06	-0.0033685399999991	8.296000000014462e-05	6.8823609902033874e-09	1.1347061732472353e-05	0.1006229812000006	0.0994492082000015	0.0975030516000014	0.0947996265000007	0.0913599293000013	1
-9.128091321839787e-15	0.1043938745785555	-3.777501979249516e-05	1.0247491443374008	1.765823918947615e-16	7.775154445175362e-09	-3.1559046466319744e-12	-2.2369700052876726e-09	3.6138732623393814e-07	-8.674139447182415e-07	2.165886520744045e-07	1.0270229338066001e-15	-0.0899292000000003	-0.0177881000000004	0.0003164165016102	0.0080872610126395	-0.0175362000000005	-0.0588733000000007	0.0034660654528906	0.0003075183104403	0.0736970000000019	0.0353664	0.0012507822489586	0.0054312478089993	0.0012941600000011	-0.0038902200000006	1.513381164829244e-05	1.6748501066225918e-06	-0.0009828860000001	0.0001121839999999	1.2585248371849622e-08	9.66064888599654e-07	-0.0045096900000001	-0.0011411500000013	1.3022233243071277e-06	2.0337303896314267e-05	0.1004675095000008	0.0988302147000016	0.0961211263000019	0.0923696238000003	0.0876163914000013	1
2.7377299752630505e-14	0.0151004956113045	0.0001609952608589	1.069790029862627	1.5146065721360792e-17	-1.8489679948079196e-08	6.204523043349569e-12	5.4272768992802786e-09	-2.0872740949524898e-07	-8.409989002313541e-07	-4.184211821927257e-07	1.4128203776113097e-15	-0.0899404000000004	-1.1199999999573896e-05	1.2544024969595354e-10	0.0080892755521597	-0.0088500500000003	0.0086861500000006	7.544920182229283e-05	7.832338500285324e-05	0.0689080000000021	-0.0047890000000001	2.293452099839489e-05	0.0047483124639987	-0.0003119799999989	-0.0016061400000008	2.579685699743232e-06	9.733152050393536e-08	-0.0002855529999989	0.0006973330000008	4.86273314527262e-07	8.15405173137841e-08	-0.0050280900000011	-0.0005184000000003	2.687385602464469e-07	2.5281689047664132e-05	0.1002862268000009	0.0981096665000015	0.0945169902000019	0.0895600545000001	0.0833104080000012	1
-8.888709655391107e-14	-0.0254219745781922	-0.0005592304162023	0.7726742615020381	-2.675357458931729e-17	4.24999915511722e-08	-1.0428402445696995e-11	-1.2792046474642991e-08	-1.434818694173645e-06	1.047709511180145e-05	6.771765968573525e-07	5.882873297777049e-16	-0.0899043000000006	3.610000000028738e-05	1.3032100208656974e-09	0.0080827831584892	0.0037395699999997	0.0125896200000005	0.000158498531744	1.3984383785144344e-05	0.0650464000000017	-0.0038615999999998	1.4911954558918668e-05	0.0042310341529596	-0.0009085279999998	-0.0005965480000005	3.558695163449836e-07	8.254231268856105e-07	-0.0002764989999991	9.05399999929962e-06	8.197486383093636e-11	7.645169850339523e-08	-0.0050280900000011	8.131770205391199e-16	-5.435869042589562e-16	2.528168904732301e-05	0.1000791797000012	0.0972883040000015	0.0926943516000015	0.0863824638000004	0.0784696209000011	1
2.688232737148577e-13	-0.0368623958271894	0.0014472746890996	0.3454638390776068	-1.4399807215055074e-16	-9.335049519758185e-08	1.122357859393408e-11	2.9063777339294032e-08	8.98078773798388e-06	-4.923263682108972e-05	-6.200019862207156e-07	1.133638379522654e-16	-0.0899267000000006	-2.2399999999845497e-05	5.017598185770878e-10	0.0080868113728885	0.0076500999999999	0.00391053	1.529224488055826e-05	5.852403000998249e-05	0.0524286000000015	-0.0126177999999997	0.0001592088768392	0.0027487580979595	-0.0009576600000004	-4.913200000034008e-05	2.413953696043248e-09	9.171126755484342e-07	-0.0003190519999994	-4.255300000074509e-05	1.8107577672831406e-09	1.017941796210611e-07	-0.0046251400000004	0.0004029500000014	1.623687019399937e-07	2.1391920018574012e-05	0.0998464214000014	0.0963669712000014	0.0906574241000012	0.0828499090000011	0.073125105000001	1
-7.882422666063998e-13	-0.0325407667613248	0.0053042205028715	0.0547553096556853	-2.667450892513005e-16	1.9178675153216165e-07	1.421193234156679e-11	-6.279404670708572e-08	-3.72385202279208e-05	0.000187997322102	-1.4922825782089283e-06	-2.8549529563685063e-16	-0.0899070000000008	1.9700000000040777e-05	3.8808998386627136e-10	0.0080832686489982	0.0617313000000009	0.0540812000000009	0.0029247761934396	0.0038107533996899	0.0418589000000025	-0.0105696999999994	0.0001117185580895	0.0017521675092096	0.0006452629999984	0.0016029229999994	2.569362142765782e-06	4.163643385593251e-07	-0.0006896780000004	-0.0003706260000011	1.3736363261623788e-07	4.756557440630807e-07	-0.0047456000000004	-0.0001204599999998	1.4510612309317853e-08	2.252071935903572e-05	0.0995880118000016	0.0953466148000016	0.0884109167000009	0.0789769061000014	0.0673111691000008	1
