trial_type.2	trial_type.2_derivative	trial_type.3	trial_type.3_derivative	trial_type.4	trial_type.4_derivative	trial_type.5	trial_type.5_derivative	trial_type.6	trial_type.6_derivative	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	intercept
-2.0730362217368745e-08	2.258749613531262e-08	-0.0004139135725327	-0.0006531426257957	1.5188090741125926e-17	-1.7871295871144172e-16	2.4786068238766963e-16	-2.6454077367567305e-16	1.3678305092465649e-12	2.813203975039651e-12	0.0157573292596854	0.0135968099507144	0.0001848732408351	0.000248293425397	-0.0139494717534211	-0.0322941684055997	0.0010429133130077	0.0001945877621986	-0.2228973450234005	0.0385252085549247	0.0014841916941999	0.0496832264184832	0.0021722815309624	0.0004230233557012	1.78948760850727e-07	4.718807052488219e-06	-0.0010139794044789	-0.0004167632707593	1.736916266333101e-07	1.0281542327948197e-06	-0.0004398996758694	0.0003780791930759	1.4294387796061026e-07	1.935117260175312e-07	0.1512762890000019	1
6.211295726806402e-08	-4.642846619652769e-08	0.0009362781078876	0.0016943522428748	-6.431042979844629e-17	-1.574203792118784e-16	9.866744628589644e-17	5.322272906957321e-17	-3.1764060187874733e-12	-7.766582912764233e-12	0.019257121472948	0.0034997922132616	1.2248545536051964e-05	0.0003708367274221	0.026095327564321	0.0400447993177417	0.0016035859523968	0.0006809661206896	-0.2285092796077798	-0.0056119345843799	3.149380977811431e-05	0.0522164908668703	0.0020028579682065	-0.0001694235627546	2.8704343255748953e-08	4.011440039732388e-06	-0.000991797960446	2.218144403285564e-05	4.92013626029669e-10	9.836631977660403e-07	-0.0002960069435234	0.0001438927323456	2.0705117387942903e-08	8.762010884400056e-08	0.1502346003000017	1
-1.8187453031905504e-07	8.549610069730385e-08	-0.0020953948575415	-0.0029392702730643	-1.034425146575358e-16	-1.8659915680322916e-16	1.2840447144532116e-16	-1.0028867817268904e-16	7.111054147644206e-12	2.116594648199792e-11	0.0145063486358627	-0.0047507728370853	2.256984254957969e-05	0.0002104341507432	-0.0294440963363776	-0.0555394239006986	0.0030846276072215	0.000866954809065	-0.2066464454431078	0.021862834164673	0.0004779835177119	0.0427027534142731	0.0021828211709816	0.0001799632027716	3.238675373374616e-08	4.7647082669245945e-06	-0.0009019372316579	8.986072878943728e-05	8.074948867371086e-09	8.134907704986231e-07	-0.0003990160164474	-0.0001030090729239	1.0610868708236066e-08	1.592137804825571e-07	0.1489877092000019	1
5.224977838613601e-07	-1.226831438547462e-07	0.0559139402654875	0.0805698827172859	-3.5878260896875015e-17	-9.177175448363767e-17	3.3915088700172955e-16	-3.4687522212091813e-19	-1.5094395794402033e-11	-5.6969731297535365e-11	0.0090161112007788	-0.0054902374350839	3.014270709400105e-05	8.129026118432363e-05	0.0199278774112768	0.0493719737476552	0.0024375917917394	0.0003971202981188	-0.2067813030682279	-0.0001348576251203	1.8186578593424672e-08	0.0427585072985958	0.0016218821958641	-0.0005609389751185	3.146525353723874e-07	2.6305018562335846e-06	-0.0005968255423801	0.0003051116892777	9.309314471381072e-08	3.562007260059878e-07	-0.000401516593885	-2.5005774366017675e-06	6.252381347770799e-12	1.6121557493364714e-07	0.1475373187000016	1
-1.4764024608729191e-06	4.0545388159397394e-08	0.3676596846135596	0.2022037986208466	-8.894538767280585e-17	-1.7157614625831863e-16	4.0427409793100797e-16	-9.38581146115571e-17	2.936786794905355e-11	1.514207656567487e-10	0.0022002416299485	-0.0068158695708296	4.645607800601324e-05	4.841063231419142e-06	-0.0215607585764279	-0.0414886359877056	0.0017213069161206	0.0004648663103907	-0.2066835584139587	9.774465426886172e-05	9.55401778262114e-09	0.042718093318657	0.0016218089780463	-7.321781677639414e-08	5.5634799393365446e-15	2.63026436178149e-06	-0.0006519838380995	-5.51582957196208e-05	3.0424365822038633e-09	4.250829242400181e-07	-0.0005959715633231	-0.0001944549694397	3.7812735226113984e-08	3.5518210576316625e-07	0.1458854101000012	1
4.091395536110391e-06	6.434367803470536e-07	0.7730517580483828	0.1743292661380856	2.618229469215705e-16	-7.37277039754967e-17	3.889033193831181e-16	-7.800694662871446e-17	-4.858631157939709e-11	-3.9602739487975074e-10	0.0080463390033847	0.0058460973734368	3.4176854499010496e-05	6.474357135752568e-05	0.0399483115825495	0.0615090701589776	0.0037833657118236	0.0015958675982976	-0.2155166479368817	-0.008833089522924	7.802347051928328e-05	0.0464474255379515	0.0014748694617475	-0.0001469395162971	2.159121964364153e-08	2.175239927520638e-06	-0.0005428560580886	0.0001091277800115	1.1908871969115566e-08	2.946926980891441e-07	-0.0004820998154956	0.0001138717478292	1.2966774624825916e-08	2.3242023189880387e-07	0.1440342395000007	1
-1.117745326965769e-05	-3.6861203393652215e-06	1.000738331112878	0.031338305919611	3.170152166869598e-16	-5.730704061014686e-17	3.7294689002196864e-16	2.508254994245612e-17	4.9031422626688897e-11	1.0217508699014558e-09	-0.0103286536647446	-0.0183749926681309	0.0003376403555571	0.0001066810865281	0.0309015728896196	-0.0090467386929312	8.184348097724078e-05	0.000954907207052	-0.1798411538973011	0.0356754940395814	0.001272740874969	0.0323428406351123	0.0013563766335243	-0.0001184928282231	1.4040549817255112e-08	1.839757573991045e-06	-0.0004149083853679	0.0001279476727216	1.6370607431808015e-08	1.721489661318904e-07	-0.0006012192792131	-0.0001191194637202	1.41894473404891e-08	3.614646224316281e-07	0.1419863355000003	1
3.0159718452723817e-05	1.4977120208890137e-05	0.8472340352999372	-0.1672916619841443	4.0596667367501993e-16	1.1596963831895788e-16	3.9299578907601964e-16	-3.028055958947053e-17	8.618586027004282e-11	-2.599625164146364e-09	-0.006506307998934	0.0038223456658108	1.4610326389040927e-05	4.233204377755899e-05	0.0668113744650061	0.0359098015753864	0.0012895138491825	0.0044637597579044	-0.1550941880018903	0.024746965895411	0.000612412321028	0.0240542071519653	0.0003548715208283	-0.0010015051126976	1.0030124957356105e-06	1.2593379387549409e-07	-0.0004141099208273	7.984645419175325e-07	6.373080779088014e-13	1.7148702650769526e-07	-0.0006214262909491	-2.020701173391596e-05	4.08322505407316e-10	3.861706359919938e-07	0.1397444952000005	1
-8.044630766847541e-05	-5.3347527346830126e-05	0.4473558575123831	-0.1973473676534448	3.052111952431125e-16	-4.83809249562473e-17	1.3987726430828884e-16	-1.8899514301614543e-16	-8.085945932161398e-10	6.510355077324515e-09	-0.0026238007037182	0.003882507295217	1.5073862896104132e-05	6.884330132879206e-06	-0.0218516019158559	-0.0886629763808619	0.007861123380717	0.0004774925062876	-0.1551340451858833	-3.985718399278998e-05	1.5885959956697627e-09	0.0240665719757353	0.0011483495654119	0.0007934780445823	6.296074084867395e-07	1.3187067249505503e-06	-0.0004668733274916	-5.276340666469909e-05	2.7839775565085286e-09	2.1797070230408665e-07	-0.0006497324619667	-2.8306171017511645e-05	8.012397963486646e-10	4.221522727544752e-07	0.1373117808000012	1
0.0002116227814708	0.0001767136654705	0.1280936095757703	-0.1199577201144969	7.892833836085596e-17	1.5554282065717147e-16	1.8486216348398786e-16	1.8877463034001784e-17	3.648411854717216e-09	-1.598652022939307e-08	-0.0113099590177535	-0.008686158314036	7.544934625713046e-05	0.0001279151729852	0.057577456650805	0.0794290585666624	0.006308975344789	0.0033151635143762	-0.1551291693644655	4.875821417475721e-06	2.3773774031579924e-11	0.0240650591877086	0.0007037802253682	-0.000444569340042	1.976418957561924e-07	4.953066034417163e-07	-0.000584264014284	-0.0001173906867946	1.378057409155309e-08	3.413644405619454e-07	-0.0007507942503762	-0.0001010617884097	1.0213484785996657e-08	5.636920082353484e-07	0.1346915149000013	1
