img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-5420_run-02	mni152	0.8612091131973928	87.89746719560574	12.102532804394263	7.262733232476046
sub-5421_run-01	mni152	0.8689896382747915	88.06279070649022	11.937209293509781	7.377167354715784
sub-5429_run-02	mni152	0.869118357352264	88.13780062726396	11.86219937273604	7.430139880285522
sub-5427_run-02	mni152	0.8566030620710461	88.56113593300428	11.438864066995718	7.742126789366054
sub-5428_run-01	mni152	0.8738583037655946	89.71083006615305	10.289169933846944	8.718956985154167
sub-5432_run-01	mni152	0.85756186242327	86.65323015480499	13.346769845195022	6.492449570935028
sub-5415_run-03	mni152	0.8332949043117363	84.7163619315518	15.283638068448195	5.542944785276074
sub-5410_run-02	mni152	0.8748865429592609	88.67118613013307	11.328813869866936	7.827049428889113
sub-5426_run-02	mni152	0.8428184478113503	85.23683613005295	14.763163869947043	5.7736157967850765
sub-5404_run-01	mni152	0.8688561966914101	87.99765298203775	12.00234701796226	7.331703778464644
sub-5437_run-01	mni152	0.8368014746596458	84.15967865945231	15.840321340547685	5.313003243439407
sub-5425_run-01	mni152	0.8527620745555142	88.30427805820402	11.695721941795973	7.550134869626028
sub-5437_run-02	mni152	0.8358714043993232	84.09265577302926	15.907344226970732	5.286404479161963
sub-5424_run-03	mni152	0.865162939441879	88.76135949859386	11.238640501406136	7.897873367111296
sub-5424_run-02	mni152	0.8617680031902006	88.42899275798706	11.57100724201294	7.642289984653367
sub-5439_run-01	mni152	0.853104241468036	86.7218268823611	13.278173117638904	6.531156516340238
sub-5420_run-01	mni152	0.8597701235268638	87.81231049698893	12.187689503011072	7.205000625860558
sub-5418_run-01	mni152	0.851839506534607	86.22014110563644	13.779858894363562	6.256968359879465
sub-5401_run-03	mni152	0.8593833567553013	86.85133618874016	13.148663811259844	6.605335525756246
sub-5416_run-03	mni152	0.8704131363874934	88.25425545663957	11.745744543360424	7.513721682847896
sub-5408_run-02	mni152	0.8573733355434002	86.71989389327481	13.280106106725183	6.5300603170150096
sub-5422_run-03	mni152	0.8532234344283206	88.10380695223006	11.896193047769948	7.406050540575746
sub-5411_run-03	mni152	0.8467705317066272	87.38563647956245	12.614363520437557	6.927470921381159
sub-5426_run-01	mni152	0.8477771075142996	85.56971775450694	14.430282245493059	5.929871384271262
sub-5430_run-01	mni152	0.8690539921201315	90.45570797488956	9.544292025110439	9.477466504263095
sub-5412_run-02	mni152	0.8664652022233846	88.51256540275797	11.487434597242032	7.705163816472005
sub-5411_run-02	mni152	0.8487173759261327	87.43800511685532	12.561994883144681	6.960519083969465
sub-5409_run-01	mni152	0.8656208332402214	87.68089697737939	12.31910302262061	7.117474122618975
sub-5436_run-01	mni152	0.8734011830398325	88.63364550974167	11.366354490258338	7.797895586109524
sub-5424_run-01	mni152	0.8618655677199497	88.68394176740357	11.31605823259643	7.836999416629491
sub-5418_run-02	mni152	0.8547971868745294	86.45862740145313	13.54137259854687	6.384775750925799
sub-5414_run-03	mni152	0.8672154712563914	89.5903005093178	10.409699490682202	8.606425246906573
sub-5432_run-02	mni152	0.8534313797188784	86.11366311354135	13.886336886458645	6.201323201190349
sub-5408_run-03	mni152	0.8595758034445203	86.92384657313312	13.076153426866874	6.64750892219843
sub-5415_run-02	mni152	0.8348196863481968	84.95925392015533	15.040746079844663	5.648606356968216
sub-5429_run-03	mni152	0.8712412682564289	88.36125672388391	11.63874327611608	7.591992934942596
sub-5411_run-01	mni152	0.85041761579347	87.43704746888729	12.562952531112709	6.959912270013404
sub-5422_run-01	mni152	0.8576500302105733	88.18351951534795	11.816480484652041	7.46275675146132
sub-5416_run-01	mni152	0.8708405679452199	88.45535717694125	11.544642823058746	7.662026321010515
sub-5435_run-03	mni152	0.857374804887139	86.857343655959	13.142656344041	6.60881190090167
sub-5401_run-02	mni152	0.8590826161472827	86.79051374568527	13.209486254314726	6.5703171247357295
sub-5422_run-02	mni152	0.8508415922986083	87.76207198282341	12.23792801717658	7.171317878291545
sub-5407_run-01	mni152	0.8667336924716016	88.2627099219144	11.737290078085604	7.5198541856529095
sub-5416_run-02	mni152	0.8731372504725115	88.6260886845595	11.373911315440498	7.792050265439151
sub-5439_run-03	mni152	0.8528169014084507	86.73321308979642	13.266786910203576	6.5376201243640475
sub-5409_run-02	mni152	0.86182121352478	87.23459318353156	12.765406816468444	6.833671220802116
sub-5419_run-03	mni152	0.8667571214336454	88.41298138670041	11.587018613299596	7.630347748403533
sub-5440_run-01	mni152	0.8683676155379235	88.47192690075283	11.52807309924717	7.674476570289133
sub-5417_run-01	mni152	0.8733762429749005	88.93627011403566	11.063729885964339	8.03854315232894
sub-5417_run-02	mni152	0.8726365457075936	88.7624974103601	11.237502589639906	7.898774367553173
sub-5433_run-01	mni152	0.863565260568139	87.84144549214102	12.158554507858991	7.224661898366493
sub-5420_run-03	mni152	0.8592238979507418	87.64530574076468	12.354694259235325	7.094089412633458
sub-5408_run-01	mni152	0.8567288987603837	86.5841376260327	13.415862373967302	6.453862987894402
sub-5432_run-03	mni152	0.8507979101571758	85.8573557276624	14.142644272337607	6.070813496709071
sub-5418_run-03	mni152	0.8589206861098989	87.04877418000683	12.951225819993178	6.721276842044337
sub-5419_run-02	mni152	0.865293078420561	88.23441665487341	11.765583345126583	7.499366080426514
sub-5430_run-02	mni152	0.8782130855288853	90.894100036422	9.105899963578	9.981890905894248
sub-5437_run-03	mni152	0.8365661547685752	84.08725660415261	15.912743395847384	5.2842715119817845
sub-5440_run-02	mni152	0.8623955099561356	87.68923532822264	12.310764671777362	7.122972265829409
sub-5428_run-03	mni152	0.8689921569668045	89.12877815880125	10.871221841198746	8.19859804728014
sub-5415_run-01	mni152	0.8296655735820729	84.43652447271265	15.563475527287348	5.425300044625033
sub-5404_run-03	mni152	0.8710159698438987	88.22055993897371	11.779440061026289	7.489367871641214
sub-5407_run-02	mni152	0.8616583264711472	87.66480912847341	12.335190871526592	7.1068871200713
sub-5407_run-03	mni152	0.8654157085032393	88.24544223516001	11.75455776483999	7.507338344885938
sub-5421_run-02	mni152	0.8595542002361117	87.10919919589547	12.890800804104533	6.757469960140817
sub-5429_run-01	mni152	0.86825901541224	88.05689289521706	11.943107104782934	7.373030495552731
sub-5421_run-03	mni152	0.8589035321263756	87.03773789940308	12.962262100596927	6.71470282146161
sub-5404_run-02	mni152	0.8719450206885169	88.32199718812934	11.678002811870654	7.563108059740344
sub-5425_run-03	mni152	0.8572677538216775	88.16592251855225	11.834077481447752	7.450172829844127
sub-5410_run-03	mni152	0.8759376933874693	88.83607724277283	11.163922757227159	7.957424928013163
sub-5423_run-02	mni152	0.8558613932939209	87.57285031998872	12.427149680011281	7.04689752476766
sub-5409_run-03	mni152	0.8639509524657291	87.33610537248182	12.663894627518173	6.89646494552345
sub-5433_run-02	mni152	0.8625036253709033	87.51292170015618	12.487078299843809	7.008278445827541
sub-5423_run-01	mni152	0.8556467032168374	87.61004873245994	12.38995126754006	7.071056765330952
sub-5425_run-02	mni152	0.8593194075656484	88.37800307124594	11.621996928754056	7.604373294282101
sub-5427_run-03	mni152	0.8560795167457259	88.54818327899031	11.451816721009687	7.732238948300525
sub-5412_run-03	mni152	0.8658885129813139	88.23767734833659	11.762322651663405	7.501722233053876
sub-5423_run-03	mni152	0.8515028348046703	86.95210471852741	13.047895281472584	6.664071318996208
sub-5401_run-01	mni152	0.8586399584495188	86.73912881691462	13.260871183085385	6.540982686533659
sub-5428_run-02	mni152	0.8679496164409508	89.0632531525508	10.936746847449195	8.143486760263016
sub-5430_run-03	mni152	0.8814757825064952	90.90325538743696	9.096744612563045	9.992943548387096
sub-5440_run-03	mni152	0.8642828648868309	87.7419940880584	12.258005911941593	7.157933738845832
sub-5417_run-03	mni152	0.8699773181319754	88.38242026552724	11.617579734472761	7.607644818074347
sub-5414_run-02	mni152	0.870378735099794	89.95228939685252	10.047710603147475	8.95251594613749
sub-5436_run-03	mni152	0.8737674292472373	88.66343842323113	11.336561576768878	7.821016789157845
sub-5412_run-01	mni152	0.8699981128514814	88.78728583754469	11.212714162455319	7.918447268979732
sub-5433_run-03	mni152	0.8620173189132939	87.46855826196483	12.53144173803517	6.979927776105928
sub-5410_run-01	mni152	0.8772501932103071	88.777612452787	11.222387547213001	7.910759816420194
sub-5426_run-03	mni152	0.8478114183380566	85.84348917940764	14.156510820592363	6.063887512065323
sub-5435_run-02	mni152	0.8600622356741396	87.10101698980013	12.898983010199874	6.752549167707638
sub-5436_run-02	mni152	0.8718722551293889	88.37078352445232	11.629216475547675	7.599031603742721
sub-5414_run-01	mni152	0.8677676176960902	89.63750783186416	10.362492168135839	8.65018823439936
sub-5439_run-02	mni152	0.8542271468144045	86.88540602272045	13.114593977279556	6.625093096533946
sub-5419_run-01	mni152	0.8695465372207315	88.66488867026877	11.335111329731225	7.822145375644155
sub-5427_run-01	mni152	0.8552723483461261	88.64306034364692	11.356939656353084	7.805188988043966
sub-5435_run-01	mni152	0.8594390890379519	87.13023636349989	12.869763636500108	6.770150472413391
