bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_T1w	0.380415004721397	3.4021098614942478	0.5730712476801558	181.9615156763954	3.9940134829213316	4.45303	3.800460226525082	3.7285502222389115	0.2476635732210703	0.39904020934837636	0.35329621743055334	1.3062784671783447	0.6235166788101196	0.000401098792760089	0.04330839826923512	19.644529370801106	11.790740883948668	16.58216637575373	160	192	192	2.4576076442310737	7.998505895433897	9.099999589589322	16.84388522910299	7.122480124969974	14.355954500637806	14.54164299551598	22.14649436094016	1.0	1.3333332538604736	1.3333332538604736	5.373684938725923	29.58194559156548	32.00783352131913	19.95271909236908	1771654.0	0.0	79.71631371974945	24.48692445248682	61.70521719414597	107.25207761870897	313.2406461250765	321.60757172107697	12017.0	100.78487207889557	475.55556547641754	130.85660391682936	0.13494696346015544	79.63291514696299	651.2393545909614	648.2269638776779	6425.0	517.6926821947097	788.1985980033871	81.03719928575157	0.9362233297226039	54.18683398644577	1000.3000494167545	1000.0000208616257	106706.0	903.5461181402206	1097.1158621311188	59.3684486374099	0.1622786521911621	0.44866788387298584	0.49798449873924255	0.5342830216147678
sub-02_T1w	0.30015873135389487	4.356646241951852	0.47678515454877934	791.015625	3.778061811905611	4.02407	3.7068002209425104	3.6033152147743235	0.22773800944907902	0.4177123088898347	0.3545496816610863	1.4157313108444214	0.45229044556617737	0.01907349158789293	0.04905800116543568	26.28831493785067	14.504070383718465	20.880736167468836	160	192	192	1.7885685134824976	9.264023850442243	10.479862350133624	20.386994686476132	7.594860137668752	15.175911438723562	15.650014829135609	24.179272911014518	1.0	1.3333332538604736	1.3333332538604736	1.4432270578491213	27.094956530804666	21.997713653931466	18.275270462036133	2065943.0	0.0	54.8258113861084	17.59262245877588	83.34519798058274	113.46013047274455	305.46699763622644	314.10621106624603	7787.0	94.23186331987381	468.70357713103283	175.6074980763429	0.11387647444877036	67.73739132701166	629.8393817210388	627.6413199305534	7540.0	521.4163103699684	742.4328625202179	67.74590695201186	0.8445880468481421	44.02930436255758	997.5818008602969	999.9999555945396	81289.0	911.4791142940521	1073.6721396446228	49.05057464627312	0.1721435934305191	0.47776588797569275	0.5144129395484924	0.532238177040174
sub-03_T1w	0.4339075718313174	3.0243667965290673	0.5697081786489768	227.81577237440578	3.761190142745384	4.09896	3.6047027148570248	3.5799077133791273	0.23421454351033602	0.4158308076460155	0.34995464884364846	1.4228109121322632	0.6332625150680542	0.0004884459914385306	0.03264680449336558	23.00556986414486	12.814664124175954	17.8791470786788	160	192	192	2.627198078332461	8.064249188530411	8.668356828039629	15.313623217256017	8.54477964241396	15.162744873580033	15.455620664089713	22.659337476275144	1.0	1.3333332538604736	1.3333332538604736	5.9043232508600365	28.918981949777002	34.202891382481354	19.505556911230087	1857258.0	0.0	78.70265404880047	28.59728663315179	90.03288309666321	113.65832440726311	359.9881390206492	377.1830365508795	13314.0	124.89226643219592	527.1036542057991	143.56316506645325	-0.18186319692846276	84.06680799353781	672.8411048428432	669.312772616744	9935.0	542.0049924507738	815.150831848383	82.9933539420534	0.662852030351091	59.519300059424765	1000.117637007591	1000.2268137037754	95467.0	890.4513538777828	1106.8269503116608	65.31580155133823	0.15532860159873962	0.4521997272968292	0.4787997007369995	0.5291093529856503
sub-04_T1w	0.33206548111639667	3.812257112103494	0.5624931814225109	178.7569	3.4738351328578667	3.73455	3.3579602001500253	3.328995198423576	0.22238869418043325	0.44034871711968365	0.3372625886998831	1.3467538356781006	0.5559361219406127	0.0019116778926860454	0.0337710226172863	21.947799308998047	11.506376129137195	17.87237975734706	160	192	192	0.9196713020574534	8.319730923839192	8.93163412943999	17.55550016242333	6.385639268690903	13.897646386675996	14.14024869267782	22.137460422666564	1.0	1.3333332538604736	1.3333332538604736	27.279626907504895	29.594016665529193	29.808461974267683	19.960860908031464	1615431.0	0.0	60.66536158323288	24.384198058609925	55.74920104525326	143.32788463501393	309.19989022440916	288.4540095925331	8733.0	82.58316963911057	475.1467674970627	313.63106938485527	0.11098682904086221	73.69490424553348	627.7754507316486	627.788645029068	12607.0	505.40117040276533	754.2074307799339	75.45481360715155	1.256581554137668	49.90363594579432	996.8888750826823	999.9999925494194	94491.0	895.4990148544312	1082.9745516180992	56.961903208354784	0.17560835182666779	0.48005297780036926	0.5111732482910156	0.4331330326152586
sub-05_T1w	0.3264271283207108	3.911007435377034	0.5091554094135371	800.2291144973093	3.7012051391211234	4.10142	3.4861577077911914	3.516037709572178	0.23422257398529545	0.41232202347213104	0.3534554025425735	1.2617859840393066	0.44193729162216155	0.01638880918282668	0.05884221891369664	24.42219624217119	13.977429353262542	20.170196731578567	160	192	192	2.0139027859434764	8.702167595159347	10.535071554043176	20.889144281026706	8.04420169697502	16.194842309748026	16.42008425782558	25.021208766753695	1.0	1.3333332538604736	1.3333332538604736	2.9963960824380758	26.183241075833937	22.385556566173815	17.66032773256302	1985837.0	0.0	52.980983197689056	17.668262710923425	128.58812702520962	86.95893933944848	315.4497325068699	321.49530923366547	10864.0	111.33096384108066	455.8717116907239	159.6306012271543	-0.09524645784793195	74.34511517152848	648.4755821600219	647.2445660233498	9061.0	526.6515981853008	774.1540014445782	74.3732917119697	1.3587129401068996	40.80380999774121	995.9980966454192	999.9999444186687	89713.0	908.4756182134151	1065.8716777861118	47.87148566844105	0.16756649315357208	0.46749839186668396	0.5131720900535583	0.5842889759583465
sub-06_T1w	0.2948628364045757	4.248053712039989	0.5760037598445891	227.40105014232967	3.784626809860874	4.14668	3.6224402159142626	3.584760213668359	0.2206140010184442	0.42830588069805847	0.35108011828349733	1.2521417140960693	0.4492736101150512	0.0	0.061223208318371615	20.809517533704962	11.105413544781767	16.281325633022316	160	192	192	1.3025220337550893	8.69738985656967	10.747897693470096	22.24378119008553	8.397727894780315	15.360314398461968	16.070715904500812	24.45410542026016	1.0	1.3333332538604736	1.3333332538604736	6.905924986789376	26.790446331996936	27.5895052532529	18.069881454110146	1944810.0	0.0	71.32006308436394	20.656271270939808	49.22481023113931	103.60553139011203	350.6054627162725	343.4077028557658	12422.0	104.66139302402735	495.55850335620335	263.6376745402842	0.12929682123234398	69.34695178857613	632.2491773988845	628.1282685995102	13680.0	520.668442606926	761.3376756642014	72.21767916968125	1.0894173125540485	40.30421129592459	997.0260652225879	1000.0000325068831	114581.0	918.0459241420031	1064.7637669220567	44.95619068657769	0.15953923761844635	0.4652467668056488	0.5027665495872498	0.5143526895871031
sub-07_T1w	0.3157714206625663	4.049850092143112	0.5131069432869501	992.5961840357445	3.4669459649107437	3.77833	3.327187698315841	3.29532019641639	0.2296774969516278	0.41678141604894636	0.3535410869994258	1.2546420097351074	0.36539278030395517	0.020101683149136615	0.05886479433909397	23.752523078297667	13.209651711655995	19.128882859586916	160	192	192	1.2129606175215988	8.522415052434724	10.510091302012805	21.79489823608209	8.716259067086774	18.359986369167185	18.6108721918967	28.75637113943614	1.0	1.3333332538604736	1.3333332538604736	111.78367215169332	22.782302920523883	19.476604377804712	15.366429805755615	1919807.0	0.0	46.26815128326416	15.888876058854969	73.80059855163537	124.4264236428612	304.8042352634761	303.10704946517944	9461.0	94.05605936050415	453.225248336792	249.87705775421142	-0.02341371579020457	74.605783190287	638.779121530769	638.466715335846	7190.0	517.6376071214676	766.295147895813	74.91096247149498	1.3879991356460453	39.556086389481024	996.5054727540563	999.9999704360962	93372.0	914.2181425094604	1064.1674795150757	45.882050224121166	0.1698615700006485	0.45711204409599304	0.5138185024261475	0.5819643813623812
sub-08_T1w	0.2842227570859057	4.39762855319366	0.5296001716022711	825.3332376154053	3.708424306890029	4.0676	3.513165209400964	3.5445077112691226	0.2061640726002851	0.43936817296149255	0.35446775443822237	1.196819543838501	0.4093052387237548	0.012503908432024901	0.0843790189148464	22.8073981731846	11.236876217048856	16.595470012760526	160	192	192	0.7317764324625144	8.665313959678203	10.497531914610603	22.095505351691088	8.243264448054438	14.621236134381187	15.49153229132052	23.610096291525938	1.0	1.3333332538604736	1.3333332538604736	0.43740588045180173	27.748145193690306	23.94666212716317	18.71583952009678	1942726.0	0.0	56.14751856029034	18.42993474020928	13.845864963294282	94.54014070416608	449.54522275055604	349.1415018439293	8038.0	138.966488660872	1690.5703147396416	477.0853057006425	0.15259805497576595	68.83831890234084	622.0316575919484	619.2789731472731	17038.0	509.2392222933471	744.5729613445699	71.46432342760653	1.2839157527658145	39.37126205948388	996.2221920553001	1000.0000036209822	109132.0	913.9043813802302	1062.883016049862	45.25786607213038	0.1472698599100113	0.47450000047683716	0.521336555480957	0.5187908001231779
sub-09_T1w	0.34506834790310353	3.606093387942072	0.5875284615543985	214.86127244332388	3.9968509845948805	4.37731	3.8420102290016547	3.7712327247829873	0.26116394602435344	0.40021971292938535	0.3386163410462612	1.269237995147705	0.5737226843833922	0.0008062861996012109	0.06323752569729789	16.910857613436022	10.664900157999435	15.632870113075262	160	192	192	3.254599769373617	8.27801214668706	10.505319525102019	19.983346659245385	8.683279721034427	15.287444349836179	15.787867146785914	23.392877369487138	1.0	1.3333332538604736	1.3333332538604736	1.655810790493116	28.005805739060392	30.24547066792293	19.07125996425748	1745298.0	0.0	75.86123408004642	22.28012708307877	35.79510541279187	92.36530162017034	356.80170427146226	371.19331695511937	21002.0	140.4643704129383	503.6628941036761	114.04919377440744	0.24090935771258604	74.68214863749438	657.1282717893026	653.5085081085563	11259.0	533.7349411647767	793.1343485198915	78.94159543125932	0.9045408928927805	44.88109894080191	997.450704259711	1000.0000026337802	123500.0	909.6082847714424	1074.1054699234664	50.04146558103797	0.15143737196922302	0.4534376859664917	0.49223223328590393	0.4565734188412207
sub-10_T1w	0.28740223892044076	4.399177856765832	0.5126218010812111	329.0568925428826	3.831181810144294	4.27208	3.620212715781493	3.6012527146513884	0.2310551141285107	0.4263137512541402	0.34263113461734906	1.2396575212478638	0.4340741157531738	0.0	0.0395743673763621	23.60323636613158	13.09803550210474	19.821074742172147	160	192	192	1.688009512120205	9.50033343138728	11.043397788279288	21.941850421330386	10.66454390674442	19.063614200646104	19.910006574197244	30.001861615201214	1.0	1.3333332538604736	1.3333332538604736	4.82357701760313	21.836523953853373	23.107917621184463	14.783468719571829	1988562.0	0.0	58.96900347992778	17.844656143922123	73.665776088157	81.56104655898218	361.8914687855597	355.46273486316204	7866.0	146.5706731416285	488.44525692332536	210.5676163005114	0.02631899034599483	65.99844926351206	634.5611086916637	635.4143692776561	9545.0	522.6423327997327	743.3501780703664	66.87987193289533	1.3832723504528106	38.784273888187336	996.0557528310986	999.9999881833792	89435.0	912.2884042561054	1062.8709480911493	45.574752279929015	0.1609896570444107	0.47740963101387024	0.5041346549987793	0.5490831230704978
