trial_type.bottle	trial_type.cat	trial_type.chair	trial_type.face	trial_type.house	trial_type.scissors	trial_type.scrambledpix	trial_type.shoe	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	intercept
-6.690063591625049e-16	2.56800146860415e-17	-1.7763074381946244e-16	-3.1947194247479677e-16	-6.048986743249656e-12	-3.68773502039268e-16	-9.397481912076292e-16	1.495837397343906e-05	-0.0142703000000001	9.821660203907247e-17	-1.2799317056372688e-15	0.0002036414620892	-0.0350057000000009	2.1806259671429882e-16	-8.552512413424412e-16	0.0012253990324897	-0.0588225000000031	6.1575361725073e-16	-1.970556068911359e-15	0.0034600865062506	0.0014304700000017	-2.950362942120805e-16	-1.2044715771813485e-15	2.046244422630059e-06	-0.0013077200000038	8.733507750555698e-16	-1.5444180850295122e-15	1.7101316035778123e-06	0.0004244740000033	-3.858311900190051e-16	5.831941371324475e-16	1.801781758783429e-07	0.1285540361000031	0.1285215385000024	0.1284673818000022	1
-5.394051964872128e-16	1.3375177893167982e-16	-3.108800872387979e-17	-1.9928316622792043e-16	8.921951441198955e-12	-1.957579437230721e-16	-7.928638135469846e-16	-4.60354003427422e-05	-0.0176612000000006	-0.0033908999999999	1.1498202809107813e-05	0.0003119179854384	-0.036114100000001	-0.0011083999999998	1.228550558960645e-06	0.0013042282188097	-0.0588150000000032	7.500000000641606e-06	5.624779974570483e-11	0.0034592042250005	0.0013197400000013	-0.0001107300000004	1.2261132502435111e-08	1.7417136685620604e-06	-0.0003461270000017	0.0009615930000022	9.246610994014832e-07	1.198038983146882e-07	-0.0005204419999992	-0.0009449160000013	8.928662486867897e-07	2.708598735405616e-07	0.1284673818000029	0.1281750671000023	0.1276883686000021	1
-4.658874808671365e-16	2.32264980141182e-16	-4.6066373252972827e-17	-2.164899539901179e-16	-4.352868495955085e-12	-1.5125710953126742e-16	-7.930998750552705e-16	0.00013759033721	-0.0005663689999993	0.0170948310000008	0.0002922332469184	3.20773845336066e-07	-0.024178	0.0119361000000008	0.0001424704832095	0.0005845756839987	-0.058805600000003	9.40000000078506e-06	8.835805736110348e-11	0.0034580985913612	0.0007869900000004	-0.000532750000001	2.838225624663809e-07	6.193532592243559e-07	3.682709999991764e-05	0.0003829541000001	1.4665384188707377e-07	1.3562337013948444e-09	-0.0009575410000011	-0.0004370989999998	1.910555353847438e-07	9.16884767512442e-07	0.1282941315000024	0.127483058500002	0.126135066100002	1
-4.575988658506329e-16	1.6951813411918775e-16	4.770838357987804e-16	-2.3981334909199766e-16	-4.009949942018879e-11	-7.936196644632815e-17	-7.544537827647628e-16	-0.0003900788099182	-0.0045871899999989	-0.0040208210000005	1.6167001513834837e-05	2.104231209616532e-05	-0.0241754999999996	2.499999999707009e-06	6.248725603462148e-12	0.0005844548002487	-0.058805600000003	5.749157303151354e-16	-1.7332895909571958e-15	0.0034580985913619	0.0007869899999996	-1.1758853018153444e-16	-1.0377055976193545e-15	6.193532587617319e-07	3.682709999973706e-05	-1.1747679700286957e-15	-6.607521343163826e-16	1.3562343226925974e-09	-0.0010887100000027	-0.0001311689999996	1.7205305176789423e-08	1.1852894652915412e-06	0.1280344021000025	0.1264473780000024	0.1238168934000022	1
-3.294927958175589e-16	2.048409266988473e-16	-7.881199374577369e-16	-2.6695944373251186e-18	2.423838399134601e-10	-2.4585457694999263e-18	-9.251824840567942e-16	0.0010009524715649	-0.0073859099999988	-0.0027987200000006	7.832833638322361e-06	5.455166652816214e-05	-0.0761491000000038	-0.0519736000000018	0.0027012550969626	0.0057986854308161	-0.0030315799999974	0.055774020000005	0.0031107413069677	9.190477297892748e-06	0.0022153500000004	0.0014283600000013	2.040212288632354e-06	4.907775623998837e-06	0.0006336500000009	0.000596822900001	3.561975730087327e-07	4.0151232246024886e-07	-0.0015472100000014	-0.0004584999999994	2.1022225049164693e-07	2.3938587856158573e-06	0.1276883686000021	0.1250708178000018	0.1207479075000017	1
-2.0758614973761672e-16	1.9988965805234852e-16	1.149960879145884e-15	-1.3234162231728995e-16	-9.956961334159111e-10	3.298052749190914e-17	-7.803813231138343e-16	-0.0017810732479379	-0.0111564	-0.0037704900000003	1.4216594839556071e-05	0.0001244652609597	-0.0533698000000038	0.0227793000000025	0.0005188965084909	0.002848335552041	-0.0321900999999982	-0.0291585200000037	0.0008502192885921	0.0010362025380057	0.0006461680000003	-0.001569182000003	2.4623321531636232e-06	4.175330820761606e-07	0.0005341440000013	-9.950600000173134e-05	9.901443672781446e-09	2.853098105348071e-07	-0.0012838200000007	0.0002633900000006	6.93742908235071e-08	1.6481937926711238e-06	0.1272562643000021	0.1233570888000021	0.1169467186000017	1
-2.805244532838593e-16	1.6859962918839654e-16	-2.903739604499545e-15	-1.634357839732961e-16	3.519330958986223e-09	-7.886054710783268e-17	-6.379331421886485e-16	0.0549529913675101	-0.0030742199999991	0.0080821800000001	6.532163355235e-05	9.450828608834453e-06	-0.0344563000000019	0.0189135000000017	0.0003577204822506	0.0011872366096886	-0.048098400000001	-0.0159083000000014	0.0002530740088896	0.0023134560825587	0.0001988859999969	-0.0004472819999989	2.000611853254204e-07	3.9555641040469754e-08	0.0008210970000029	0.0002869529999997	8.234202432270882e-08	6.742002813887775e-07	-0.0012248400000007	5.898000000104573e-05	3.4786385607231412e-09	1.5002330271792884e-06	0.126738380400002	0.1213108108000017	0.1124363766000015	1
-2.9986789194889533e-16	1.5506924162670202e-16	5.816533698490128e-15	-2.0455967543886324e-16	-1.1524380036509974e-08	-1.8063606979503216e-17	-6.081160293627435e-16	0.1844842940496722	-0.0111141999999987	-0.0080399800000007	6.464127840116544e-05	0.0001235254416397	-0.00805666	0.0263996400000018	0.0006969409921307	6.490977035429584e-05	-0.0387973000000008	0.0093011000000012	8.651046120956858e-05	0.0015052304872886	0.0005251649999996	0.0003262790000026	1.0645798364538679e-07	2.757982761697912e-07	7.116640002328087e-06	-0.0008139803600017	6.625640283052544e-07	5.0645362442417795e-11	-0.0002139599999999	0.0010108800000009	1.02187837580009e-06	4.577888006284843e-08	0.1261350661000016	0.1189375004000014	0.1072442319000011	1
-1.8069346824435572e-16	2.134665218553526e-16	-8.7737939194176e-15	-2.0162123693897986e-16	3.591423295915012e-08	4.5278238402463257e-17	-3.4042639675582037e-16	0.2638624710515332	-0.0412780000000008	-0.0301638000000016	0.0009098548304414	0.0017038732839998	-0.0079155799999997	0.0001410799999997	1.9903565221005905e-08	6.26564067359227e-05	-0.0264448999999995	0.0123524000000009	0.0001525817857603	0.00069933273601	0.0008983190000023	0.0003731540000002	1.3924390671867482e-07	8.069770246175089e-07	-0.0006290919999998	-0.0006362086400015	4.0476143476989153e-07	3.957567456833917e-07	0.0003588909999986	0.0005728509999997	3.2815826791237546e-07	1.288027487651396e-07	0.1254467280000013	0.1162435555000008	0.1014017690000007	1
-5.0626107249909536e-17	3.687685754378488e-16	8.497399656093838e-15	-1.6764156424178275e-16	-1.0799124445707777e-07	1.9992281425155536e-16	-9.425921592741956e-17	0.2859863946911333	-0.0157866000000001	0.0254914000000016	0.0006498114739609	0.00024921673956	0.0051774100000015	0.0130929900000002	0.0001714263871402	2.68055743092442e-05	-0.0312026999999994	-0.0047578000000005	2.26366608399001e-05	0.0009736084872904	-8.04303999990438e-05	-0.0009787494000026	9.579503907348612e-07	6.469049603739199e-09	-0.0003685089999996	0.0002605830000004	6.790349972818536e-08	1.357988822166351e-07	4.445419999891311e-05	-0.0003144367999998	9.887050036739601e-08	1.9761752974738382e-09	0.1246738301000003	0.1132362385000007	0.0949444160000004	1
