trial_type.face_catch	trial_type.face_real	trial_type.lexdec_catch	trial_type.lexdec_real	trial_type.scene_catch	trial_type.scene_real	nprobes	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	intercept
-4.415426160503117e-15	0.0634419520439291	-8.435912964584551e-15	-9.327410629195744e-15	-1.7285894809306553e-15	0.9365580479331648	16.555906334118518	-0.023032350455276	0.0001564568612177	2.4478742609900853e-08	0.000530489167491	0.0250790740857836	0.0303843742113157	0.0009232101962253	0.0006289599569923	0.0448578535482955	-0.0202520123170518	0.0004101440028969	0.0020122270249616	-0.0068080039969834	-0.000508963805997	2.590441686943273e-07	4.63489184272294e-05	0.0011948123970242	2.5990659442398043e-06	6.740487085299925e-12	1.42757667518142e-06	-0.0034649816172007	-6.819786383607239e-05	4.650943678752623e-09	1.2006097604669344e-05	0.0248241955000183	-0.0665549058000156	-0.0652939789000168	0.0268518493000001	0.0816216788000211	0.0227795284000037	-0.0677702193000177	-0.0639883028000233	1
-5.573294246912591e-15	0.3835837547941391	-3.643682152085898e-15	-5.003545312340455e-15	-2.0760770657810048e-15	0.6164162451839728	14.314913715718308	-0.0230320103805555	3.400747190345492e-07	1.0817223620071193e-13	0.0005304735021676	0.0226665215252977	-0.0024125525605081	5.820409846051169e-06	0.0005137711980559	0.0501430604803398	0.0052852069320444	2.793341230760759e-05	0.0025143265143367	-0.0067154323870146	9.257160998616556e-05	8.569501102924273e-09	4.5097032153177146e-05	0.0011950384551745	2.2605815393630826e-07	3.941689458634615e-14	1.4281169151900475e-06	-0.0035800365288509	-0.0001150549116459	1.3237634881441268e-08	1.2816661551955068e-05	0.0240082920000132	-0.0675308461000209	-0.0637218759000192	0.0300572439000025	0.0813979594000201	0.0178113211	-0.0709234662000167	-0.0595200392000177	1
-6.398417700030606e-15	0.7833699734396009	3.064197685866043e-15	7.323562838958013e-16	-2.5446852983273983e-15	0.2166300265394614	11.51641019701448	-0.0356663771516819	-0.0126343667711231	0.0001596272237382	0.0012720904591344	0.0114024352703874	-0.0112640862549053	0.0001268796391574	0.0001300155300931	0.0327639026968113	-0.0173791577835364	0.0003020351252648	0.0010734733199282	-0.0069760113910524	-0.0002605790040364	6.79014203846407e-08	4.866473493173252e-05	0.0011950859656193	4.751044616031645e-08	-8.451363558718644e-15	1.4282304650078166e-06	-0.003459382810151	0.0001206537186817	1.4557327847610049e-08	1.1967329416899504e-05	0.0231897558000039	-0.0684771651000247	-0.0620868871000214	0.0332099078000114	0.0809511339000183	0.0127728206	-0.073695779900015	-0.0546342852000111	1
-6.550493125457741e-15	1.0315247285666342	7.304844097063617e-15	4.725822828077799e-15	-2.5172782043406733e-15	-0.0315247285864393	9.779326848549305	-0.0227629801978058	0.0129033969538977	0.0001664976529821	0.0005181532674908	0.0094619495239848	-0.0019404857463862	3.765484925563139e-06	8.952848879129981e-05	0.0506009297559893	0.0178370270591886	0.0003181595343078	0.0025604540921735	-0.0067563331188387	0.000219678272216	4.825854150090508e-08	4.564803721507402e-05	0.0015028682897714	0.0003077823241379	9.472997233940146e-08	2.2586131210974413e-06	-0.0036539789524804	-0.000194596142341	3.7867660480433385e-08	1.3351562197840817e-05	0.0223686765000007	-0.0693934478000305	-0.0603906260000218	0.0363043104000104	0.0802824270000172	0.0076839115999954	-0.0760722702000151	-0.0493653110000065	1
-7.532576595322745e-15	1.1304847412007848	8.382118697043867e-15	5.5821591841818646e-15	-2.7329682960000325e-15	-0.1304847412239384	9.086606993521416	-0.0230820360250429	-0.0003190558272497	1.0179661124395512e-07	0.0005327803870546	0.0298666433420929	0.0204046938180882	0.0004163515298127	0.0008920163845274	0.0373835925639857	-0.0132173371920162	0.000174698002443	0.0013975329929962	-0.0067638913174195	-7.558198574159556e-06	5.71172922028532e-11	4.5750225768217503e-05	0.0011959264471293	-0.0003069418426601	9.421331804673381e-08	1.4302400682198395e-06	-0.0036690089176795	-1.5029965168012874e-05	2.2589581512664183e-10	1.3461626440507536e-05	0.0215451443000011	-0.0702792922000348	-0.0586347667000236	0.0393350228000087	0.0793936715000176	0.0025646776999912	-0.0780401729000138	-0.0437500746000028	1
-7.362419437810008e-15	1.1425440314521085	8.812034338559326e-15	5.8717811664412685e-15	-2.498973426732789e-15	-0.1425440314766508	9.002191185383863	-0.023028961277459	5.30747475829122e-05	2.8169215426661322e-09	0.0005303330575159	0.0159185639235765	-0.0139480794185264	0.0001945489194652	0.0002534006773854	0.0352137828883617	-0.002169809675622	4.708074018272955e-06	0.0012400105053125	-0.0070578465486922	-0.0002939552312723	8.640968274451422e-08	4.981319791542815e-05	0.0011972162177422	1.289770629319644e-06	1.6559039200601861e-12	1.4333266720112506e-06	-0.0037398310832127	-7.082216553358079e-05	5.015778510316885e-09	1.3986336540918202e-05	0.0207192493999961	-0.0711343098000336	-0.0568210419000231	0.0422967282000113	0.0782873035000174	-0.002564677700009	-0.0795889182000142	-0.0378279629000013	1
-7.295387792059052e-15	1.1157649115885004	8.565143224881451e-15	5.453999881764771e-15	-2.307058850218533e-15	-0.1157649116224924	9.189647449021352	-0.0378711146251653	-0.0148421533477053	0.0002202895160438	0.001434221322965	0.0156750508541286	-0.0002435130694343	5.929861435258982e-08	0.000245707219275	0.0372352893990827	0.0020215065107264	4.086488561387308e-06	0.0013864667766347	-0.0070079128746827	4.9933674012334055e-05	2.493367157424297e-09	4.9110842862282135e-05	0.0011962190177817	-9.971999605236383e-07	9.86012363131419e-13	1.430939933268367e-06	-0.0036248617555529	0.0001149693276424	1.3217950762592612e-08	1.3139622735101176e-05	0.0198910823999976	-0.0719581255000307	-0.0549512416000222	0.0451842308000174	0.0769663555000163	-0.0076839116000071	-0.0807101879000155	-0.0316405150999997	1
-6.700448453221864e-15	1.0786216654378933	8.346862573514718e-15	5.47465574395769e-15	-1.958780101821072e-15	-0.0786216654561921	9.44964291710484	-0.0276858047776281	0.0101853098475645	0.0001037405367061	0.0007665037861886	0.0159386755072203	0.0002636246530856	6.949795340284885e-08	0.0002540413769227	0.024563324534307	-0.0126719648647807	0.0001605786935291	0.0006033569121797	-0.0070579170928046	-5.000421812538177e-05	2.5004146115739755e-09	4.981419368499563e-05	0.0011968103597162	5.913419317306839e-07	3.381249731369472e-13	1.4323550295292337e-06	-0.0036248335927036	2.8162836495502564e-08	-3.0292056823960733e-15	1.3139418570022835e-05	0.019060734099993	-0.0727503781000307	-0.0530272111000205	0.0479924649000184	0.0754344479000169	-0.0127728206000077	-0.0813979594000154	-0.0252311318999983	1
-6.689973442775417e-15	1.0463684215170068	8.088106679017038e-15	5.2328065828466856e-15	-1.6117528414788546e-15	-0.0463684215362923	9.675436644333058	-0.0230022098848964	0.004683594892724	2.1936061115628883e-05	0.00052910165959	0.0161296478896294	0.0001909723824119	3.6470446062964186e-08	0.0002601655410404	0.0336522045764654	0.0090888800421664	8.260774041138108e-05	0.0011324708728566	-0.0072298753770695	-0.0001719582842551	2.9569650757765313e-08	5.227109796851979e-05	0.0011978672687836	1.0569090647342448e-06	1.1079351596798237e-12	1.4348859904794562e-06	-0.0036927275767288	-6.789398401846465e-05	4.60958610882769e-09	1.3636236956141238e-05	0.0182282955999917	-0.0735107199000311	-0.0510508491000201	0.050716503900016	0.0736957799000168	-0.0178113211000108	-0.0816485389000157	-0.0186447704999972	1
-6.8365180678891215e-15	1.0242418116453151	7.764115985039187e-15	4.901103693295765e-15	-1.471374339131245e-15	-0.0242418116692546	9.830263606353803	-0.0231341254662557	-0.0001319155813644	1.7401712913372336e-08	0.0005351877610852	0.0154691693845194	-0.0006604785051118	4.362318512114989e-07	0.0002392952014426	0.0335088964599466	-0.0001433081165187	2.0537205695000727e-08	0.0011228461419652	-0.0067372877021552	0.0004925876749237	2.426426232448774e-07	4.539104558093106e-05	0.0012617289209776	6.38616521856845e-05	4.078298846861054e-09	1.5919598734620573e-06	-0.0036248023407798	6.792523596365536e-05	4.613837178251188e-09	1.3139191996833089e-05	0.0173938581999934	-0.0742388174000324	-0.0490241061000197	0.053351568900015	0.0717551168000166	-0.022779528400013	-0.0814605803000156	-0.0119276292999952	1
