trial_type.digits	trial_type.hash__red	trial_type.letters	trial_type.mirrored_digits	trial_type.mirrored_letters	trial_type.scrambled_digits	trial_type.scrambled_letters	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-2.8128298024433287e-11	-6.117336468838665e-16	-1.1272685393056509e-15	-1.2984108306081918e-15	2.059357538208763e-12	-1.1460851082333392e-15	-4.8546872891286845e-14	-2.4690742644400385e-05	-1.1989795481765148e-15	-9.910089756195216e-16	6.096316689142822e-10	0.1649485813478577	-1.5433839005481096e-15	-1.216952829365143e-15	0.0272080344886702	-0.0154897974405949	-7.749366962736027e-17	-7.393715263395113e-16	0.0002399338247503	-0.0006754422170654	-1.2635077103553413e-15	-6.502065176126145e-16	4.562221896007363e-07	0.0002781398383088	-1.0487115563607501e-15	-9.034114366322971e-16	7.736177173083034e-08	-0.0004139059897124	1.2234124311706365e-15	-5.327973924019818e-16	1.713181721097148e-07	-6.188762229918835e-16	-9.406257719293373e-16	2.8419125742064795e-16	-5.1353899262753765e-16	1
7.342593349133207e-11	-2.572605893159259e-16	-6.522855545424328e-16	-8.020315510016089e-16	-3.115621190176245e-12	-6.412711780322568e-16	1.1113900829477297e-13	0.0205100758297939	0.0205347665724422	0.0004216766381889	0.0004206632105497	0.0769788566656034	-0.087969724682255	0.0077386724606703	0.0059257443735426	-0.0164050202157512	-0.0009152227751553	8.376327279502301e-07	0.0002691246882787	-0.0009629807349903	-0.0002875385179201	8.267840045067898e-08	9.273318967830076e-07	9.36994349752287e-05	-0.0001844404033296	3.4018262650177764e-08	8.779582530584428e-09	-0.0004139554641602	-4.947445182746883e-08	8.442169688412707e-16	1.713591280427025e-07	0.077381467500001	0.077378900200001	0.0773746214000014	0.0773686313000011	1
-1.881674293164672e-10	-4.823834276177566e-16	-2.1483905592445546e-17	-7.832364578452246e-16	2.074553555705149e-12	-6.84906831739904e-16	-2.5698858803361353e-13	0.0172373836202732	-0.003272692209523	1.0710514296948852e-05	0.0002971273940772	0.2932682553943244	0.2162893987287187	0.0467811040024318	0.0860062696220331	-0.0133821788009036	0.0030228414148467	9.137570218087375e-06	0.0001790827094589	-0.0010389886083929	-7.600787340058508e-05	5.7771951391929825e-09	1.0794973281122385e-06	0.0001320867356671	3.838730069281283e-05	1.4735847579385587e-09	1.74469049007673e-08	-0.0001669314504928	0.0002470240136674	6.102086323345842e-08	2.7866107904790083e-08	0.0773746214000006	0.0773515175	0.0773130160000016	0.0772591246000008	1
4.730320145307237e-10	-4.0112864683161854e-16	-7.955045388987967e-16	-8.000711193123142e-16	1.0487032036566202e-11	-5.82237795634739e-16	5.634708818153279e-13	0.0164323761679593	-0.0008050074523144	6.480369963633741e-07	0.0002700229865289	0.022408872335901	-0.2708593830584253	0.0733648053907921	0.0005021575593654	0.0005501928735538	0.0139323716744579	0.0001941109804758	3.027121986480515e-07	-0.0004389925159385	0.0005999960924526	3.599953106928893e-07	1.9271442960174865e-07	3.609053967208442e-05	-9.599619599418096e-05	9.215268686956124e-09	1.302525301969528e-09	-0.0004139917378127	-0.0002470602873204	6.103878705365974e-08	1.7138916200418122e-07	0.0773609299000011	0.0772967617000013	0.0771898542000009	0.0770402663000013	1
-1.1647395053446103e-09	-3.413690012992746e-16	-3.331766916894338e-16	-6.290314755210405e-16	-6.839861814537692e-11	-7.732861111617386e-16	-1.171463139213121e-12	0.0047505249331453	-0.0116818512348147	0.0001364656482745	2.256748713998255e-05	0.1484226252124319	0.126013752876531	0.0158794659140269	0.0220292756749491	-0.0133596736852014	-0.0139098665587558	0.0001934843876821	0.0001784808809745	-0.0008629863003259	-0.0004239937843862	1.7977072923412681e-07	7.447453543548944e-07	0.0001181011991337	8.201065946202891e-05	6.725747505548088e-09	1.3947893450511332e-08	-0.0002344486643905	0.0001795430734236	3.223571586058197e-08	5.496617751855033e-08	0.077340394200001	0.0772146523000005	0.0770052340000016	0.0767123662000009	1
2.8016701143878273e-09	-4.4241267791747484e-16	-2.0247248017426846e-16	-1.013292696113978e-15	2.8237248826869537e-10	-8.414759653589305e-16	2.2098795467970626e-12	-2.9587515001929675e-05	-0.0047801124481462	2.2849475017052047e-05	8.754203719981421e-10	0.2668872052125842	0.118464580000149	0.0140338567146111	0.0712287803061858	0.0014241036787448	0.0147837773639453	0.0002185600731466	2.028071287629526e-06	-0.0010900165231595	-0.0002270302228328	5.154272060402103e-08	1.1881360196813872e-06	0.0001768957047171	5.879450558274716e-05	3.456793306673532e-09	3.129209190109921e-08	0.0001910963385844	0.0004255450029749	1.8108855687653626e-07	3.6517808928107945e-08	0.0773130160000014	0.0771052183000006	0.0767593025000015	0.076275888200001	1
-6.555622104206743e-09	-4.361869102858226e-16	-9.772620764910832e-16	-6.498974377815912e-16	-9.947041622815362e-10	-4.57951987864871e-16	-3.455327605573e-12	0.0143601726121738	0.0143897601271759	0.0002070651965193	0.0002062145574544	-0.0277576013835292	-0.2946448065961132	0.0868155620540628	0.0007704844345674	0.0012220545842544	-0.0002020490944904	4.0823836580132716e-08	1.4934174072320782e-06	-0.0005639875800438	0.0005260289431153	2.7670644703434054e-07	3.180819903601065e-07	0.0001350515439448	-4.1844160771662735e-05	1.7509328750495551e-09	1.8238919548518465e-08	-0.0001829618950621	-0.0003740582336487	1.399195678526918e-07	3.3475054198813546e-08	0.0772787978000015	0.0769684985000015	0.0764522555000006	0.0757314503000012	1
1.4818878018320976e-08	-3.0902500738412163e-16	-1.8543454923303731e-16	-3.376539686193512e-17	3.221634022825278e-09	-7.029115710995456e-16	2.802892403771154e-12	0.0133346626878847	-0.0010255099242908	1.0516706037299823e-06	0.0001778132290024	0.1738840444470345	0.2016416458305628	0.0406593533332591	0.0302356609132567	-0.0095455756667699	-0.0107676302510241	0.0001159418612223	9.111801480962364e-05	-0.0009600026512382	-0.0003960150711932	1.568279369941284e-07	9.216050903372652e-07	-3.4918764168800897e-05	-0.0001699703081127	2.8889905816007257e-08	1.2193181875197083e-09	-0.0001690168262077	1.3945068855263369e-05	1.9446363199965884e-10	2.8566686822111745e-08	0.0772377427000006	0.0768045411000002	0.0760843375000016	0.0750798229000007	1
-3.197958997894127e-08	-3.6416096139082356e-16	-5.198013335957137e-16	-4.084346651283157e-15	-9.88786037037808e-09	-8.57912958880337e-16	9.047013764591389e-12	-0.0002749174300612	-0.0136095801179463	0.0001852206709901	7.557959174452509e-08	0.1460529705546206	-0.0278310738924165	0.0007745686740036	0.0213314702078279	0.0001488925712683	0.0096944682380384	9.398271441747288e-05	2.2168998049342767e-08	-0.0010580118777225	-9.800922648470574e-05	9.605808561401468e-09	1.1193891321998697e-06	-9.536304272194132e-05	-6.044427855238272e-05	3.6535106796033035e-09	9.094108299178289e-09	-0.0002595508652439	-9.053403903651192e-05	8.196412154199349e-09	6.736665423439348e-08	0.0771898542000016	0.076613404300001	0.0756558413000014	0.074321928500001	1
6.442896432582655e-08	-3.233236717241463e-16	-7.583083269574294e-16	1.2042518055669114e-14	2.9197928443713363e-08	-7.345379903763319e-16	-6.594059636471124e-11	0.0039841364531134	0.0042590538831754	1.813953997908474e-05	1.5873343277119057e-05	0.0129446174857973	-0.1331083530688224	0.0177178336566928	0.0001675631218544	0.0008757114044195	0.0007268188331509	5.282656157249995e-07	7.668704636991522e-07	-8.699785824339091e-05	0.0009710140194787	9.428682277913024e-07	7.568629903519021e-09	5.1003629889525385e-05	0.0001463666726115	2.1423202728952982e-08	2.601369520569108e-09	-8.399777434892986e-05	0.000175553090896	3.0818888276494725e-08	7.055625118940617e-09	0.0771351366000015	0.0763951557000015	0.0751671082000011	0.0734588397000012	1
