img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub09_run04	mni152	0.8138706800130254	83.1235404270087	16.8764595729913	4.925413417873362
sub02_run04	mni152	0.848751191820005	85.97500730834557	14.024992691654425	6.130128492651908
sub04_run04	mni152	0.836626444995206	85.08146414694454	14.918535853055456	5.703070662227155
sub10_run03	mni152	0.8300840199037441	83.53934288722718	16.460657112772832	5.07509161480582
sub35_run03	mni152	0.8317030998696997	83.64099231626153	16.359007683738465	5.112840212148329
sub38_run03	mni152	0.8369330453563715	84.71179771187059	15.288202288129419	5.540991420400381
sub16_run03	mni152	0.8424453834397195	84.72502513580568	15.274974864194316	5.546655617378951
sub21_run02	mni152	0.8655853409235039	87.80519185650496	12.194808143495042	7.200211009743686
sub27_run02	mni152	0.8191487127062925	82.45177568380917	17.548224316190826	4.698582272380417
sub43_run03	mni152	0.8716285139959797	88.2959889980473	11.704011001952695	7.5440794598805505
sub01_run04	mni152	0.8490654974785641	87.82339511666602	12.17660488333398	7.212469810601245
sub15_run02	mni152	0.8371640602969156	84.11001448880346	15.889985511196544	5.2932719434852284
sub23_run04	mni152	0.8402760793566301	84.70178339007262	15.298216609927382	5.536709640724239
sub04_run02	mni152	0.834809808088451	85.09777726932204	14.902222730677964	5.7104083603674995
sub20_run01	mni152	0.8249005397505639	83.12475988559883	16.875240114401173	4.925841607116507
sub09_run01	mni152	0.8138496566935857	83.48630549422477	16.51369450577523	5.055580110497238
sub31_run01	mni152	0.8715547716554507	89.03246261154672	10.96753738845327	8.11781710498484
sub21_run01	mni152	0.8659651563253722	87.99864722110335	12.00135277889665	7.332394009435456
sub17_run02	mni152	0.8297599942940694	83.9238501963981	16.076149803601893	5.220394884451425
sub28_run03	mni152	0.8336183471613348	85.1363701957766	14.863629804223388	5.727831715210355
sub40_run04	mni152	0.8273986012001873	83.4949857912858	16.5050142087142	5.058764853846821
sub06_run03	mni152	0.8761879055748619	88.31938330152852	11.68061669847148	7.561191808741224
sub37_run01	mni152	0.8556419283738407	87.00274129197956	12.99725870802044	6.693930100682793
sub28_run02	mni152	0.8378413656074604	85.255530467378	14.74446953262201	5.7822039835852275
sub23_run02	mni152	0.8324364638123853	84.01201421826549	15.987985781734498	5.254696580619003
sub22_run01	mni152	0.8298796993014683	83.55592386082347	16.444076139176527	5.081217281751635
sub32_run04	mni152	0.8397246060396446	84.81614235548844	15.183857644511562	5.585941619134353
sub26_run04	mni152	0.8146356438158954	82.9173774848708	17.082622515129202	4.853902110840132
sub43_run04	mni152	0.8706191479313008	88.24307125353799	11.756928746462018	7.505622697602275
sub06_run01	mni152	0.8781937240712671	88.60318532488873	11.396814675111282	7.774381513668299
sub38_run04	mni152	0.8367793190506846	84.64322873087362	15.356771269126387	5.5117854689313726
sub35_run04	mni152	0.8293571678984104	83.41929233421429	16.580707665785706	5.031105669051148
sub30_run01	mni152	0.8720225914709012	87.67951936134315	12.320480638656846	7.116566466265865
sub34_run02	mni152	0.8324135793452586	83.89562732045013	16.10437267954988	5.2094936567746535
sub22_run02	mni152	0.8301689971934332	83.57020141227905	16.42979858772096	5.086501880475662
sub10_run02	mni152	0.8326847280126354	83.7927812798677	16.207218720132303	5.170090113967666
sub17_run04	mni152	0.8283864119652213	83.81578093803384	16.184219061966164	5.178858529850581
sub37_run04	mni152	0.8541057608047306	86.64520177496227	13.354798225037726	6.487945404709962
sub34_run03	mni152	0.8282549361310954	83.56101106818159	16.438988931818425	5.083099174453812
sub30_run04	mni152	0.8685218667101383	87.31121200496109	12.688787995038902	6.880973347422802
sub12_run04	mni152	0.8725363283997546	88.11905130753158	11.88094869246842	7.416836280371455
sub03_run01	mni152	0.8161636009679238	85.19575035420046	14.804249645799544	5.754817190506735
sub02_run03	mni152	0.8506603379699826	86.19427909807472	13.805720901925275	6.243374012149884
sub26_run01	mni152	0.8119040414347339	82.67159655194651	17.328403448053482	4.770872100235702
sub19_run01	mni152	0.8516730768524334	86.43579342947045	13.56420657052955	6.3723442266992825
sub11_run02	mni152	0.8285286913863811	83.47212798628718	16.527872013712816	5.050385670764643
sub40_run03	mni152	0.8322005415993236	83.99624042550893	16.00375957449107	5.248531761211495
sub07_run04	mni152	0.8389949385394071	85.0600749195458	14.93992508045421	5.693473994111875
sub27_run04	mni152	0.8160498606649716	82.13869463869464	17.86130536130536	4.598694942903753
sub36_run02	mni152	0.7934384849389017	80.58476639648332	19.41523360351668	4.15059473618113
sub19_run03	mni152	0.8510848379625381	86.36800464866798	13.631995351332021	6.335683252725634
sub13_run03	mni152	0.7864542720285174	79.41209553447564	20.58790446552435	3.8572209069386267
sub08_run03	mni152	0.8186512378016728	83.93768515531048	16.062314844689528	5.225752699217055
sub13_run01	mni152	0.7855801866601053	79.29756874272766	20.702431257272337	3.830350539860967
sub30_run02	mni152	0.8732211339186026	87.97718611151868	12.02281388848132	7.317520418061769
sub16_run01	mni152	0.8355721658658124	83.88145670754366	16.118543292456337	5.204034582132564
sub20_run02	mni152	0.8332308396378874	84.16323582520766	15.836764174792345	5.314421235063396
sub21_run03	mni152	0.8675663440349295	88.06000189879425	11.939998101205735	7.375210712127476
sub42_run01	mni152	0.7883534608730706	79.14348151595476	20.856518484045246	3.7946640795537228
sub04_run01	mni152	0.8356800191457653	85.22976901058425	14.770230989415758	5.770374821602945
sub13_run02	mni152	0.7858450151169414	79.3035303081324	20.696469691867602	3.8317419100366497
sub42_run03	mni152	0.7893128693302139	79.203108504201	20.796891495799	3.808410911803821
