bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_ses-01_task-learning_run-01_bold	0.0021718367346938777	0.005205052653061225	0	19.814750868453604	1.29070179371134	1.0419685978350515	0.6034993587639846	1660.0244140625	0.05624858586213765	0	0.0	1.6022823042526133	1.4672467832729645	1.7103033333333333	1.6292967961515423	0.0227823	0.004935098346322775	0.03553227335214615	98	64	64	38	7.866815218365766	2.0	2.999999761581421	3.0	2.999999761581421	15.332235991897189	9.122542467301145	28.660837173461914	10.704081535339355	79622.0	3.2857141494750977	116.76479415893552	45.76123809814453	2.0841527143687424	54.09986900215793	445.3944396972656	442.6683654785156	41214.0	364.6086654663086	536.8408081054687	56.269657135009766	92.63103773503099
sub-01_ses-01_task-learning_run-02_bold	0.0024449999999999997	0.005526155510204083	0	20.698051609484537	1.3259113044329893	1.0501163651546392	0.6034587778370276	1654.787353515625	0.08820104240916311	0	0.0	1.5990667485013779	1.4651934497764467	1.7080433333333334	1.6239634623943535	0.0377997	0.005216449964791536	0.03509852662682533	98	64	64	38	7.835403350974597	2.0	2.999999761581421	3.0	2.999999761581421	15.071864821050543	9.122542467301145	28.68716049194336	10.704081535339355	79675.0	3.2959182262420654	116.64285278320312	45.63356018066406	2.285477300253116	53.85780595683918	444.9393615722656	442.28570556640625	41209.0	364.2510131835937	536.5265014648437	56.44640350341797	92.10020237788558
sub-01_ses-01_task-learning_run-03_bold	0.0024701020408163265	0.005533059387755102	0	20.806581301030928	1.329783578453608	1.0502601271134027	0.6034966154105041	1658.410400390625	0.056885958414611484	0	0.0	1.5994089707595396	1.4659267831680602	1.7077133333333334	1.624586795777225	0.0381525	0.005220198538154364	0.03511860594153404	98	64	64	38	7.836660618697278	2.0	2.999999761581421	3.0	2.999999761581421	15.071092482819921	9.137670700673738	28.68218231201172	10.704081535339355	79673.0	3.2857141494750977	116.66734466552728	45.628631591796875	2.284977768028239	53.85776071141015	444.90960693359375	442.2958984375	41209.0	364.1428527832031	536.4387817382812	56.43864822387695	91.96041938988492
sub-01_ses-01_task-prelearning_run-01_bold	0.0016464285714285713	0.005490653367346939	0	21.199076406597936	1.3120400699999997	1.0362435086597939	0.6031603216829025	1670.001953125	0.05998504044784401	0	0.0	1.600724526369137	1.464210116364965	1.7096200000000001	1.6283434627424451	0.0189057	0.004468995612114668	0.035228922963142395	98	64	64	38	7.880951203802951	2.0	2.999999761581421	3.0	2.999999761581421	15.296791303527847	9.062028826850941	28.43315887451172	10.653060913085938	79610.0	3.2857141494750977	115.54183387756353	45.289955139160156	2.119199861528995	54.001528062157874	445.3050537109375	442.5458984375	41180.0	364.7239761352539	536.5520446777343	56.1531867980957	93.99324461817741
sub-01_ses-01_task-prelearning_run-02_bold	0.0021759183673469387	0.005238835714285714	0	19.745563585670105	1.2885503141237107	1.0421257091752576	0.60346467863508	1660.1011962890625	0.08355752557052679	3	3.061224489795918	1.6012445263999544	1.4659901165064269	1.7100166666666665	1.62772679602677	0.0232994	0.00494384765625	0.035491570830345154	98	64	64	38	7.867627428622791	2.0	2.999999761581421	3.0	2.999999761581421	15.331689309183318	9.107414233928552	28.665117263793945	10.714285850524902	79622.0	3.2857141494750977	116.81632232666016	45.76667404174805	2.0847316344741955	54.054442591410265	445.43804931640625	442.6734619140625	41209.0	364.63876953125	536.9550903320312	56.264495849609375	92.76872401311994
sub-01_ses-01_task-training_run-01_bold	0.0016259793814432989	0.006056659793814432	0	22.79936055333333	1.2927360468749998	1.0153230453124997	0.602856585867362	1655.5963134765625	0.08118067240892916	1	1.0309278350515463	1.6253123056179575	1.4942834520883124	1.7278533333333332	1.653800131432226	0.0263309	0.0044420575723052025	0.03511111065745354	97	64	64	38	7.704961072277482	2.0	2.999999761581421	3.0	2.999999761581421	15.346336991343865	8.819190953560021	27.5434627532959	10.474226951599121	79591.0	3.2680411338806152	111.54123306274414	43.59886169433594	2.23560458129782	53.22084080693312	436.0859375	433.6082458496094	41219.0	354.803076171875	526.5721679687499	56.27581787109375	86.81259793252684
sub-01_ses-01_task-training_run-02_bold	0.0015322448979591835	0.006015807653061223	0	22.836429320515464	1.3103934631958767	1.029236619381443	0.6029038957745542	1651.434814453125	0.05520420023476945	1	1.0204081632653061	1.6251756389380452	1.4940067853996584	1.7279433333333334	1.6535767980811436	0.0258056	0.004376704338937998	0.03517957031726837	98	64	64	38	7.706909151260253	2.0	2.999999761581421	3.0	2.999999761581421	15.346579423455818	8.835098256663752	27.539026260375977	10.479591369628906	79595.0	3.27551007270813	111.48571395874029	43.58982467651367	2.2375286646971064	53.22237915152019	436.0602111816406	433.61224365234375	41215.0	354.6602020263672	526.5846618652344	56.26211166381836	86.60119778476655
sub-01_ses-01_task-training_run-03_bold	0.0015228571428571426	0.0055839701020408165	0	22.542209880824743	1.3433386402061853	1.0338499928865978	0.6030761576685758	1678.6624755859375	0.07941635255092326	1	1.0204081632653061	1.5962589705463757	1.4633501162966183	1.70631	1.6191167953425087	0.0222212	0.0046928576193749905	0.0352567695081234	98	64	64	38	7.7915910890834885	2.0	2.999999761581421	3.0	2.999999761581421	15.325119762092662	9.031770946186096	28.27504539489746	10.63265323638916	79623.0	3.2857141494750977	114.41836547851562	45.02178192138672	2.5435209502451546	54.054442591410265	444.38641357421875	441.89794921875	41303.0	363.2459228515625	536.1520507812501	56.71403884887695	92.94301803223789
sub-01_ses-01_task-training_run-04_bold	0.0015407142857142859	0.005572863673469387	0	22.616097774639176	1.3462984587628866	1.0347517597938147	0.6031080944439999	1676.253173828125	0.061719807427041556	1	1.0204081632653061	1.5966256372410346	1.4639934496810794	1.7063533333333334	1.6195301287086907	0.0223042	0.0046628802083432674	0.035279590636491776	98	64	64	38	7.7917566592723375	2.0	2.999999761581421	3.0	2.999999761581421	15.323169151361299	9.046899886518519	28.271045684814453	10.63265323638916	79622.0	3.2857141494750977	114.43622322082504	45.01664352416992	2.5462290848586147	53.95610165141021	444.35760498046875	441.83160400390625	41302.0	363.3678497314453	536.1311004638671	56.70431900024414	92.87415830325335
sub-01_ses-01_task-training_run-05_bold	0.0016648979591836737	0.005474619897959184	0	21.03181441762886	1.3052726427835049	1.037122174742268	0.6031218112114024	1672.546630859375	0.08691222733943746	0	0.0	1.6009745263497983	1.4650334497637312	1.7111	1.6267901292856637	0.0185693	0.004547262564301491	0.03527497127652168	98	64	64	38	7.878814470757735	2.0	2.999999761581421	3.0	2.999999761581421	15.297119021223878	9.077156353263707	28.43959617614746	10.663265228271484	79611.0	3.2908161878585815	115.57142639160156	45.301361083984375	2.1183781044987393	54.03933061811373	445.35455322265625	442.5714111328125	41187.0	364.6969360351562	536.6091857910156	56.171653747558594	94.14759336411953
