bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-01_ses-01_T1w	0.35993471680947886	3.689828763636455	0.591889639615576	-1.0	4.444619657272579	4.3125089718177385	4.49299	4.52836	0.20873848673449402	0.4330118675917172	0.35824964567378875	0.28121012449264526	0.07316656410694122	0.0007389435174354388	0.02170857520513478	20.720751960903993	10.39334467149847	14.32296629831012	176	224	256	2.693203161676461	16.296959962972313	17.044344716171235	32.142871023864934	88.88492349605653	211.47411616694453	189.60837984474935	268.4660998712469	1.000000238418579	1.0	1.0	42.84642607061274	0.0	0.7358210065591089	0.0	1854730.0	0.0	4.035733222961426	2.4403973875966467	0.7613597504803673	78.43846434194084	323.54819871955993	331.09827983379364	46065.0	68.17026035785676	517.3263486295933	122.93713697857923	-0.0260379495887606	48.08524055606465	785.1899376677402	787.7456979006529	42957.0	703.0751741051674	861.6080236583948	48.336409406071866	1.0229213697651884	28.327597968543593	1000.4307959303324	1000.0420809835196	209447.0	951.6763406395912	1053.0110795348883	31.112332588428156	0.15609722995364547	0.4655240579793825	0.5056040182798632	0.8493810584310422
sub-01_ses-02_T1w	0.3618188659193418	3.7555147630043972	0.5787309327708858	-1.0	4.452877180806979	4.312921542420939	4.48712	4.55859	0.20879562938041193	0.43527949556141177	0.3559248750581763	0.29492175579071045	0.07634566724300379	0.00015394246656882766	0.03464479892219221	20.617751508526183	10.319530581027044	14.357838600961559	176	224	256	2.6632710256485135	16.29217336156856	17.08605367548346	32.30271663923331	109.05749019068446	259.3165680888648	232.92890850092377	330.4126672232221	0.9999996423721313	1.0	1.0	52.51797703311559	0.0	0.5342650162586122	0.0	2453771.0	0.0	3.6419864874333143	1.982862952162323	0.6186341776793314	80.60210771736504	323.501853125242	330.07791500352323	47729.0	71.00856335833669	519.4612123500556	123.93573690873924	-0.026480561580363382	48.74738251169982	782.8393715534849	784.8582611884922	45051.0	701.5401904284954	858.9899805570021	48.17341019807658	0.9014350566352869	29.109668393434607	1000.6385392346479	1000.040658345446	209963.0	951.7385582271963	1052.023402908258	30.958333568119592	0.1548062822571381	0.4670836548218128	0.5038292307213312	0.8701181885902708
sub-02_ses-01_T1w	0.3979404775837377	3.456615830140081	0.5881934755737078	-1.0	4.516797192725529	4.4129015781765855	4.52542	4.61207	0.21885815650246288	0.41909508703583515	0.362046756461702	0.27007463574409485	0.0653681606054306	0.001869250995879469	0.017280565526310458	21.315708073794205	11.361406829114424	15.152097497348148	176	224	256	3.0612131746043083	15.4563896302913	16.632171591368103	31.378911969208694	90.34437741095066	208.77300870616034	187.64373567626004	263.81382091166915	0.9999996423721313	1.0	1.0	57.93284276449145	0.0	0.6562850055735082	0.0	2503796.0	0.0	3.6697249114513397	2.4834740928074033	1.2783952194549588	70.81647019107103	339.62334394362216	342.4751253798604	51779.0	100.66172550991178	522.2740782089531	111.87454082579438	-0.2441361669440969	53.24981820660838	790.8489734487215	791.4113128185272	32667.0	706.6484752893448	874.8585149273276	51.20207359809235	0.8857444571028479	29.779382029673926	1001.0601220985429	1000.0585978105664	199028.0	951.5518616139889	1055.1825507357717	31.870323815949778	0.1649849672973806	0.4709977060996229	0.5217727481176896	0.889122210266912
sub-02_ses-02_T1w	0.39821676703401365	3.43196994728058	0.5883223447176528	-1.0	4.5237605280651545	4.429731584195466	4.51016	4.63139	0.21896240369446054	0.4174962833445959	0.3635413129609436	0.273112952709198	0.06782346665859224	0.0009720842091908488	0.009604076449033484	21.34547766792988	11.377187621598114	15.086243419724404	176	224	256	3.110327334509621	15.109356899932497	16.84821354421075	32.32495639819014	90.86868681376696	208.56036554230715	187.68613756933473	263.6293603519301	0.9999996423721313	1.0	1.0	53.74536575844783	0.0	0.6405015966387431	0.0	2467955.0	0.0	3.675972633063793	2.48511419792162	1.4192572382468844	69.2724342736064	341.1725355592197	344.6901496350765	52248.0	104.32023388147354	521.3690027147532	110.82012082726442	-0.258334953949082	54.84426266299604	791.261539722144	791.1273523084819	32620.0	706.9466116501019	877.5127091854811	52.35929173156933	0.8027787723651909	28.340026940920545	1000.9645592477766	1000.0193339884281	198340.0	952.5992870219052	1054.307645611465	30.93637005087608	0.16357603530278808	0.46855458172826053	0.5198974460689038	0.8927578285576109
sub-03_ses-01_T1w	0.3700102681282144	3.6665099112485904	0.5828749191926238	-1.0	4.4497728077218826	4.4091484231656475	4.47825	4.46192	0.18582556486252594	0.4506748366840455	0.36349959845342855	0.27549219131469727	0.07769292443990705	0.005174678249897528	0.021656922418743053	22.168380064374166	10.128590526282515	14.218298306885371	176	224	256	2.795615698392708	17.24808263771714	17.541293812806494	32.58018310230963	78.74599536830162	174.69966747472344	157.60090008304704	219.35703740611606	1.0000003576278687	1.0	1.0	50.80955957726674	0.0	0.9742375726765885	0.0	2681639.0	0.0	6.392486426979303	2.9866831712821917	0.8718894910366601	88.73284665847864	357.8992859624951	358.9929351694882	28605.0	87.64119579046965	565.840555845201	128.41058959491536	-0.05319312761138528	46.314067906775925	795.5372312520898	796.4334707632661	54450.0	718.8754396475852	870.6194135695696	46.17476469816075	0.7955791535453307	29.015303470072862	1001.6323140855711	1000.0207164846361	230645.0	954.631994087249	1055.1326383017004	30.694073924121085	0.14496467647616162	0.47234412766621237	0.5091247541011651	0.865635890987774
sub-03_ses-02_T1w	0.3465761962893397	3.8723042569228445	0.5888095961285863	-1.0	4.450203856732635	4.3905915701979055	4.48324	4.47678	0.18756964239190482	0.4495721821489388	0.3628581754591564	0.291352242231369	0.08735727369785307	0.0005978750931116948	0.016870734522730618	21.991189601445853	10.096194800825021	14.168444130547703	176	224	256	2.7225891746850763	17.220795205675653	17.863013740533706	33.645656841240395	84.48409002271843	187.43102372474962	169.88633034428258	237.74387728537968	0.9999996423721313	1.0	1.0	58.3745438297242	0.0	0.7184999859903526	0.0	2467601.0	0.0	4.071991082280874	2.75570146859176	1.5877149472690881	88.02221220731909	354.84567357177593	355.3655863851309	29494.0	84.50618841089309	566.3070979008451	130.52265294647054	-0.052638126647799766	45.66214797719584	787.0546035887344	788.391466781497	55873.0	709.9347723044455	860.9763951122759	45.78095274487436	0.9872698318074642	27.684136465356136	1001.6663335845107	1000.022517118603	230646.0	956.1979943104088	1052.5534517988563	29.72212294626399	0.14674047858777334	0.4761132319926551	0.5063608010128883	0.8245450540527034
sub-04_ses-01_T1w	0.32951279223850266	4.0545956836106205	0.590141146216965	-1.0	4.369383853879955	4.366661561639868	4.40858	4.33291	0.1856386542302135	0.46185676395687475	0.3525045818129117	0.2722713351249695	0.06768862605094908	0.0007706279879051046	0.016991980167027625	24.427777059986493	10.821420096443772	15.774042157665889	176	224	256	2.3890857190155246	17.22557137784854	17.074374533537974	31.608466503749863	90.74636490786672	211.32215013049978	191.40591506438014	272.1492301547739	0.9999996423721313	1.0	1.0	63.176303785856604	0.0	0.6396178484834919	0.0	2661956.0	0.0	3.6943017300218344	2.407368369478801	-0.22867512563862924	117.80526688225643	315.3459176974806	333.4571678880602	31635.0	62.02711966149509	533.2301456864923	139.57301523708205	0.10039561367216088	44.888396497732515	775.3884612002707	776.5257128048688	50285.0	700.3735646292567	847.5388602498917	45.07937498775972	1.1275729491805722	28.76284438164183	1000.3595089685567	1000.0412867497653	186483.0	950.0134242158383	1052.646905071847	31.638314541684128	0.14712110561044264	0.47776487150801844	0.4978002174307068	0.8981797286275673
sub-05_ses-01_T1w	0.3814582626766173	3.549029123192975	0.5362740872687327	-1.0	4.4720305374230875	4.508231612269263	4.35326	4.5546	0.2263117930627195	0.4270684609698553	0.3466197459674252	0.29748181998729706	0.08464864045381543	0.0029359680042333495	0.10026196544686708	20.525226801504633	11.1900768024602	15.622892613167473	176	224	256	3.3815875335873047	18.377985790961088	17.536528922228097	30.850013442135893	150.45815297810546	346.5908532765926	308.96275186471905	429.8392493394591	0.9999996423721313	1.0	1.0	49.62248283728078	0.0	0.4211169637631504	0.0	3083851.0	0.0	3.5269934553653	1.5242087894322547	1.9314847355047355	66.2623591915467	363.0754153226916	350.0486909458414	53730.0	181.9160474087112	544.5753628072328	103.51511826173743	0.07501840653039604	42.66712066073934	804.6062464916763	806.3615834824741	36925.0	729.8279893007129	874.6208077419548	43.87589987658245	0.6015780092479481	31.214367220225096	1001.4434490104608	1000.043291574344	197525.0	951.3145230989903	1056.6915668267757	32.41621797060613	0.1641212866354339	0.46771612966325277	0.5167631904143637	0.9010918307662312
sub-05_ses-02_T1w	0.3878751406611562	3.5049232048629455	0.5456096837771124	-1.0	4.453826844899278	4.485370534697834	4.28386	4.59225	0.2161798430773218	0.43021207184559573	0.35360808507708247	0.29965195059776306	0.08467840105295182	0.0004922550111653662	0.07432996268108842	21.37347614294611	11.139676823317306	15.213546882241655	176	224	256	3.313533776982872	18.666483326105652	17.111297072229615	29.353874113600316	58.39367892414583	134.07846126772827	119.56335638919215	166.2179289757023	0.9999998807907104	1.0	1.0	1669.0889770094975	0.0	0.5512603824747069	0.0	2886255.0	0.0	3.6740778014063835	3.941513154124193	1.6816722494573577	73.63052514204972	363.25131695319715	351.3153193704784	50422.0	184.67594608291986	550.6476866714655	106.02331506116421	0.08318323614253353	42.28580359563498	805.6840806225905	806.6595273464918	34678.0	733.4928922727704	875.7773286830634	43.21370460950482	0.6708873626157876	32.714302229674175	1001.3435905020618	1000.0209933519363	200293.0	948.1220200657845	1059.0581749379635	34.067683641466076	0.16432238581239345	0.4703258466611749	0.5186400805686515	0.8963155319709458
sub-06_ses-01_T1w	0.36265506682040394	3.6693605703492977	0.5526051576504404	-1.0	4.484673863982947	4.45141159194884	4.43858	4.56403	0.20877855104188528	0.4266686514079605	0.36455279755015424	0.2731426954269409	0.07009599804878233	0.0006195295631763429	0.02384453787890704	20.27165901230368	10.364138682520233	14.063570351910567	176	224	256	2.789780585373594	16.00542633046686	17.37770011901163	33.337893441194446	106.94297641603715	249.5118061206563	224.3286148102246	316.53106189398034	0.9999996423721313	1.0	1.0	65.24714271413323	0.0	0.610046290771597	0.0	2965369.0	0.0	3.6581585202366114	2.0698236572125635	0.8465949681998861	79.69925328860153	333.0021830472142	337.87330784648657	47974.0	78.16162033760922	529.0761599718593	121.10980633332854	0.06328339578684172	48.59785302411458	786.3579461687126	788.3021597675979	41201.0	703.1931383758783	865.1234886925668	49.25158361245412	0.5990506594983831	28.190431766825608	1001.1595466918028	1000.0413351338357	226864.0	954.448692785576	1052.7229513376951	29.997070236027117	0.15301571264647248	0.4685050888437476	0.5212104924602317	0.8868954285734054
