bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-faceidentityoddball_run-01_bold	0.0004024675324675325	0.007481770454545454	0	26.89430375189543	1.1467156483660128	0.9550119540522878	0.460447886089702	7129134.0	0.17269171334638558	50	32.467532467532465	2.05099	1.9570166666666668	2.2452833333333335	1.95067	0.0153296	-0.017549294978380203	0.012946735136210918	154	80	80	35	4.909422740557268	2.0	3.0	3.0	3.0	73.73260213473485	0.6302696261404408	24.731945037841797	0.4256446361541748	142222.0	0.0008569726080168039	112.51090812683105	75.69513702392578	1.1522421432289667	224.3467451271642	1194.1021728515625	1177.3115234375	40651.0	831.2283630371094	1595.534912109375	239.80355834960938	54.66215896606445
sub-01_task-faceidentityoddball_run-02_bold	0.0004774025974025974	0.004788522207792208	0	29.105711295032688	1.277034032875817	0.9949268181699343	0.46000278392762706	5114391.0	0.16858832020108463	46	29.87012987012987	2.03553	1.9381133333333331	2.2235366666666665	1.94494	0.0263966	-0.017244545742869377	0.01276190485805273	154	80	80	35	4.922918343238326	2.0	3.0	3.0	3.0	75.00623248602788	0.6633689880626019	22.236499786376953	0.44795867800712585	142326.0	0.0008853677863953635	101.70876693725586	68.63282012939453	1.2477969864008323	200.69107746660256	1076.9217529296875	1062.31396484375	40630.0	749.565542602539	1435.9465270996093	215.7868194580078	63.742488861083984
sub-01_task-faceidentityoddball_run-03_bold	0.00048714285714285716	0.004035719675324676	0	29.33542361287581	1.3346209518954253	1.0060835107189543	0.4605949414794675	4670776.5	0.13633541560360338	24	15.584415584415584	2.0336055555555554	1.9401333333333335	2.2225733333333335	1.93811	0.0135384	-0.016885856166481972	0.012477654963731766	154	80	80	35	4.960601132880619	2.0	3.0	3.0	3.0	79.53608772013513	0.7930176083776583	24.007801055908203	0.5350329875946045	142068.0	0.00019436016518739052	110.7934829711914	75.52088928222656	1.191663640411302	216.5922215363061	1170.610107421875	1155.33935546875	40765.0	815.1826293945312	1557.2364990234375	232.90023803710938	69.36912536621094
sub-01_task-faceidentityoddball_run-04_bold	0.0005081168831168831	0.004770141493506495	0	30.250474730718945	1.3399963430718942	0.9954013317647056	0.4603705898910952	8791088.0	0.15388902889359884	44	28.571428571428573	2.0401144444444443	1.9414233333333335	2.2421233333333332	1.9367966666666667	0.0187009	-0.01701599545776844	0.01285936776548624	154	80	80	35	4.9499588365192615	2.0	3.0	3.0	3.0	79.5803980762531	0.6514110150718406	27.509862899780273	0.4395504593849182	142147.0	0.0002466564445057884	126.75440368652342	86.27445220947266	1.1858005297358885	247.49620692772095	1330.881591796875	1312.760986328125	40688.0	925.6020355224609	1769.8590576171875	265.20318603515625	65.63230895996094
sub-01_task-faceidentityoddball_run-05_bold	0.0005659090909090909	0.0037457539610389608	0	29.73328156575163	1.3689934809150324	1.0133168777777783	0.4598166617159221	35702872.0	0.14343125491808276	33	21.428571428571427	2.0430822222222225	1.9443833333333334	2.24674	1.9381233333333334	0.0138006	-0.016721898689866066	0.012494523078203201	154	80	80	35	4.963118167408066	2.0	3.0	3.0	3.0	77.40493735433496	0.29152390303813447	26.368837356567383	0.1979195475578308	142236.0	0.0018395110964775085	122.84121704101562	82.9315414428711	1.1553699939365911	238.04163158643166	1276.7996826171875	1260.816650390625	40598.0	886.2242248535156	1695.408972167969	254.03407287597656	72.30650329589844
sub-01_task-faceidentityoddball_run-06_bold	0.00042532467532467534	0.005112314480519481	0	29.915879679803922	1.3078253909150328	0.9848173051633986	0.46086196090444886	3622968.0	0.1866185027192353	56	36.36363636363637	2.03495	1.9398533333333334	2.2316733333333336	1.9333233333333333	0.0107445	-0.016992004588246346	0.01260689739137888	154	80	80	35	4.95022737547303	2.0	3.0	3.0	3.0	74.82870165566023	0.9742601026385725	26.722797393798828	0.6571284532546997	142247.0	0.0	124.2751991271972	82.66732025146484	1.1746748018373623	234.75418920385778	1263.017578125	1246.29296875	40750.0	879.3101837158204	1680.3635437011717	251.76170349121094	64.46019744873047
sub-01_task-faceidentityoddball_run-07_bold	0.000659935064935065	0.004201025	0	29.28600717699346	1.3618919488888888	1.0148736099346405	0.4597559469337012	18688140.0	0.13617075596380618	35	22.727272727272727	2.0270322222222226	1.9352466666666668	2.226933333333333	1.9189166666666668	0.0101651	-0.0168385561555624	0.012622143141925335	154	80	80	35	4.9724993369288	2.0	3.0	3.0	3.0	75.76848696532363	0.3999378926705876	26.232145309448242	0.270328551530838	142455.0	0.0008529002312570812	122.09147644042966	81.74339294433594	1.2046755988999003	231.33272986049252	1246.208740234375	1230.179931640625	40494.0	868.1045349121093	1654.8273376464842	247.39364624023438	69.67149353027344
sub-01_task-faceidentityoddball_run-08_bold	0.0005985064935064935	0.004409523831168831	0	28.8166918038562	1.3268302355555561	1.0033144224183008	0.4603398137773487	13784385.0	0.15965044493756905	47	30.51948051948052	2.0289333333333333	1.9328166666666666	2.23095	1.9230333333333334	0.00892397	-0.017089691013097763	0.012341178953647614	154	80	80	35	4.974345057362064	2.0	3.0	3.0	3.0	71.98969505428038	0.5025960708229035	28.328819274902344	0.3406577408313751	142383.0	0.0020442294189706445	131.70414581298817	87.72714233398438	1.2004410463838102	248.18258008612946	1334.0859375	1317.6405029296875	40605.0	930.3110961914062	1773.1854736328125	264.88397216796875	67.47636413574219
sub-01_task-faceidentityoddball_run-09_bold	0.000519025974025974	0.004127813506493506	0	27.895881902418303	1.2963011437254903	1.005855831895425	0.4606217397281719	26574412.0	0.1565762055272833	37	24.025974025974026	2.0278911111111113	1.9278033333333333	2.2311733333333335	1.9246966666666667	0.0164546	-0.016881458461284637	0.01228868868201971	154	80	80	35	4.992614242390702	2.0	3.0	3.0	3.0	72.73230806608753	0.35243638041603564	28.212316513061523	0.23798973858356476	142274.0	0.0005908582417760046	131.9259201049806	88.10018157958984	1.2063436798828295	245.80375640936705	1326.2860107421875	1310.688720703125	40692.0	925.8602844238281	1758.9007019042967	262.5223083496094	69.10115051269531
sub-01_task-faceidentityoddball_run-10_bold	0.0005964285714285714	0.0034787220779220777	0	28.37588846300655	1.3488132647712419	1.0168242262745097	0.4607858371292229	6783905.5	0.1527828488715919	37	24.025974025974026	2.026882222222222	1.9257666666666668	2.2311833333333335	1.9236966666666666	0.011473	-0.0167243555188179	0.012438428588211536	154	80	80	35	4.976625304481285	2.0	3.0	3.0	3.0	68.8953076565621	0.7320809833529561	28.503780364990234	0.49378111958503723	142314.0	0.0	132.81855545043948	87.9249267578125	1.2132258728010674	245.22217166459558	1324.4427490234375	1307.739501953125	40658.0	923.6694091796875	1757.8237426757812	262.77313232421875	74.71054077148438
