trial_type.catch_null0	trial_type.catch_physical_size1	trial_type.catch_physical_size4	trial_type.catch_quantity1	trial_type.catch_quantity4	trial_type.catch_symbolic1	trial_type.catch_symbolic4	trial_type.deviant_nonsymbolic1	trial_type.deviant_nonsymbolic4	trial_type.deviant_physical_size1	trial_type.deviant_physical_size4	trial_type.deviant_symbolic1	trial_type.deviant_symbolic4	trial_type.null_null0	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	intercept
5.948708267673121e-280	-2.24991415372792e-151	7.611561885973481e-89	-2.832998798163007e-122	1.665219097099983e-232	1.3025063202669112e-188	1.9485994798476404e-62	2.67185319383105e-47	-2.869085155327447e-37	4.721227938500884e-20	-2.2557881874375883e-24	-3.411698900820717e-119	-7.732501616320307e-30	-1.0050061757330837e-13	4.684755168682386e-06	0.0	0.0	2.1946930990496333e-11	1.969363248122136e-05	0.0	0.0	3.87839160305417e-10	0.000900286922544	0.0	0.0	8.105165429037462e-07	-0.0001159999991237	0.0	0.0	1.3455999796698404e-08	8.199998429669897e-05	0.0	0.0	6.723997424658877e-09	4.782981480319702e-09	0.0	0.0	2.287691184108125e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
-3.0941609688594706e-279	3.097373315262567e-151	-1.3581499986710964e-88	5.759040843338656e-122	-6.0186879187409965e-232	-3.75299199580139e-188	-6.966455466373506e-62	-7.323956090583981e-47	7.795300072842591e-37	-7.396675828555446e-20	5.2663615062790585e-24	1.0532651131816256e-117	1.5670809612757266e-29	2.751465477768431e-13	0.0	-4.684755168682386e-06	2.1946930990496333e-11	0.0	0.0413904850680353	0.041370791435554	0.0017115423840041	0.0017131722541672	1.855588043042644e-05	-0.0008817310421135	7.774496306266884e-07	3.4432069854828285e-10	-0.0003719999794906	-0.0002559999803669	6.55359899478532e-08	1.3838398474100681e-07	0.0	-8.199998429669897e-05	6.723997424658877e-09	0.0	0.0	-4.782981480319702e-09	2.287691184108125e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
1.1932714243662914e-278	-6.948932346608487e-152	1.8374093289373856e-88	-1.047440995161456e-121	1.9756179181614282e-231	1.0522868504079838e-187	2.272333118398064e-61	1.965124631713581e-46	-2.0744019257317392e-36	6.090872226894438e-20	-1.1855344907920087e-23	-5.206937139447588e-117	-2.8340639684564485e-29	-7.374126968036364e-13	0.0	0.0	0.0	0.0	-0.0321501916936313	-0.0735406767616665	0.0054082311385639	0.0010336348259372	0.0181279877175555	0.018109431837125	0.0003279515214634	0.0003286239386878	-0.0002589999829585	0.000112999996532	1.2768999216254603e-08	6.70809911725033e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0510309296	0.0510306094	0.0510300757	0.0510293285	0.0510283679	0.0510271938	0.0510258062	0.0510242052	0.0510223907	0.0510203628	0.0510181215	1
-4.0578837770146296e-278	-1.7474563802462096e-150	-2.525122122997227e-89	1.4926337374032727e-121	-6.109126980786432e-231	-2.8818238115536125e-187	-6.996842709400689e-61	-5.167323257485972e-46	5.411099462447537e-36	1.8846387909244885e-19	2.5407767690535667e-23	1.97258865603414e-116	3.9784020622208954e-29	1.9368936608159943e-12	0.0	0.0	0.0	0.0	-0.0425126729889484	-0.010362481295317	0.0001073810185957	0.0018073273646652	0.0181427933091313	1.4805591575801911e-05	2.1920554190945656e-10	0.0003291609490578	8.29999986611336e-05	0.0003419999816196	1.1696398742782973e-07	6.888999777748179e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0510300757	0.0510271938	0.0510223907	0.0510156667	0.051007022	0.0509964569	0.0509839718	0.0509695672	0.0509532436	0.0509350017	0.050914842	1
1.2840204090069925e-277	9.496461167354529e-150	-1.119124912423729e-87	-5.849123417099435e-122	1.811255196939245e-230	7.725765333708358e-187	2.0678935163572384e-60	1.3320416717334997e-45	-1.3836146413171058e-35	-1.3874387656199468e-18	-5.058445997142351e-23	-6.645533232265652e-116	-1.271615741916159e-29	-4.987414874289181e-12	0.0003257261577829	0.0003257261577829	1.0609752986401066e-07	1.0609752986401066e-07	0.0158819853239577	0.058394658312906	0.003409936119481	0.0002522374578304	0.0255907585944328	0.0074479652853014	5.5472186891056233e-05	0.0006548869254385	-0.0005059999389374	-0.0005889999375985	3.469209264910764e-07	2.560359382046525e-07	1.898516255316452e-08	1.898516255316452e-08	3.6043639717008043e-16	3.6043639717008043e-16	-7.499998000403088e-05	-7.499998000403088e-05	5.624997000605032e-09	5.624997000605032e-09	0.0510283679	0.0510203628	0.051007022	0.0509883468	0.0509643392	0.0509350017	0.0509003373	0.0508603497	0.0508150431	0.0507644222	0.0507084922	1
-3.8711722946049866e-277	-3.71567456227869e-149	5.950987811372263e-87	-7.1303439759847476e-121	-5.198881382322714e-230	-2.0298271361415638e-186	-5.920480353001229e-60	-3.364667140569184e-45	3.465210908191036e-35	5.88318268594438e-18	8.843333997637463e-23	2.090324746075641e-115	-2.048899369242743e-28	1.2583322479572129e-11	0.002453804667013	0.00212807850923	4.528718141447004e-06	6.021157343854779e-06	-0.028719759256873	-0.0446017445808307	0.0019893156196536	0.0008248245717727	0.0441276286981917	0.0185368701037589	0.0003436155532436	0.0019472476145254	-0.0003119999936007	0.0001939999453366	3.7635978790642576e-08	9.734399600683685e-08	3.49158886248091e-08	1.5930726071644582e-08	2.537880331697763e-16	1.2191192784600734e-15	-0.00022399981991	-0.0001489998399059	2.220095229200443e-08	5.017591931971244e-08	0.0510258062	0.051010117	0.0509839718	0.0509473761	0.0509003373	0.0508428651	0.0507749712	0.0506966697	0.0506079764	0.0505089097	0.0503994898	1
1.125892982065022e-276	1.2729942779525966e-148	-2.312086014321289e-86	4.080014052721479e-120	1.4529789950023732e-229	5.228178956797244e-186	1.651088512361429e-59	8.316670620614234e-45	-8.485154937147222e-35	-2.0945942265723516e-17	-1.1266682520996331e-22	-6.275247597717094e-115	1.1445651758705058e-27	-3.106365548206798e-11	0.0007834409273073	-0.0016703637397057	2.790115022923612e-06	6.137796865801221e-07	-0.0737788903496863	-0.0450591310928132	0.0020303252948393	0.005443324661231	0.0688799386099603	0.0247523099117686	0.0006126768459682	0.0047444459429119	0.0001390000025142	0.0004509999961149	2.034009964956398e-07	1.9321000698947605e-08	-9.649493426522326e-09	-4.456538205133143e-08	1.986073277381133e-15	9.31127233884976e-17	-0.0001400001917732	8.39996281368e-05	7.055937527120682e-09	1.9600053696532786e-08	0.0510223907	0.0509964569	0.0509532436	0.0508927655	0.0508150431	0.0507201027	0.0506079764	0.0504787024	0.0503323243	0.0501688918	0.0499884603	1
-3.1815707171681383e-276	-4.0469902133628996e-148	7.892853438605306e-86	-1.6220755270788356e-119	-3.9677379288686665e-229	-1.319458411472124e-185	-4.500058729229887e-59	-2.0065965939211826e-44	2.0252255592232024e-34	6.815790411377527e-17	-1.960120691608903e-23	1.8190440526431038e-114	-4.517333099782524e-27	7.484018888881744e-11	0.0015915858116244	0.0008081448843171	6.53098154047899e-07	2.5331453957641003e-06	-0.0161055858962839	0.0576733044534023	0.0033262100465748	0.0002593898970625	0.0618743810448947	-0.0070055575650656	4.907783679744797e-05	0.0038284390296888	0.0002559999942861	0.0001169999917718	1.3688998074624668e-08	6.553599707448322e-08	6.400003979667446e-05	6.400968929010098e-05	4.097240323015268e-09	4.096005093975914e-09	-8.201291717957731e-09	0.0001399919904814	1.959775739896736e-08	6.726118584304207e-17	0.0510181215	0.0509793835	0.050914842	0.0508245297	0.0507084922	0.0505667884	0.0503994898	0.0502066812	0.0499884603	0.0497449374	0.0494762357	1
8.773123308957725e-276	1.2241938091787577e-147	-2.503602143770272e-85	5.601970632842894e-119	1.0608538133071192e-228	3.2582721373928024e-185	1.2010213173612168e-58	4.706304491346074e-44	-4.687919964584059e-34	-2.095295823839693e-16	8.674995061442446e-22	-5.12614599963177e-114	1.5544405033843812e-26	-1.7522599783946322e-10	0.0018572338055236	0.0002656479938992	7.056885666266943e-08	3.449317408379674e-06	-0.0289373781034214	-0.0128317922071375	0.0001646548912471	0.0008373718515003	0.0803529601207131	0.0184785790758183	0.0003414578846612	0.0064565982001609	0.0002449978644984	-1.1002129787699984e-05	1.2104685986539528e-10	6.002395360877638e-08	-1.7030921396488097e-05	-8.103096119316255e-05	6.5660166718878155e-09	2.900522836133561e-10	-0.0002509978251953	-0.0002509896239035	6.299579130726156e-08	6.299990825277037e-08	0.0510129985	0.050958898	0.0508687729	0.050742687	0.0505807293	0.0503830145	0.0501496823	0.0498808975	0.0495768503	0.0492377556	0.0488638531	1
-2.366842503078617e-275	-3.569657463986319e-147	7.561257920679281e-85	-1.789821268230891e-118	-2.78001262721749e-228	-7.852720374641241e-185	-3.141835247424852e-58	-1.0657374562299493e-43	1.0435726687962644e-33	6.185170221399674e-16	-4.346769587839313e-21	1.4101213890138594e-113	-4.955272531032959e-26	3.9591169727064845e-10	-3.1834125024943205e-06	-0.001860417218026	3.4611522251279526e-06	1.0134115161037152e-11	-0.0761710340924821	-0.0472336559890607	0.0022310182580929	0.005802026434718	0.1013374069925419	0.0209844468718288	0.0004403470105166	0.010269270055972	0.0005029726827377	0.0002579748182393	6.655100684559988e-08	2.52981519580359e-07	-0.0001750787059944	-0.0001580477845979	2.4979102216307966e-08	3.065255329267355e-08	-0.0003119560662421	-6.095824104679999e-05	3.7159071515197713e-09	9.731658726524546e-08	0.051007022	0.0509350017	0.0508150431	0.0506472592	0.0504318078	0.0501688918	0.0498587586	0.0495017001	0.0490980523	0.0486481952	0.048152552	1
