trial_type.t_low	trial_type.t_hi	trial_type.p_low	trial_type.p_hi	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-3.924590085443059e-10	1.0565673669033622	5.327939469157504e-15	3.295562307303025e-05	-0.0409020210244522	-0.0142701754152356	0.0002036379063825	0.0016729753238861	-0.0124626645823867	-0.0122561325554075	0.0001502127852145	0.0001553180084932	0.0147619240057385	-0.0143401619087343	0.0002056402435675	0.0002179144003506	-0.0004980724636214	0.0003559272614149	1.2668421556870018e-07	2.4807617960739504e-07	-0.0003909074320174	-0.0004049074294466	1.639500286201191e-07	1.5280861821072834e-07	-0.0003710970197726	-0.0003711029864708	1.3771742677073428e-07	1.3771300087518465e-07	0.0748824001000015	0.0493373842000005	0.0130125839000002	-0.0261553515000009	1
9.544021162927546e-10	0.8512355712998938	8.077467787646775e-15	-8.105147993265793e-05	-0.0250620442599691	0.0158399767644845	0.0002509048638995	0.0006281060624879	-0.0186343987899566	-0.0061717342075696	3.809030312788037e-05	0.0003472408182633	0.0369815363961974	0.0222196123904594	0.0004937111747816	0.0013676340342235	-0.0004980454745489	2.6989071757241837e-08	5.408881117257372e-16	2.480492958375202e-07	-0.0004019436845502	-1.1036252532302438e-05	1.2179835624237035e-10	1.6155872407327584e-07	-0.0002261000781339	0.0001449969416403	2.1024111947985364e-08	5.1121246678272324e-08	0.0744536592000015	0.0478141462000006	0.0102399552000001	-0.029676024100001	1
-2.266355056787789e-09	0.5770397244800802	-5.443243310565861e-15	0.0001722528988663	-0.0276462911536169	-0.0025842468936474	6.678332006869408e-06	0.0007643174145507	0.0400214494568736	0.0586558482468301	0.0034405085335561	0.0016017164166285	0.0063086608917182	-0.0306728755044799	0.0009408252917123	3.9799202245695895e-05	-0.0009039998959831	-0.0004059544214343	1.647989933367349e-07	8.172158111125706e-07	-0.0002749995804382	0.000126944104113	1.6114805533628242e-08	7.562476874822139e-08	-1.243181312026875e-07	0.0002259757600032	5.106504482687957e-08	1.5489156727617442e-14	0.0740157433000021	0.04626734	0.0074559705	-0.0331381933000013	1
5.205908049635719e-09	0.3166971328844227	4.386232357958997e-14	3.487528801612251e-05	-0.0409633527170022	-0.0133170615633855	0.0001773441286839	0.0016779962658196	-0.0240074204090638	-0.0640288698659376	0.0040996961763096	0.0005763562346975	0.0169720026365209	0.0106633417448031	0.0001137068571664	0.0002880488734932	-0.0008010002241363	0.0001029996718465	1.0608931587408282e-08	6.416013579186187e-07	-0.0002589998965204	1.5999683917527663e-05	2.559893276365161e-10	6.70809461434822e-08	-1.037594786450191e-07	2.0558651784981772e-08	3.712375094366015e-17	1.0985689738202467e-14	0.0735687063000019	0.0446977280999998	0.0046637170999999	-0.0365350337000013	1
-1.1429596058198124e-08	0.1170084775424383	-1.185686314898142e-13	0.023012468803127	-0.0381664086255304	0.0027969440914722	7.822896249661643e-06	0.0014566747473728	-0.0558085911387304	-0.031801170729665	0.001011314459776	0.0031145988448915	0.0426650318841132	0.0256930292475924	0.0006601317519181	0.0018203049456724	-0.0007209910812629	8.000914287284588e-05	6.401462350789599e-09	5.198281380170958e-07	-0.0003250202311638	-6.60203346444031e-05	4.35868394587389e-09	1.056381505268728e-07	5.53827928141231e-05	5.548655229300074e-05	3.078757252074241e-09	3.0672540043747967e-09	0.0731126033000009	0.0431060841000001	0.0018662916999998	-0.0398598488000012	1
2.3643411617740725e-08	-0.0144068538827732	3.8648141947961384e-13	0.139434817617516	-0.0409742114974441	-0.0028078028719132	7.883756967400573e-06	0.0016788860078396	0.0243909687052614	0.0801995598439919	0.0064319693991723	0.0005949193543798	0.0619009851886731	0.0192359533045592	0.0003700218995354	0.003831731967329	-0.0009039632836403	-0.000182972202377	3.3478826205647254e-08	8.171496170392315e-07	-0.0004000825822649	-7.506235110111871e-05	5.6343563229398695e-09	1.6006607238321409e-07	0.0001823190006164	0.000126936207802	1.6112801075843025e-08	3.324021795900769e-08	0.0726474906000009	0.0414931927000001	-0.0009332033999999	-0.0431060841000011	1
-4.398580195888074e-08	-0.0893293140614298	-1.1326591088101618e-12	0.3607413872753002	-0.0438926503532591	-0.0029184388558148	8.51728535502117e-06	0.0019265647550358	-0.0018084077782277	-0.0261993764834904	0.0006864073281226	3.2703386919237167e-06	0.0494454994158685	-0.012455485772805	0.0001551391258367	0.0024448574124846	-0.0009039553657541	7.9178859671304e-09	-4.8888839277040027e-17	8.17135302343196e-07	-0.0004870833154302	-8.700073316499988e-05	7.569127391594732e-09	2.3725015524594773e-07	0.00018477962175	2.460621133911832e-06	6.0549348614397616e-12	3.4143508335167834e-08	0.0721734253000008	0.0398598488000003	-0.0037316636	-0.0462673400000009	1
6.580915826535997e-08	-0.1235928073126494	3.281631901329177e-12	0.6158303539308774	-0.0409542862598487	0.0029383640934108	8.633983545185881e-06	0.001677253563055	-0.002694790577067	-0.0008863827988392	7.856744647332108e-07	7.261896253857359e-06	0.0685686003526073	0.0191231009367392	0.0003656929894374	0.0047016529543168	-0.0008309421729269	7.30131928270055e-05	5.330926422652346e-09	6.904648942608101e-07	-0.0004181145163888	6.896879904163679e-05	4.756695115178158e-09	1.748197485324975e-07	0.0002768265330421	9.204691129234378e-05	8.472633888311956e-09	7.663292870033822e-08	0.0716904660000006	0.0382068576000007	-0.0065259852999999	-0.0493373842000008	1
-4.189393550349814e-08	-0.1308879640026187	-9.149851574821064e-12	0.8352460362440483	-0.0429567450299986	-0.0020024587701496	4.009841126011258e-06	0.0018452819435738	0.0386172240216932	0.0413120145987596	0.0017066825502077	0.001491289991141	0.062149537564197	-0.0064190627884106	4.120436708167423e-05	0.0038625650194442	-0.0012624139162623	-0.0004314717433358	1.861678668923377e-07	1.593688895055385e-06	-0.0005471961155227	-0.0001290815991336	1.6662059444661546e-08	2.994235880277218e-07	0.0003101547800667	3.3328247024842025e-05	1.1107721929833788e-09	9.61959867508486e-08	0.0711986721000007	0.0365350337000009	-0.0093130698999998	-0.0523101645000006	1
-2.4175546764084415e-07	-0.1216752677548028	2.5185798486069025e-11	0.9904154344372456	-0.0429963289368529	-3.958390685417314e-05	1.5668855289788334e-09	0.0018486843020476	0.0030046067949321	-0.0356126172267618	0.001268258505739	9.027661991699236e-06	0.0492402130298338	-0.0129093245343629	0.0001666506599337	0.0024245985792235	-0.001343934581845	-8.152066558288227e-05	6.645619021004775e-09	1.806160159375748e-06	-0.0004631883265957	8.400778892787744e-05	7.0573085554020244e-09	2.145434258927755e-07	0.0002801886496366	-2.9966130429955875e-05	8.979689257130872e-10	7.850567822826279e-08	0.0706981044000007	0.034845201300001	-0.0120898261999998	-0.0551798205000006	1
