img1	img2	dice	voxinmask	voxoutmask	ratio_inoutmask
sub-04_run-02	mni152	0.8728441888297374	88.34033892641659	11.659661073583408	7.576578630279741
sub-12_run-02	mni152	0.8550736391955909	86.75371599129258	13.246284008707427	6.549287025271777
sub-02_run-01	mni152	0.8639392507543429	87.5776936306309	12.422306369369098	7.050034915141027
sub-13_run-03	mni152	0.8628783336664224	87.15617593624069	12.843824063759318	6.785843180627511
sub-11_run-02	mni152	0.8534449052673889	86.06213358979744	13.937866410202554	6.174699272967614
sub-09_run-02	mni152	0.8592391646280759	87.10736421893056	12.892635781069439	6.756365858627012
sub-03_run-02	mni152	0.8638959695592745	87.03004860475329	12.96995139524671	6.710129124820659
sub-15_run-01	mni152	0.8703124588399547	88.55452596109664	11.445474038903354	7.737078050249239
sub-01_run-01	mni152	0.8590008075765362	86.48134255272757	13.518657447272432	6.397184253690542
sub-12_run-03	mni152	0.8510242222409887	86.39057444873495	13.609425551265039	6.347848711417851
sub-03_run-01	mni152	0.8644114157293403	87.0794173282295	12.920582671770505	6.739589037148045
sub-09_run-01	mni152	0.8528190302888002	86.3533362556372	13.646663744362803	6.327798344947735
sub-02_run-03	mni152	0.8655317499655276	87.72720404925587	12.272795950744127	7.148102551475793
sub-05_run-01	mni152	0.8577883157829057	86.45568215448357	13.544317845516424	6.383169912326223
sub-01_run-03	mni152	0.8512045914136491	85.6823298980395	14.317670101960497	5.984376598138488
sub-07_run-01	mni152	0.6700437812697989	67.00437812697989	32.99562187302011	2.03070511551013
sub-09_run-03	mni152	0.8637098215615597	87.64013103456094	12.359868965439068	7.090700660308144
sub-04_run-01	mni152	0.8758382565017829	88.66348767090913	11.33651232909086	7.821055109108638
sub-14_run-01	mni152	0.8650383846298849	87.08418295205918	12.915817047940822	6.742444758145833
sub-10_run-02	mni152	0.8521803154968984	86.6075270225272	13.392472977472808	6.466880849280626
sub-06_run-03	mni152	0.826404326152437	83.00919340113379	16.990806598866218	4.8855357700718525
sub-07_run-03	mni152	0.6764794465144697	67.64813869304068	32.35186130695932	2.0910122620514775
sub-02_run-02	mni152	0.8644190157223928	87.5988023048843	12.401197695115696	7.063737266230804
sub-05_run-02	mni152	0.8496876976884539	85.6318975245856	14.368102475414402	5.959861274034783
sub-12_run-01	mni152	0.8600048229423658	87.30580193209423	12.694198067905768	6.877614597240765
sub-05_run-03	mni152	0.8617793290015369	86.82304101949047	13.176958980509523	6.589004424155324
sub-08_run-01	mni152	0.849999456401596	85.39980411218765	14.600195887812356	5.849223172647697
sub-15_run-02	mni152	0.8680048959608323	88.58980173891652	11.41019826108348	7.764089607545898
sub-07_run-02	mni152	0.6694902744501345	66.94902744501346	33.050972554986544	2.025629573642079
sub-10_run-01	mni152	0.8472786887645507	86.08401124314035	13.915988756859655	6.185978786502445
sub-06_run-02	mni152	0.8302111210228962	83.40849278042535	16.59150721957465	5.027179970847981
sub-03_run-03	mni152	0.8660211489081451	87.17527570140449	12.824724298595516	6.797438578149503
sub-08_run-03	mni152	0.851769445755145	85.53989378182627	14.460106218173733	5.915578522813209
sub-11_run-03	mni152	0.8561277430472803	86.35494524595863	13.64505475404137	6.328662420382166
sub-15_run-03	mni152	0.8663423752097197	88.2989548744472	11.701045125552783	7.546245136822833
sub-13_run-01	mni152	0.8566390155468879	86.27658554218644	13.723414457813549	6.2868162881333145
sub-11_run-01	mni152	0.8574496437342378	86.46324580041903	13.536754199580967	6.3872952500752005
sub-04_run-03	mni152	0.8718762648597599	88.24560272200706	11.754397277992936	7.507454498515555
sub-08_run-02	mni152	0.8507498930795271	85.419570367513	14.580429632486998	5.8585084610392855
sub-14_run-02	mni152	0.8582325949309144	86.29253779705577	13.707462202944232	6.295296424638031
sub-13_run-02	mni152	0.8538872624531842	85.99172870140612	14.00827129859388	6.1386395843174295
sub-06_run-01	mni152	0.8239814014904092	82.74918355399123	17.25081644600876	4.796827084270352
sub-10_run-03	mni152	0.8481429294819577	86.30235189133285	13.697648108667163	6.300523360409966
sub-01_run-02	mni152	0.8574087371953633	86.31387938156497	13.68612061843503	6.306672415651611
