trial_type.decision	trial_type.missed	gain_demean	loss_demean	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	intercept
0.2797816214134919	-2.3982764293161702e-15	0.1383429699952459	-1.9221305461761788	0.1365962986591455	-0.0315233999999996	-0.0018173000000014	3.302579290555665e-06	0.000993724747559	0.1183329999999988	0.0293314000000017	0.0008603310259586	0.0140026988889976	0.0300866000000005	0.0039189999999989	1.5358561000021266e-05	0.0009052034995593	0.0001242290000024	8.021380000240518e-05	6.4342545269441635e-09	1.54328471903301e-08	-0.0006205819999991	1.5366244628388496e-15	1.0398793340759897e-16	3.851220196152287e-07	0.0005606780000011	7.457700000089631e-05	5.561729285602766e-09	3.143598181778364e-07	0.0566595129000029	0.0296423453000006	-0.0062738876000007	-0.0403066077000015	-0.0622386951000026	-0.0654858167000033	1
0.2077687444833275	2.6992449206316047e-16	0.2714249866460013	-1.166182663199357	0.1320754784610541	-0.025520599999999	0.0060027999999992	3.603360783984809e-05	0.0006513010243629	0.178554000000002	0.0602210000000018	0.003626568840999	0.031881530916001	0.0199135999999975	-0.0101730000000009	0.0001034899290001	0.0003965514649583	-0.0003127360000001	-0.0004369650000012	1.9093841292141806e-07	9.780380534834959e-08	-0.0006205820000001	-1.5649858379058916e-15	1.1645690005517936e-16	3.851220177152561e-07	0.0004861010000008	-7.457700000113078e-05	5.561729119378284e-09	2.362941799875795e-07	0.0564128777000025	0.0288057166000016	-0.0076624767000006	-0.0417735874000017	-0.0630345717000024	-0.0649052602000033	1
0.2515131723804932	-6.696319245985334e-15	0.8433550166149668	-0.82716380857844	0.212803417444315	-0.0295965999999974	-0.0040759999999976	1.6613775998785102e-05	0.0008759587315615	0.0891428999999999	-0.0894111000000031	0.0079943448032124	0.0079464566204093	0.0263269000000001	0.0064133000000025	4.11304168887547e-05	0.0006931056636101	-6.380400000082791e-05	0.0002489319999995	6.196713942359071e-08	4.070951520453299e-09	-0.0006205820000012	-5.872378374210325e-16	6.712010484825116e-16	3.851220178833703e-07	0.0004861010000002	-2.990183889524539e-16	-4.0757684449403816e-16	2.3629418213514925e-07	0.056163493100002	0.027963472200001	-0.0090477048000006	-0.043207993400002	-0.0637536504000027	-0.0642108378000034	1
0.3827317527269294	1.1233783832853058e-14	1.7247869777342903	-0.8255355582015365	0.3079651262998537	-0.027119299999998	0.0024772999999991	6.137015290592138e-06	0.000735456432492	0.1345319999999994	0.0453891000000021	0.0020601703988093	0.0180988590239988	0.0379137000000017	0.0115868	0.00013425393424	0.0014374486476912	0.0001136710000027	0.0001774750000044	3.1497375923141244e-08	1.2921097808281082e-08	-0.0006205820000008	7.73550687909619e-16	-1.901279693305773e-16	3.851220171570655e-07	0.0004861010000004	7.158814956527554e-16	4.104802269574447e-17	2.3629418177816293e-07	0.0559113712000023	0.0271157762000006	-0.0104289643000004	-0.0446087071000022	-0.0643950551000029	-0.0634037678000032	1
0.5366069126191982	-2.3966973686774015e-14	2.6254952280426647	-0.9873532887818456	0.3475124772630333	-0.0248100999999974	0.0023091999999989	5.332404640181138e-06	0.0006155410620135	0.1653410000000011	0.0308090000000007	0.0009491944809977	0.0273376462810011	0.0291518000000006	-0.0087619000000013	7.67708916103956e-05	0.0008498274432401	-0.0002422889999986	-0.0003559600000021	1.2670752418834478e-07	5.8703959008643274e-08	-0.0006205820000009	-3.4423703627530537e-16	-1.7770962496307798e-16	3.8512201679709676e-07	0.0004861010000008	-3.932457132450738e-16	1.1801458714845262e-16	2.3629418086895694e-07	0.0556565242000018	0.0262627940000012	-0.0118056494000001	-0.0459746362000026	-0.0649580043000029	-0.0624854660000028	1
0.6303404193656005	4.9149519186574246e-14	3.163154349738639	-1.1024902970741088	0.3201182613316958	-0.0313565999999975	-0.0065464999999987	4.2856662249554895e-05	0.00098323636356	0.0840394999999986	-0.0813015000000025	0.0066099339022513	0.0070626375602487	0.0295974000000024	0.0004456000000003	1.985593585424137e-07	0.0008760060867601	6.403280000082363e-05	0.0003063217999991	9.383304459858012e-08	4.100199285355564e-09	-0.0006205819999998	6.90424237781769e-16	-4.682085210430282e-16	3.851220191598205e-07	0.0006047820000027	0.0001186810000005	1.4085180575227782e-08	3.657612650312826e-07	0.0553989646000018	0.0254046918000007	-0.0131771560000002	-0.0473047158000028	-0.0654418122000031	-0.0614575434000025	1
0.6415841895544848	-8.05520732243028e-14	3.000059262248827	-1.2100735740388815	0.2746632595171728	-0.0258704999999977	0.0054860999999987	3.0097293209218237e-05	0.0006692827702524	0.1557989999999997	0.0717595000000018	0.0051494258402502	0.0242733284009998	0.0489225000000033	0.0193251000000008	0.0003734594900103	0.0023934110062539	-0.0001544279999998	-0.0002184607999994	4.772512015317848e-08	2.3848005075126983e-08	-0.0006205819999991	3.254865624752887e-17	3.149420056127525e-16	3.851220166580098e-07	0.0004861010000016	-0.0001186810000017	1.4085181283669896e-08	2.362941822320925e-07	0.0551387050000018	0.0245416368000006	-0.0145428828000002	-0.0485979085000028	-0.0658458894000031	-0.0603218035000024	1
0.6325510371534289	9.421171056825939e-14	1.9710683865888283	-1.6466073790163245	0.2852957489092668	-0.0255358999999975	0.0003345999999986	1.1195716041212309e-07	0.0006520821888127	0.1732800000000013	0.0174810000000001	0.0003055853609968	0.0300259584000015	0.0266335000000008	-0.022289000000003	0.0004967995210022	0.0007093433222501	-0.0002202009999983	-6.577299999993776e-05	4.326085647800512e-09	4.8488478291753865e-08	-0.0006205820000002	6.660880572656006e-16	-7.689883938945978e-16	3.851220176685955e-07	0.0004861010000013	-9.559185196151471e-16	1.5756440281419895e-16	2.362941812043864e-07	0.0548757579000016	0.0236737975000012	-0.0159022305000002	-0.0498532060000028	-0.0661697434000029	-0.0590802386000022	1
0.6595594878192981	7.572022406555235e-14	0.2618469015193602	-2.5657006122414745	0.3770488340455715	-0.0322597999999971	-0.0067238999999981	4.521083120860167e-05	0.0010406946960394	0.0744881999999978	-0.098791800000003	0.0097598197472431	0.0055484919392387	0.0263661000000022	-0.0002673999999994	7.150275810940685e-08	0.0006951712292098	-8.8859500001684e-05	0.0001313414999961	1.7250587304377952e-08	7.896010235189744e-09	-0.0006205819999996	-6.861138845925011e-17	3.308941197374767e-16	3.851220197285867e-07	0.0006014430000021	0.0001153420000007	1.3303777085686021e-08	3.617336803561459e-07	0.0546101363000019	0.0228013429000004	-0.0172546030000004	-0.0510696295000025	-0.0664129799000031	-0.0577350269000021	1
0.727758011993893	-1.017089811436721e-12	-1.6985505466373705	-3.788170236193323	0.4923326265955767	-0.0263043999999975	0.0059553999999972	3.546678915783543e-05	0.0006919214593617	0.1795619999999995	0.1050738000000039	0.0110405034464433	0.0322425118439996	0.0269233999999998	0.0005572999999987	3.1058328812093935e-07	0.0007248694675597	-0.0003964230000035	-0.0003075634999987	9.459530443316227e-08	1.5715119577277245e-07	-0.0006205820000004	1.4669480019182757e-15	1.4098124168808756e-15	3.851220180916605e-07	0.0004861010000009	-0.0001153420000015	1.3303777334795622e-08	2.362941818796229e-07	0.0543418530000024	0.0219244431000009	-0.0185994071000002	-0.0522462305000022	-0.0665753023000031	-0.0562885284000019	1
