trial_type.1	trial_type.1_derivative	trial_type.2	trial_type.2_derivative	trial_type.3	trial_type.3_derivative	trial_type.4	trial_type.4_derivative	trial_type.5	trial_type.5_derivative	trial_type.6	trial_type.6_derivative	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	intercept
-1.591993747765777e-08	-2.562806452534943e-08	1.676034414692522e-16	2.813754315534672e-19	-5.562051236647589e-16	-9.874698916205864e-17	-7.703744974466762e-16	-1.0618790548287138e-16	-8.137432509336314e-13	8.187889014691807e-13	0.000167454826737	-0.0002852884938635	-0.0584028313443376	1.9054421216022308e-05	3.6307152388608807e-10	0.0034108907090332	-0.0369909836156642	0.0089854532633921	8.073837034837275e-05	0.0013683328688543	-0.0151784601910104	0.011661699827941	0.0001359952428761	0.0002303856537672	0.0003179582409403	0.0001709900419153	2.9237594819035838e-08	1.010974415899444e-07	-0.0001790744786764	-4.304012557048909e-05	1.8524518187612563e-09	3.2067670147351883e-08	-0.0004679715191815	1.8368106241053e-08	-3.5997371772147736e-16	2.189973445289569e-07	0.1256829940000024	0.1232689824000023	1
3.7931342399618194e-08	7.264947013260767e-08	-1.6148190244553454e-16	-3.429429994408448e-16	-1.062463985469011e-15	-5.283671162459789e-17	-2.728756920914481e-16	-1.0565963280013476e-16	2.443746583689463e-12	-1.589077878520736e-12	-0.0005155538087502	0.0006057980267317	-0.0583902658822661	1.2565462071965708e-05	1.578908661657289e-10	0.0034094231497998	-0.0481442695506318	-0.0111532859349668	0.0001243957871469	0.0023178706905637	0.0132162842101889	0.0283947444011991	0.0008062615096118	0.000174670168325	0.0005539491859148	0.0002359909449739	5.569172655228916e-08	3.068597014576222e-07	-0.0001601769114289	1.8897567249938704e-05	3.5711701498668187e-10	2.565664426630689e-08	-0.0006389557384681	-0.0001709842192857	2.9235601956638117e-08	4.0826443467456933e-07	0.1252845616000018	0.1216879446000024	1
-8.765522118301627e-08	-2.020932968310859e-07	8.651396054184715e-17	8.070289322779468e-16	-1.6809683689618433e-15	-2.3304691817501248e-17	6.799201573382168e-16	-5.2047264340018193e-17	-7.130761954888399e-12	2.6036646902173805e-12	0.0012355795188592	-0.0015250986772365	-0.058368601100255	2.166478201114169e-05	4.693625063834133e-10	0.0034068935943988	-0.0562878730130904	-0.008143603462457	6.631827735344708e-05	0.0031683246483374	0.0352088016875422	0.0219925174773513	0.0004836708249925	0.0012396597162767	0.000546976017616	-6.97316829992223e-06	4.862443232268265e-11	2.991827644900175e-07	-0.0001026279742512	5.7548937178742006e-05	3.311879500272372e-09	1.0532502051141817e-08	-0.0004679718469221	0.0001709838915468	2.923549173834789e-08	2.1899764906171195e-07	0.1248069968000017	0.1197995125000023	1
1.944579490747358e-07	5.525882009292462e-07	-7.35964482049441e-16	-2.20379657163979e-15	-2.12949520435772e-15	-6.491255082807687e-17	9.826549684327117e-16	-6.0256091012222325e-18	2.0342861808578068e-11	-2.520204871153904e-12	0.0041923458953411	0.0191163959637004	-0.0311872510167166	0.0271813500835391	0.0007388257923636	0.0009726446259783	-0.0488475460027615	0.0074403270103294	5.535846602023459e-05	0.0023860827504916	0.0266258822881121	-0.0085829193994317	7.366650541595262e-05	0.0007089376076229	7.600642877753797e-05	-0.000470969588839	2.2181235418495665e-07	5.776973905612749e-09	4.598934501318745e-05	0.0001486173192638	2.208710871597471e-08	2.1150208322993443e-09	-0.0002800017596191	0.0001879700873001	3.533275168660358e-08	7.840098584237203e-08	0.1242506012000014	0.1176084564000021	1
-4.0651162956109764e-07	-1.4865525813759496e-06	8.549192472332983e-16	5.634902653613688e-15	-1.3025403555224996e-15	-8.02011021100881e-17	9.77069563740412e-17	-7.24587608969833e-17	-5.690729931565032e-11	-5.081183233898242e-12	0.1752854537154533	0.1531937728216566	-0.0378649035650354	-0.0066776525483209	4.4591043555769045e-05	0.0014337509219868	-0.087970462339742	-0.039122916336979	0.0015306025827102	0.0077388022442657	0.0182213598744054	-0.0084045224137073	7.063599700015099e-05	0.0003320179556723	0.0003030031328672	0.0002269967040903	5.152750279911585e-08	9.18108970378117e-08	4.59768583130231e-05	-1.2486702623225896e-08	1.184662289393034e-16	2.1138725207899508e-09	-0.0001530065125848	0.000126995247034	1.612779245429499e-08	2.341099396147193e-08	0.1236157262000014	0.1151203112000024	1
7.702489830544915e-07	3.935678188123092e-06	-6.511628233312372e-16	-1.4571412625116125e-14	-1.0724703810888582e-15	-1.8551548914807726e-16	-1.322435231702769e-16	-9.741587198742125e-17	1.563866208317763e-10	4.4575186635988615e-11	0.5708078913046819	0.2050930778859301	-0.0365021111144718	0.0013627924505617	1.85720326158642e-06	0.0013324041158111	-0.0328652935523891	0.0551051687873508	0.003036579627083	0.0010801275202852	-0.0152832089036538	-0.0335045687780585	0.0011225561290071	0.0002335764743903	0.0001779615460873	-0.00012504158678	1.5635397541254e-08	3.1670312695001384e-08	-0.0001640416960681	-0.0002100185543798	4.410779193981977e-08	2.690967930540956e-08	-0.0004679854038464	-0.0003149788912621	9.921170247220445e-08	2.1901033692807465e-07	0.1229027729000014	0.1123413621000012	1
-1.1897055158647974e-06	-1.025197546724494e-05	-2.4642825461636858e-17	3.6817201240785605e-14	1.2908388440283534e-16	-8.436694206276995e-17	-9.849860637220017e-16	7.211362765400361e-17	-4.2264352046051416e-10	-1.9918353523259257e-10	0.9181233266334556	0.1216911997909239	-0.0324152856859135	0.004086825428556	1.6702142081456423e-05	0.0010507507460985	-0.0804025612419678	-0.0475372676895789	0.0022597918193902	0.0064645718542659	-0.0067049771393294	0.0085782317643257	7.358606020127617e-05	4.495671843864365e-05	0.000345003151703	0.0001670416056138	2.7902898244533213e-08	1.190271736457147e-07	4.597394885823651e-05	0.0002100156449249	4.4106570852704615e-08	2.113603601436446e-09	-0.0001510074741573	0.0003169779296899	1.0047500969384972e-07	2.2803257625597844e-08	0.1221121916000026	0.1092786288999998	1
8.576375475222491e-07	2.62139555476658e-05	1.1405318580121782e-14	-9.115875075983516e-14	-3.3245284719411764e-16	-4.952613530790779e-17	-4.842361482341745e-17	1.4704271476528952e-16	1.121499410211365e-09	7.316045464884977e-10	0.9799277788481896	-0.0712982746854428	-0.0390673691312455	-0.0066520834453328	4.42502141612276e-05	0.0015262593308373	-0.0235390626876454	0.0568634985543229	0.003233457467838	0.0005540874722136	-0.0152372464648219	-0.0085322693254924	7.279961984275417e-05	0.0002321736798304	0.0001769754165666	-0.0001680277351363	2.823331860355957e-08	3.1320298021307545e-08	-0.0001820239006522	-0.0002279978495106	5.198301981021544e-08	3.3132699921566814e-08	-0.0002699840169136	-0.0001189765427581	1.4155416602966224e-08	7.289136784197364e-08	0.1212444816000043	0.1059398483999988	1
3.81809892349382e-06	-6.5822454376745e-05	-5.1047951784513926e-14	2.2142734528278918e-13	-1.3436228873634959e-16	4.569138642047056e-17	-5.909781452262789e-16	2.86261877538753e-16	-2.926619549562953e-09	-2.444782532836149e-09	0.6658958830596197	-0.2064644044605954	-0.0403522379987038	-0.0012848688674575	1.650888005557568e-06	0.0016283031115053	-0.0507435858466743	-0.0272045231590291	0.0007400860803096	0.0025749115045776	-0.0038147595466928	0.011422486918129	0.0001304732073955	1.4552390401081956e-05	0.0004659885924682	0.0002890131759007	8.352861607925109e-08	2.1714536840735333e-07	-0.0001860282989011	-4.004398248186286e-06	1.6034499758201505e-11	3.4606527621759166e-08	-0.0001224563085294	0.0001475277083838	2.1764424390724882e-08	1.499554754956124e-08	0.1203001910000045	0.102333454699999	1
-2.63324939357166e-05	0.0001619444176364	1.9458019577806832e-13	-5.230557062681658e-13	-8.634357490850157e-16	-1.2459903513696668e-17	-5.430223409677382e-17	1.2938196416167435e-16	7.513730934811658e-09	7.721666707138705e-09	0.2787404862342299	-0.1640650508042871	-0.0421161701442824	-0.001763932145578	3.1114566142168626e-06	0.0017737717876223	-0.0324389932076903	0.0183045926389843	0.0003350581116787	0.0010522882803287	-0.0129134325169961	-0.0090986729703041	8.27858498204072e-05	0.0001667567393708	0.0001849831003458	-0.0002810054921228	7.896408617626005e-08	3.4218746705631486e-08	-0.000104030534525	8.199776437726462e-05	6.723634124439586e-09	1.082235221631932e-08	-0.0003299906776307	-0.0002075343691022	4.3070513810715175e-08	1.0889384687876316e-07	0.119279916200004	0.0984685578000002	1
