trial_type.falsebeliefquestion	trial_type.falsebeliefstory	trial_type.falsephotoquestion	trial_type.falsephotostory	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-3.2782790820768394e-16	2.244084861144494e-16	6.784157791712464e-08	1.34773504902591e-05	-5.311249999985871e-05	-2.2085978758690052e-16	-2.3474366568402467e-16	2.820937377022354e-09	0.0921915000000005	1.4437087880768055e-16	-4.280825937027286e-16	0.0084992726722497	-0.0693059999999983	9.005316937832674e-16	-3.265385327969299e-15	0.0048033216359961	0.0001286900000013	-3.4522402420551603e-16	2.724087345321928e-16	1.6561116203397584e-08	0.0003148440000006	-6.12966297286895e-17	1.7700779505441895e-16	9.912674371823263e-08	-0.0003314450000001	-9.645285526700632e-17	-2.9942887793186804e-16	1.0985578790206833e-07	0.1056992146000017	0.1056870050000016	0.1056666568000015	0.1056381715000014	1
-9.671682157734962e-17	3.510616941178697e-16	-1.7834679016011234e-07	-2.932793172078637e-05	0.0101892000000007	0.0102423124999999	0.0001049049653472	0.0001038197966401	0.0506273999999996	-0.0415640999999997	0.0017275744088096	0.0025631336307596	-0.038553999999998	0.0307520000000013	0.0009456855039969	0.0014864109159957	-0.0001145779999992	-0.0002432680000007	5.917932053387542e-08	1.3128118167707605e-08	3.181439999962595e-05	-0.0002830296000004	8.010575484720862e-08	1.0121553595737687e-09	-0.000177198	0.0001542470000003	2.3792136964286553e-08	3.1399131089246866e-08	0.1056666568000013	0.1055567991000014	0.1053737875000015	0.1051177489000013	1
-2.442054216061275e-16	5.903979951808415e-16	4.603883651275241e-07	5.929968705260614e-05	0.0079676800000008	-0.0022215200000006	4.935151109906965e-06	6.34839245826966e-05	0.1011950000000002	0.0505676000000006	0.0025570821697595	0.0102404280249995	-0.0807608999999982	-0.0422068999999992	0.0017814224076068	0.0065223229688055	-0.000949781	-0.0008352030000001	6.975640518883816e-07	9.02083949084846e-07	-0.000202451000001	-0.0002342654	5.4880277314096895e-08	4.0986407258949415e-08	-0.0004042560000004	-0.000227058	5.1555335305687386e-08	1.634229134132788e-07	0.1056015514000014	0.1052965477000014	0.1047888607000015	0.1040794675000014	1
-2.6583992647223243e-16	3.621668086975768e-16	-1.1658692696587809e-06	-9.870541505180148e-05	-0.0189261000000006	-0.0268937800000008	0.0007232754026885	0.0003581972612106	0.1011870000000007	-8.000000000058687e-06	6.399909905041026e-11	0.0102388089689998	-0.051704199999998	0.029056700000001	0.0008442918148865	0.0026733242976355	-0.0009038280000002	4.595299999994607e-05	2.1116776136799824e-09	8.169050538799323e-07	0.0003777810000009	0.0005802320000017	3.366691747034617e-07	1.4271848294744401e-07	-0.0003420170000006	6.223899999989063e-05	3.873691889939007e-09	1.1697562862803009e-07	0.1055039182000016	0.1049065715000014	0.1039134975000014	0.1025284424000013	1
-1.5909033549623766e-16	5.200029651634241e-16	2.8909307073283737e-06	0.0001142820157814	0.0079801499999998	0.0269062500000008	0.0007239462890627	6.368279402229041e-05	0.0488182999999999	-0.0523686999999998	0.0027424807396898	0.0023832264148896	-0.0638446999999981	-0.0121404999999989	0.0001473917402465	0.0040761457180856	-0.0002433329999999	0.0006604950000007	4.362536455675713e-07	5.921094869474502e-08	0.0004099340000008	3.215299999951901e-05	1.033815815845926e-09	1.6804588364677985e-07	-0.000533344000001	-0.0001913270000003	3.66060215303295e-08	2.844558226913238e-07	0.1053737875000012	0.1043873508000013	0.1027501241000016	0.1004723146000014	1
-2.510326068911902e-16	4.888241416463679e-16	-6.997832322124445e-06	-0.0003325395543547	-0.023203100000001	-0.0311832500000007	0.0009723950805625	0.0005383838496109	0.1255120000000006	0.0766937000000008	0.0058819236196892	0.0157532621439999	-0.0956800999999984	-0.0318353999999987	0.001013492693156	0.0091546815360047	-0.0007270259999995	-0.0004836929999994	2.3395891819974618e-07	5.285668041303021e-07	-0.0003260170000002	-0.0007359510000012	5.416238763033957e-07	1.0628708498242652e-07	-8.473570000022777e-05	0.0004486083000009	2.0124940689168082e-07	7.180138023346595e-09	0.1052111993000015	0.1037395254000013	0.1013019650000015	0.0979212136000012	1
-5.995081264534154e-17	5.0290653115891275e-16	1.645810835388141e-05	0.0219879763507473	0.043585000000001	0.0667881000000016	0.004460650301611	0.0018996522250011	-0.0008710020000005	-0.1263830020000002	0.0159726631945324	7.586444837071216e-07	-0.282683	-0.1870029	0.0349700846084059	0.0799096784889937	-0.0018996400000004	-0.0011726139999998	1.3750235937378134e-06	3.608632128881209e-06	-1.3295400001354527e-05	0.0003127216000004	9.779479803970917e-08	1.7676785799717902e-10	3.365030000008072e-05	0.0001183860000014	1.4015243687112877e-08	1.132342872062938e-09	0.1050162037000011	0.1029638934000013	0.0995730340000014	0.0948877073000012	1
-1.2057280921184706e-16	2.57684922845447e-16	-3.7332734432407584e-05	0.2642078232796592	-0.0186782999999996	-0.0622633000000021	0.0038767185268908	0.00034887889089	0.096298199999999	0.0971692020000011	0.0094418538173135	0.0092733433232386	-0.1861909999999991	0.096492000000002	0.0093107060639955	0.0346670884809938	-0.0013996599999996	0.0004999800000006	2.4998000175434845e-07	1.9590481143625797e-06	-0.0003260170000015	-0.0003127215999993	9.779479803138545e-08	1.0628708588281762e-07	-2.2340399994317505e-06	-3.588434000037523e-05	1.287685433189425e-09	4.990222426089942e-12	0.1047888607000007	0.1020614103000014	0.0975681230000015	0.091386740200001	1
1.447687588529657e-16	4.7040617726939e-16	8.03420142692258e-05	0.6760580459941758	-0.018616300000002	6.200000000060245e-05	3.843999927071393e-09	0.0003465666256892	0.0758045000000009	-0.0204937000000001	0.0004199917396889	0.0057463222202491	-0.2075089999999987	-0.0213179999999977	0.0004544571239947	0.0430599850809938	-0.0019720100000007	-0.0005723500000004	3.2758452122944017e-07	3.8888234401991e-06	-1.039919999948465e-05	0.0003156178000006	9.961459527913425e-08	1.0814324216589249e-10	7.342950000121882e-05	7.566353999974037e-05	5.724970472702059e-09	5.3918912081634815e-09	0.1045292404000011	0.1010331881000014	0.0952927888000009	0.0874355596000009	1
2.5671732130554453e-16	5.197113957099507e-16	-0.0001521393371542	0.9766022687285416	0.0046760699999998	0.0232923700000012	0.0005425345002169	2.186563064473254e-05	0.0625531000000004	-0.0132513999999996	0.0001755996019588	0.0039128903196091	-0.1554269999999987	0.0520820000000023	0.0027125347239954	0.0241575523289956	-0.0014203700000006	0.00055164	3.043066894426223e-07	2.0174509370508224e-06	0.0004172930000011	0.0004276922000004	1.829206180590065e-07	1.7413344738274478e-07	-0.0005716869999999	-0.0006451165000017	4.1617529982723763e-07	3.268260258994877e-07	0.1042374227000007	0.0998804934000016	0.0927533379000009	0.0830536308000007	1
