trial_type.foil_new	trial_type.lure_new	trial_type.lure_old	trial_type.target new	trial_type.target_old	rt_reg.rt	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	intercept
-0.0007103479015425	-9.752188125333568e-07	2.982212101242529e-09	2.273725266504156e-08	0.3405065188884094	0.0478592817725397	-0.0182844040158717	4.326373456562461e-06	1.8717124995020275e-11	0.0003343194302153	0.0376401480622957	0.0364923082679248	0.0013316885627218	0.0014167807461519	0.2427858540272399	0.024767828642518	0.000613445335666	0.0589449709157369	-0.0005640158501877	8.000008894537585e-05	6.400013154640525e-09	3.1811387923853657e-07	-0.001648996537781	-5.7619174630635905e-09	-4.653139590694503e-16	2.7191895811279235e-06	-1.8964991822199365e-05	6.615896811539661e-08	3.668178163097616e-15	3.596712783903469e-10	-0.0322524721000002	-0.0746044375000008	0.0822639331000012	0.0194583950000001	-0.0953079663000008	1
0.0016719753437221	3.2833809755859184e-06	-5.110328484141035e-09	-1.2418994930377548e-08	0.1346115372589575	0.0122348996044213	-0.0349310596941309	-0.0166466556782594	0.0002771111452718	0.0012201789313547	0.0080418534136732	-0.029598294648623	0.0008760590461069	6.467140632655886e-05	0.2430457259631643	0.0002598719359236	6.753342222725323e-08	0.0590712249089622	-0.0005640168658098	-1.015623115582422e-09	-9.236138522323045e-16	3.181150249003877e-07	-0.0017509976670557	-0.0001020011292742	1.0404229929982977e-08	3.0659928299008234e-06	-1.899368531421636e-05	-2.8693491919149986e-08	5.051881113663604e-16	3.6076022985736764e-10	-0.0335675946999998	-0.0728052914000007	0.084363071400001	0.0139460747000001	-0.0940930992000008	1
-0.0010638124039902	-1.038022818118268e-05	7.0349156129930985e-09	6.0550962951300366e-09	0.0124949105783252	-0.0075567968553848	-0.0182875228698826	0.0166435368242487	0.0002770073180216	0.0003344334927152	0.0214801597958007	0.0134383063821277	0.0001805880784194	0.0004613972648534	0.2384809433821362	-0.0045647825810283	2.0837240011223397e-05	0.0568731603564342	-0.0004670159059426	9.700095986672769e-05	9.409184963257968e-09	2.181038560597621e-07	-0.0016489982939668	0.000101999373089	1.0403872105705396e-08	2.7191953732386915e-06	-1.888496339627136e-05	1.0872191790618879e-07	1.110767904695602e-14	3.5664191194343867e-10	-0.0348756165000001	-0.0709445448000007	0.086301619800001	0.0083865653	-0.0923808403000009	1
0.1236405590801648	3.141861589661206e-05	-1.5519606763547021e-09	-2.761509849400585e-09	-0.0421144321012212	0.0852699440741855	-0.0290560442244325	-0.0107685213545502	0.0001159610521635	0.0008442537059715	-0.0422164076833283	-0.0636965674791285	0.0040572527086257	0.0017822250776852	0.2656701404604867	0.0271891970783515	0.0007392524377664	0.0705806235322953	-0.0006593668570178	-0.0001923509510742	3.6998887926168185e-08	4.347646522082902e-07	-0.0018405519469626	-0.0001915536529952	3.6692801589783915e-08	3.387631469149979e-06	0.0001453938869155	0.0001642788503117	2.6987540898577796e-08	2.1139382681494388e-08	-0.0361762608999993	-0.069023772000001	0.0880758881000009	0.0027986783999999	-0.0901802409000012	1
0.4658949342975059	-9.215824891878146e-05	-4.093086085235439e-08	1.2033534375891714e-09	-0.0562280967807596	0.212201586936681	-0.0183394510747797	0.0107165931496533	0.0001148453687358	0.0003363354657236	-0.0008009918879432	0.041415415795386	0.0017152366655048	6.415880039729776e-07	0.265601661956716	-6.847850377064924e-05	4.689304772283351e-09	0.0705442428341708	-0.0009474018520633	-0.0002880349950455	8.296415843095128e-08	8.975702685584449e-07	-0.00164906120676	0.0001914907402024	3.666870316529852e-08	2.719402863062612e-06	0.0001202193366651	-2.5174550251904333e-05	6.337577808852157e-10	1.4452688482080638e-08	-0.0374692525999986	-0.0670445982000015	0.0896824990000011	-0.0027986784	-0.0875029337000011	1
0.5749865515111715	0.0002645938576467	2.2502720591975067e-07	-5.066923149255848e-10	-0.048744845741366	0.1758655762243241	-0.0183819231741029	-4.247209932393568e-05	1.8038789834020822e-09	0.0003378950995781	-0.0113985264163439	-0.010597534528401	0.0001123077380794	0.0001299264044636	0.2446030065904525	-0.0209986553662643	0.0004409435271914	0.0598306308330897	-0.0012958636390665	-0.000348461787002	1.214256173493859e-07	1.6792625712261631e-06	-0.0016491063413767	-4.5134617010952315e-08	9.942474006836677e-16	2.719551725196528e-06	0.0001669314263944	4.6712089728665446e-05	2.1820193837615803e-09	2.7866101433512553e-08	-0.0387543182999993	-0.0650086980000016	0.0911183942000012	-0.0083865653000002	-0.084363071400001	1
0.3680896717421434	-0.0007175806805668	-8.893890578045087e-07	2.0736644099698008e-10	-0.0336322465881077	0.084270994089187	-0.0244838558394625	-0.0061019326653601	3.723358225281055e-05	0.0005994591967669	0.0210665250240683	0.0324650514404122	0.0010539795650287	0.0004437984765894	0.2397285746830846	-0.0048744319073682	2.376008641919482e-05	0.0574697895195839	-0.000608015902769	0.0006878477362977	4.731345111352721e-07	3.696833372141519e-07	-0.0016489961198638	1.1022151352597889e-07	1.1437499268575508e-14	2.7191882038339643e-06	-1.9001272466907624e-05	-0.0001859326988611	3.4570968798230895e-08	3.6104824794214676e-10	-0.040031186	-0.0629177940000012	0.0923808403000012	-0.0139460747000003	-0.0807772519000008	1
0.1500835595526972	0.0016950650946456	3.0845871678629697e-06	-8.287435988591109e-11	-0.0196796580151662	0.0241430196406906	-0.0184452735640106	0.0060385822754512	3.646447589731791e-05	0.0003402281168502	0.0208301787069881	-0.0002363463170811	5.585958135118641e-08	0.0004338963449652	0.1908494937857617	-0.0488790808973249	0.002389164549372	0.0364235292782809	-0.0014140187010762	-0.0008060027983072	6.496405141358614e-07	1.999448888200479e-06	-0.0016489888112693	7.308594895716168e-09	-2.6803425716104413e-16	2.7191640999400525e-06	-2.066573360438422e-05	-1.6644611369158958e-06	2.7700194253400173e-12	4.2707301178797346e-10	-0.0412995857000022	-0.0607736552000007	0.093467434200001	-0.0194583950000004	-0.0767644303000007	1
0.020533708539474	-0.0005556787464194	-9.937098527213306e-06	3.242693050035945e-11	-0.0101430398712873	-0.0080276966680927	-0.0370293968592247	-0.0185841232952148	0.0003453696386536	0.0013711762317575	0.0371528598447398	0.0163226811377513	0.0002664299195239	0.0013803349946433	0.2173691102967434	0.0265196165109828	0.0007032900598903	0.047249330111197	-0.0008220131892732	0.0005920055118039	3.5047052730407333e-07	6.757056833448968e-07	-0.0013739927244002	0.00027499608687	7.562284953636946e-08	1.8878560064519508e-06	-1.9064692091327735e-05	1.6010415132077132e-06	2.5625804978544018e-12	3.634626649139633e-10	-0.0425592491000024	-0.0585780958000005	0.0943761076000009	-0.0249048742000004	-0.0723458192000005	1
-0.0381803903424031	0.1323354320329665	3.0484165929182674e-05	-1.244096763727502e-11	-0.0046836518526776	0.0883644697003271	-0.0333225735996761	0.0037068232595491	1.374053867755823e-05	0.0011103939113051	0.020084829570224	-0.0170680302745161	0.0002913176574513	0.000403400378865	0.2060182624875745	-0.0113508478091691	0.0001288417459861	0.0424435244783981	-0.0010459147520797	-0.0002239015628073	5.013190897941158e-08	1.0939376688269105e-06	-0.0016490558300704	-0.0002750631056706	7.565971316351535e-08	2.719385130974401e-06	0.0001041376289388	0.0001232023210302	1.517881153028573e-08	1.0844645869351465e-08	-0.0438099096000022	-0.0563329735000005	0.095105130700001	-0.0302670833	-0.0675447760000007	1
